ArPhEx-5.0.2-neoforge-1.21.1: exquisite_ore
Galosphere-1.21.1-1.5.3-NeoForge: deepslate_palladium_ore
Galosphere-1.21.1-1.5.3-NeoForge: palladium_ore
Northstar-0.5.4+1.21.1: mars_copper_ore
Northstar-0.5.4+1.21.1: mars_deep_copper_ore
Northstar-0.5.4+1.21.1: mars_deep_diamond_ore
Northstar-0.5.4+1.21.1: mars_deep_gold_ore
Northstar-0.5.4+1.21.1: mars_deep_iron_ore
Northstar-0.5.4+1.21.1: mars_deep_quartz_ore
Northstar-0.5.4+1.21.1: mars_deep_redstone_ore
Northstar-0.5.4+1.21.1: mars_deep_titanium_ore
Northstar-0.5.4+1.21.1: mars_deep_zinc_ore
Northstar-0.5.4+1.21.1: mars_diamond_ore
Northstar-0.5.4+1.21.1: mars_gold_ore
Northstar-0.5.4+1.21.1: mars_iron_ore
Northstar-0.5.4+1.21.1: mars_quartz_ore
Northstar-0.5.4+1.21.1: mars_redstone_ore
Northstar-0.5.4+1.21.1: mars_titanium_ore
Northstar-0.5.4+1.21.1: mars_zinc_ore
Northstar-0.5.4+1.21.1: mercury_copper_ore
Northstar-0.5.4+1.21.1: mercury_deep_copper_ore
Northstar-0.5.4+1.21.1: mercury_deep_diamond_ore
Northstar-0.5.4+1.21.1: mercury_deep_glowstone_ore
Northstar-0.5.4+1.21.1: mercury_deep_gold_ore
Northstar-0.5.4+1.21.1: mercury_deep_iron_ore
Northstar-0.5.4+1.21.1: mercury_deep_lapis_ore
Northstar-0.5.4+1.21.1: mercury_deep_redstone_ore
Northstar-0.5.4+1.21.1: mercury_deep_titanium_ore
Northstar-0.5.4+1.21.1: mercury_deep_tungsten_ore
Northstar-0.5.4+1.21.1: mercury_deep_zinc_ore
Northstar-0.5.4+1.21.1: mercury_diamond_ore
Northstar-0.5.4+1.21.1: mercury_glowstone_ore
Northstar-0.5.4+1.21.1: mercury_gold_ore
Northstar-0.5.4+1.21.1: mercury_iron_ore
Northstar-0.5.4+1.21.1: mercury_lapis_ore
Northstar-0.5.4+1.21.1: mercury_redstone_ore
Northstar-0.5.4+1.21.1: mercury_titanium_ore
Northstar-0.5.4+1.21.1: mercury_tungsten_ore
Northstar-0.5.4+1.21.1: mercury_zinc_ore
Northstar-0.5.4+1.21.1: moon_copper_ore
Northstar-0.5.4+1.21.1: moon_deep_copper_ore
Northstar-0.5.4+1.21.1: moon_deep_diamond_ore
Northstar-0.5.4+1.21.1: moon_deep_glowstone_ore
Northstar-0.5.4+1.21.1: moon_deep_gold_ore
Northstar-0.5.4+1.21.1: moon_deep_iron_ore
Northstar-0.5.4+1.21.1: moon_deep_lapis_ore
Northstar-0.5.4+1.21.1: moon_deep_redstone_ore
Northstar-0.5.4+1.21.1: moon_deep_titanium_ore
Northstar-0.5.4+1.21.1: moon_deep_zinc_ore
Northstar-0.5.4+1.21.1: moon_diamond_ore
Northstar-0.5.4+1.21.1: moon_glowstone_ore
Northstar-0.5.4+1.21.1: moon_gold_ore
Northstar-0.5.4+1.21.1: moon_iron_ore
Northstar-0.5.4+1.21.1: moon_lapis_ore
Northstar-0.5.4+1.21.1: moon_redstone_ore
Northstar-0.5.4+1.21.1: moon_titanium_ore
Northstar-0.5.4+1.21.1: moon_zinc_ore
Northstar-0.5.4+1.21.1: venus_coal_ore
Northstar-0.5.4+1.21.1: venus_copper_ore
Northstar-0.5.4+1.21.1: venus_deep_copper_ore
Northstar-0.5.4+1.21.1: venus_deep_diamond_ore
Northstar-0.5.4+1.21.1: venus_deep_glowstone_ore
Northstar-0.5.4+1.21.1: venus_deep_gold_ore
Northstar-0.5.4+1.21.1: venus_deep_iron_ore
