arphex:arphex_dungeon_medium | minecraft:chest | arphex:antenna arphex:arphex_dungeon_medium arphex:bloodworm_grub arphex:brown_scarab arphex:bug_repellant arphex:burning_glands arphex:chitin arphex:chitin_armour_boots arphex:chitin_armour_helmet arphex:chitin_armour_leggings arphex:fly_appendage arphex:green_gold_scarab arphex:green_scarab arphex:prowler_parachute arphex:roach_nymph minecraft:chest minecraft:cobweb minecraft:enchant_with_levels minecraft:glow_berries minecraft:item minecraft:set_count minecraft:string
arphex:arphex_dungeon_strong | minecraft:chest | arphex:arphex_dungeon_strong arphex:bug_repellant arphex:chitin arphex:chitin_armour_tier_2_boots arphex:chitin_armour_tier_2_chestplate arphex:chitin_armour_tier_2_helmet arphex:chitin_armour_tier_2_leggings arphex:dagger_of_dissolution arphex:iridescent_scarab arphex:necrotic_fang arphex:prowler_pack arphex:purple_scarab arphex:scorch_charge arphex:silk_slinger arphex:venomous_appendage minecraft:chest minecraft:enchant_with_levels minecraft:glow_berries minecraft:item minecraft:set_count
arphex:arphex_dungeon_ultimate | minecraft:chest | arphex:abyssal_dagger arphex:arphex_dungeon_ultimate arphex:arthropod_antenna arphex:bug_repellant arphex:celestial_barrier arphex:chitin_armour_tier_3_boots arphex:chitin_armour_tier_3_chestplate arphex:chitin_armour_tier_3_helmet arphex:chitin_armour_tier_3_leggings arphex:crawling_container arphex:exquisite_ore arphex:giant_spinneret arphex:golden_scarab arphex:iridescent_scarab arphex:mantle_of_vitality arphex:prowler_pack arphex:purple_scarab arphex:scorch_charge arphex:tectonic_tunneler arphex:vitality_viewfinder minecraft:chest minecraft:enchant_with_levels minecraft:glow_berries minecraft:item minecraft:set_count
arphex:blocks/ant_nest | minecraft:block | arphex:ant_nest arphex:blocks/ant_nest minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/ant_shield_temporary | minecraft:block | arphex:blocks/ant_shield_temporary minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/arphex_jigsaw | minecraft:block | arphex:blocks/arphex_jigsaw minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/ascended_cube | minecraft:block | arphex:ascended_cube arphex:blocks/ascended_cube minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/bane_blossom | minecraft:block | arphex:bane_blossom arphex:blocks/bane_blossom minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/barrier_gap | minecraft:block | arphex:blocks/barrier_gap minecraft:block
arphex:blocks/block_of_abyssal_crystal | minecraft:block | arphex:block_of_abyssal_crystal arphex:blocks/block_of_abyssal_crystal minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/block_of_entropy_matrix | minecraft:block | arphex:block_of_entropy_matrix arphex:blocks/block_of_entropy_matrix minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/block_of_fire_opal | minecraft:block | arphex:block_of_fire_opal arphex:blocks/block_of_fire_opal minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/block_of_time_prism | minecraft:block | arphex:block_of_time_prism arphex:blocks/block_of_time_prism minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/block_of_void_geode | minecraft:block | arphex:block_of_void_geode arphex:blocks/block_of_void_geode minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/chitin_block | minecraft:block | arphex:blocks/chitin_block arphex:chitin_block minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/cobweb_passable | minecraft:block | arphex:blocks/cobweb_passable minecraft:block minecraft:cobweb minecraft:item minecraft:survives_explosion
arphex:blocks/crawling_altar | minecraft:block | arphex:blocks/crawling_altar arphex:crawling_altar minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/crawling_barrier | minecraft:block | arphex:blocks/crawling_barrier arphex:crawling_barrier minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/crawling_clay | minecraft:block | arphex:blocks/crawling_clay arphex:crawling_clay minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/crawling_compost | minecraft:block | arphex:blocks/crawling_compost arphex:crawling_compost_chunk minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/crawling_portal | minecraft:block | arphex:blocks/crawling_portal minecraft:block
arphex:blocks/decadent_dust | minecraft:block | arphex:blocks/decadent_dust arphex:decadent_dust minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/exquisite_ore | minecraft:block | arphex:abyssal_shard arphex:blocks/exquisite_ore arphex:entropy_matrix_shard arphex:fire_opal_shard arphex:time_prism_shard arphex:void_geode_shard minecraft:apply_bonus minecraft:block minecraft:fortune minecraft:item minecraft:ore_drops minecraft:set_count
arphex:blocks/funnel_web | minecraft:block | arphex:blocks/funnel_web minecraft:block
arphex:blocks/heavy_chitin_block | minecraft:block | arphex:blocks/heavy_chitin_block arphex:heavy_chitin_block minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/invisible_detector_block | minecraft:block | arphex:blocks/invisible_detector_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
arphex:blocks/invisible_half_slab | minecraft:block | arphex:blocks/invisible_half_slab minecraft:block
arphex:blocks/mangled_fly_flesh | minecraft:block | arphex:blocks/mangled_fly_flesh arphex:mangled_fly_flesh minecraft:block minecraft:item minecraft:survives_explosion
