minecraft:entities/bat | minecraft:entity | minecraft:entities/bat minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/blaze | minecraft:entity | minecraft:blaze_rod minecraft:enchanted_count_increase minecraft:entities/blaze minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/bogged | minecraft:entity | minecraft:arrow minecraft:bone minecraft:enchanted_count_increase minecraft:entities/bogged minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:poison minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:set_potion minecraft:snowball minecraft:tipped_arrow minecraft:uniform
minecraft:entities/breeze | minecraft:entity | minecraft:breeze_rod minecraft:enchanted_count_increase minecraft:entities/breeze minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/camel | minecraft:entity | minecraft:entities/camel minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/cat | minecraft:entity | minecraft:entities/cat minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:string minecraft:uniform
minecraft:entities/cave_spider | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/cave_spider minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:spider_eye minecraft:string minecraft:uniform
minecraft:entities/chicken | minecraft:entity | minecraft:any_of minecraft:chicken minecraft:enchanted_count_increase minecraft:entities/chicken minecraft:entity minecraft:entity_properties minecraft:feather minecraft:furnace_smelt minecraft:item minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/cod | minecraft:entity | minecraft:any_of minecraft:bone_meal minecraft:cod minecraft:entities/cod minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/cow | minecraft:entity | minecraft:any_of minecraft:beef minecraft:enchanted_count_increase minecraft:entities/cow minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:leather minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/dolphin | minecraft:entity | minecraft:any_of minecraft:cod minecraft:enchanted_count_increase minecraft:entities/dolphin minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
