creeperoverhaul:blocks/potted_tiny_cactus | minecraft:block | creeperoverhaul:tiny_cactus minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
creeperoverhaul:blocks/tiny_cactus | minecraft:block | creeperoverhaul:tiny_cactus minecraft:block minecraft:item minecraft:survives_explosion
creeperoverhaul:entities/badlands_creeper | minecraft:entity | minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gold_nugget minecraft:gunpowder minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/bamboo_creeper | minecraft:entity | minecraft:bamboo minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/beach_creeper | minecraft:entity | minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:nautilus_shell minecraft:prismarine_shard minecraft:random_chance_with_enchanted_bonus minecraft:sand minecraft:seagrass minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/birch_creeper | minecraft:entity | minecraft:birch_log minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/cave_creeper | minecraft:entity | minecraft:creeper_drop_music_discs minecraft:diamond minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:raw_gold minecraft:raw_iron minecraft:set_count minecraft:stone minecraft:tag minecraft:uniform
creeperoverhaul:entities/dark_oak_creeper | minecraft:entity | minecraft:cobweb minecraft:creeper_drop_music_discs minecraft:dark_oak_log minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/desert_creeper | minecraft:entity | minecraft:cactus minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/dripstone_creeper | minecraft:entity | minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:looting minecraft:pointed_dripstone minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/hills_creeper | minecraft:entity | minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/jungle_creeper | minecraft:entity | minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/mushroom_creeper | minecraft:entity | minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/ocean_creeper | minecraft:entity | minecraft:cod minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:item minecraft:looting minecraft:salmon minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/savannah_creeper | minecraft:entity | minecraft:acacia_log minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
creeperoverhaul:entities/snowy_creeper | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform minecraft:white_wool
creeperoverhaul:entities/spruce_creeper | minecraft:entity | minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:looting minecraft:set_count minecraft:spruce_log minecraft:tag minecraft:uniform
creeperoverhaul:entities/swamp_creeper | minecraft:entity | minecraft:bone minecraft:creeper_drop_music_discs minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:gunpowder minecraft:item minecraft:looting minecraft:set_count minecraft:tag minecraft:uniform
