dndesires:blocks/asphalt | minecraft:block | dndesires:asphalt dndesires:blocks/asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/black_asphalt | minecraft:block | dndesires:black_asphalt dndesires:blocks/black_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/black_bore_block | minecraft:block | dndesires:black_bore_block dndesires:blocks/black_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/blasting_sail | minecraft:block | dndesires:blasting_sail dndesires:blocks/blasting_sail minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/blue_asphalt | minecraft:block | dndesires:blocks/blue_asphalt dndesires:blue_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/blue_bore_block | minecraft:block | dndesires:blocks/blue_bore_block dndesires:blue_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/bore_block | minecraft:block | dndesires:blocks/bore_block dndesires:bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/breccia | minecraft:block | dndesires:blocks/breccia dndesires:breccia minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/breccia_pillar | minecraft:block | dndesires:blocks/breccia_pillar dndesires:breccia_pillar minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/brown_asphalt | minecraft:block | dndesires:blocks/brown_asphalt dndesires:brown_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/brown_bore_block | minecraft:block | dndesires:blocks/brown_bore_block dndesires:brown_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/cog_crank | minecraft:block | dndesires:blocks/cog_crank dndesires:cog_crank minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/creative_gear_motor | minecraft:block | dndesires:blocks/creative_gear_motor dndesires:creative_gear_motor minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/cut_breccia | minecraft:block | dndesires:blocks/cut_breccia dndesires:cut_breccia minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/cut_breccia_brick_slab | minecraft:block | dndesires:blocks/cut_breccia_brick_slab dndesires:cut_breccia_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
dndesires:blocks/cut_breccia_brick_stairs | minecraft:block | dndesires:blocks/cut_breccia_brick_stairs dndesires:cut_breccia_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/cut_breccia_brick_wall | minecraft:block | dndesires:blocks/cut_breccia_brick_wall dndesires:cut_breccia_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/cut_breccia_bricks | minecraft:block | dndesires:blocks/cut_breccia_bricks dndesires:cut_breccia_bricks minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/cut_breccia_slab | minecraft:block | dndesires:blocks/cut_breccia_slab dndesires:cut_breccia_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
dndesires:blocks/cut_breccia_stairs | minecraft:block | dndesires:blocks/cut_breccia_stairs dndesires:cut_breccia_stairs minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/cut_breccia_wall | minecraft:block | dndesires:blocks/cut_breccia_wall dndesires:cut_breccia_wall minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/cyan_asphalt | minecraft:block | dndesires:blocks/cyan_asphalt dndesires:cyan_asphalt minecraft:block minecraft:item minecraft:survives_explosion
