dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_barrels | minecraft:chest | minecraft:bowl minecraft:bucket minecraft:charcoal minecraft:chest minecraft:dark_oak_log minecraft:flint minecraft:flint_and_steel minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:salmon_bucket minecraft:set_count minecraft:shears minecraft:stick minecraft:string
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_normal | minecraft:chest | minecraft:bone minecraft:book minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chest minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:gold_nugget minecraft:gunpowder minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:gunpowder minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_barrels | minecraft:chest | minecraft:bowl minecraft:bucket minecraft:charcoal minecraft:chest minecraft:dark_oak_log minecraft:flint minecraft:flint_and_steel minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:salmon_bucket minecraft:set_count minecraft:shears minecraft:stick minecraft:string
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:gunpowder minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply | minecraft:chest | minecraft:baked_potato minecraft:beef minecraft:bread minecraft:chest minecraft:chorus_fruit minecraft:fishes minecraft:golden_apple minecraft:golden_carrot minecraft:honey_bottle minecraft:honeycomb minecraft:item minecraft:melon_slice minecraft:milk_bucket minecraft:mushroom_stew minecraft:pumpkin_pie minecraft:set_count minecraft:tag minecraft:wet_sponge
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_treasure | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:cobweb minecraft:diamond minecraft:diamond_boots minecraft:diamond_helmet minecraft:emerald minecraft:enchant_with_levels minecraft:gold_nugget minecraft:gunpowder minecraft:iron_chestplate minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_barrels | minecraft:chest | minecraft:bowl minecraft:bucket minecraft:charcoal minecraft:chest minecraft:dark_oak_log minecraft:flint minecraft:flint_and_steel minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:salmon_bucket minecraft:set_count minecraft:shears minecraft:stick minecraft:string
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_normal | minecraft:chest | minecraft:bone minecraft:book minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chest minecraft:cobweb minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:gunpowder minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_treasure | minecraft:chest | minecraft:bone minecraft:book minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chest minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:gold_nugget minecraft:gunpowder minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_barrels | minecraft:chest | minecraft:bowl minecraft:bucket minecraft:charcoal minecraft:chest minecraft:dark_oak_log minecraft:flint minecraft:flint_and_steel minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:salmon_bucket minecraft:set_count minecraft:shears minecraft:stick minecraft:string
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:gunpowder minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply | minecraft:chest | minecraft:baked_potato minecraft:beef minecraft:bread minecraft:chest minecraft:chorus_fruit minecraft:fishes minecraft:golden_apple minecraft:golden_carrot minecraft:honey_bottle minecraft:honeycomb minecraft:item minecraft:melon_slice minecraft:milk_bucket minecraft:mushroom_stew minecraft:pumpkin_pie minecraft:set_count minecraft:tag minecraft:wet_sponge
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_treasure | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:cobweb minecraft:diamond minecraft:diamond_boots minecraft:diamond_helmet minecraft:emerald minecraft:enchant_with_levels minecraft:gold_nugget minecraft:gunpowder minecraft:iron_chestplate minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_barrels | minecraft:chest | minecraft:bowl minecraft:bucket minecraft:charcoal minecraft:chest minecraft:dark_oak_log minecraft:flint minecraft:flint_and_steel minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:salmon_bucket minecraft:set_count minecraft:shears minecraft:stick minecraft:string
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_lower | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:cobweb minecraft:diamond minecraft:diamond_boots minecraft:diamond_helmet minecraft:emerald minecraft:enchant_with_levels minecraft:gold_nugget minecraft:gunpowder minecraft:iron_chestplate minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:gunpowder minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:set_count minecraft:skeleton_skull
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply | minecraft:chest | minecraft:baked_potato minecraft:beef minecraft:bread minecraft:chest minecraft:chorus_fruit minecraft:fishes minecraft:golden_apple minecraft:golden_carrot minecraft:honey_bottle minecraft:honeycomb minecraft:item minecraft:melon_slice minecraft:milk_bucket minecraft:mushroom_stew minecraft:pumpkin_pie minecraft:set_count minecraft:tag minecraft:wet_sponge
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_treasure | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:cobweb minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:emerald minecraft:enchant_with_levels minecraft:gunpowder minecraft:item minecraft:set_count minecraft:skeleton_skull
