farmersdelight:blocks/acacia_cabinet | minecraft:block | farmersdelight:acacia_cabinet farmersdelight:blocks/acacia_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/apple_pie | minecraft:block | farmersdelight:blocks/apple_pie minecraft:block
farmersdelight:blocks/bamboo_basket | minecraft:block | farmersdelight:bamboo_basket farmersdelight:blocks/bamboo_basket minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/bamboo_cabinet | minecraft:block | farmersdelight:bamboo_cabinet farmersdelight:blocks/bamboo_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/beetroot_crate | minecraft:block | farmersdelight:beetroot_crate farmersdelight:blocks/beetroot_crate minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/birch_cabinet | minecraft:block | farmersdelight:birch_cabinet farmersdelight:blocks/birch_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/black_canvas_sign | minecraft:block | farmersdelight:black_canvas_sign farmersdelight:blocks/black_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/black_hanging_canvas_sign | minecraft:block | farmersdelight:black_hanging_canvas_sign farmersdelight:blocks/black_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/blue_canvas_sign | minecraft:block | farmersdelight:blocks/blue_canvas_sign farmersdelight:blue_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/blue_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/blue_hanging_canvas_sign farmersdelight:blue_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/brown_canvas_sign | minecraft:block | farmersdelight:blocks/brown_canvas_sign farmersdelight:brown_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/brown_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/brown_hanging_canvas_sign farmersdelight:brown_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/brown_mushroom_colony | minecraft:block | farmersdelight:blocks/brown_mushroom_colony farmersdelight:brown_mushroom_colony minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:brown_mushroom minecraft:explosion_decay minecraft:inverted minecraft:item minecraft:set_count neoforge:can_item_perform_ability
farmersdelight:blocks/budding_tomatoes | minecraft:block | farmersdelight:blocks/budding_tomatoes farmersdelight:tomato_seeds minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/cabbage_crate | minecraft:block | farmersdelight:blocks/cabbage_crate farmersdelight:cabbage_crate minecraft:block minecraft:item minecraft:survives_explosion
