galosphere:archaeology/forgotten_ruins_common | minecraft:archaeology | galosphere:archaeology/forgotten_ruins_common minecraft:archaeology minecraft:arrow minecraft:bone minecraft:book minecraft:gray_candle minecraft:item minecraft:paper minecraft:rotten_flesh
galosphere:archaeology/forgotten_ruins_rare | minecraft:archaeology | galosphere:archaeology/forgotten_ruins_rare galosphere:thirst_pottery_sherd galosphere:wave_pottery_sherd minecraft:archaeology minecraft:diamond minecraft:emerald minecraft:gunpowder minecraft:item minecraft:miner_pottery_sherd minecraft:skull_pottery_sherd
galosphere:blocks/allurite_block | minecraft:block | galosphere:allurite_block galosphere:blocks/allurite_block minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/allurite_brick_slab | minecraft:block | galosphere:allurite_brick_slab galosphere:blocks/allurite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/allurite_brick_stairs | minecraft:block | galosphere:allurite_brick_stairs galosphere:blocks/allurite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/allurite_bricks | minecraft:block | galosphere:allurite_bricks galosphere:blocks/allurite_bricks minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/allurite_cluster | minecraft:block | galosphere:allurite_cluster galosphere:allurite_shard galosphere:blocks/allurite_cluster galosphere:glinted_allurite_cluster minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch
galosphere:blocks/allurite_lamp | minecraft:block | galosphere:allurite_lamp galosphere:blocks/allurite_lamp minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/allurite_slab | minecraft:block | galosphere:allurite_slab galosphere:blocks/allurite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/allurite_stairs | minecraft:block | galosphere:allurite_stairs galosphere:blocks/allurite_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/amethyst_brick_slab | minecraft:block | galosphere:amethyst_brick_slab galosphere:blocks/amethyst_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/amethyst_brick_stairs | minecraft:block | galosphere:amethyst_brick_stairs galosphere:blocks/amethyst_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/amethyst_bricks | minecraft:block | galosphere:amethyst_bricks galosphere:blocks/amethyst_bricks minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/amethyst_lamp | minecraft:block | galosphere:amethyst_lamp galosphere:blocks/amethyst_lamp minecraft:block minecraft:item minecraft:survives_explosion
