gnkinetics:blocks/andesite_cogwheel | minecraft:block | gnkinetics:andesite_cogwheel gnkinetics:blocks/andesite_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/brass_gear | minecraft:block | gnkinetics:blocks/brass_gear gnkinetics:brass_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/chainable_cogwheel | minecraft:block | gnkinetics:blocks/chainable_cogwheel gnkinetics:chainable_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/cog_crank | minecraft:block | gnkinetics:blocks/cog_crank gnkinetics:cog_crank minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/cogstone | minecraft:block | gnkinetics:blocks/cogstone gnkinetics:cogstone minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/creative_gear_motor | minecraft:block | gnkinetics:blocks/creative_gear_motor gnkinetics:creative_gear_motor minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/hollow_brass_gear | minecraft:block | gnkinetics:blocks/hollow_brass_gear gnkinetics:hollow_brass_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/hollow_cogwheel | minecraft:block | gnkinetics:blocks/hollow_cogwheel gnkinetics:hollow_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/hollow_large_brass_gear | minecraft:block | gnkinetics:blocks/hollow_large_brass_gear gnkinetics:hollow_large_brass_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/hollow_large_cogwheel | minecraft:block | gnkinetics:blocks/hollow_large_cogwheel gnkinetics:hollow_large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/industrial_gear | minecraft:block | gnkinetics:blocks/industrial_gear gnkinetics:industrial_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/large_brass_gear | minecraft:block | gnkinetics:blocks/large_brass_gear gnkinetics:large_brass_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/large_cog_crank | minecraft:block | gnkinetics:blocks/large_cog_crank gnkinetics:large_cog_crank minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/large_industrial_gear | minecraft:block | gnkinetics:blocks/large_industrial_gear gnkinetics:large_industrial_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/large_magnet_gear | minecraft:block | gnkinetics:blocks/large_magnet_gear gnkinetics:large_magnet_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/magnet_gear | minecraft:block | gnkinetics:blocks/magnet_gear gnkinetics:magnet_gear minecraft:block minecraft:item minecraft:survives_explosion
