grimoireofgaia:blocks/bust_gorgon | minecraft:block | grimoireofgaia:blocks/bust_gorgon grimoireofgaia:bust_gorgon minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/bust_minotaur | minecraft:block | grimoireofgaia:blocks/bust_minotaur grimoireofgaia:bust_minotaur minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/bust_sphinx | minecraft:block | grimoireofgaia:blocks/bust_sphinx grimoireofgaia:bust_sphinx minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/bust_valkyrie | minecraft:block | grimoireofgaia:blocks/bust_valkyrie grimoireofgaia:bust_valkyrie minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/bust_vampire | minecraft:block | grimoireofgaia:blocks/bust_vampire grimoireofgaia:bust_vampire minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/deco_garden_gnome | minecraft:block | grimoireofgaia:blocks/deco_garden_gnome grimoireofgaia:deco_garden_gnome minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/deco_mandragora_pot | minecraft:block | grimoireofgaia:blocks/deco_mandragora_pot grimoireofgaia:deco_mandragora_pot minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/deco_nest_harpy | minecraft:block | grimoireofgaia:blocks/deco_nest_harpy grimoireofgaia:deco_nest_harpy minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/doll_creeper_girl | minecraft:block | grimoireofgaia:blocks/doll_creeper_girl grimoireofgaia:doll_creeper_girl minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/doll_dryad | minecraft:block | grimoireofgaia:blocks/doll_dryad grimoireofgaia:doll_dryad minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/doll_dullahan | minecraft:block | grimoireofgaia:blocks/doll_dullahan grimoireofgaia:doll_dullahan minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/doll_ender_girl | minecraft:block | grimoireofgaia:blocks/doll_ender_girl grimoireofgaia:doll_ender_girl minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/doll_maid | minecraft:block | grimoireofgaia:blocks/doll_maid grimoireofgaia:doll_maid minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/doll_mermaid | minecraft:block | grimoireofgaia:blocks/doll_mermaid grimoireofgaia:doll_mermaid minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/doll_nine_tails | minecraft:block | grimoireofgaia:blocks/doll_nine_tails grimoireofgaia:doll_nine_tails minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/doll_slime_girl | minecraft:block | grimoireofgaia:blocks/doll_slime_girl grimoireofgaia:doll_slime_girl minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:blocks/pearl_block | minecraft:block | grimoireofgaia:blocks/pearl_block grimoireofgaia:pearl_block minecraft:block minecraft:item minecraft:survives_explosion
