illagerinvasion:blocks/imbuing_table | minecraft:block | illagerinvasion:blocks/imbuing_table illagerinvasion:imbuing_table minecraft:block minecraft:item minecraft:survives_explosion
illagerinvasion:blocks/magic_fire | minecraft:block | illagerinvasion:blocks/magic_fire minecraft:block
illagerinvasion:chests/illager_fort_ground | minecraft:chest | illagerinvasion:chests/illager_fort_ground minecraft:arrow minecraft:bread minecraft:chest minecraft:crossbow minecraft:emerald minecraft:enchant_with_levels minecraft:iron_axe minecraft:item minecraft:name_tag minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:shield minecraft:spruce_sapling minecraft:stick minecraft:sweet_berries minecraft:uniform
illagerinvasion:chests/illager_fort_tower | minecraft:chest | illagerinvasion:chests/illager_fort_tower minecraft:arrow minecraft:book minecraft:bread minecraft:chest minecraft:crossbow minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:iron_axe minecraft:iron_ingot minecraft:item minecraft:melon_seeds minecraft:name_tag minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:shield minecraft:spruce_sapling minecraft:stick minecraft:sweet_berries minecraft:uniform
illagerinvasion:chests/illusioner_tower_entrance | minecraft:chest | illagerinvasion:chests/illusioner_tower_entrance minecraft:book minecraft:chest minecraft:copper_ingot minecraft:emerald minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:name_tag minecraft:paper minecraft:random_chance minecraft:set_count minecraft:stick minecraft:string minecraft:uniform minecraft:wheat
illagerinvasion:chests/illusioner_tower_stairs | minecraft:chest | illagerinvasion:chests/illusioner_tower_stairs illagerinvasion:illusionary_dust minecraft:book minecraft:chest minecraft:copper_ingot minecraft:emerald minecraft:golden_apple minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:name_tag minecraft:paper minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:stick minecraft:string minecraft:uniform minecraft:wheat
illagerinvasion:chests/labyrinth | minecraft:chest | illagerinvasion:chests/labyrinth minecraft:book minecraft:bread minecraft:chest minecraft:copper_ingot minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:melon_seeds minecraft:name_tag minecraft:random_chance minecraft:set_count minecraft:string minecraft:uniform
illagerinvasion:chests/labyrinth_map | minecraft:chest | illagerinvasion:chests/labyrinth_map illagerinvasion:lost_candle minecraft:book minecraft:chest minecraft:clock minecraft:compass minecraft:feather minecraft:item minecraft:map minecraft:paper minecraft:set_count minecraft:uniform
illagerinvasion:chests/sorcerer_hut | minecraft:chest | illagerinvasion:chests/sorcerer_hut illagerinvasion:unusual_dust minecraft:book minecraft:chest minecraft:dark_oak_sapling minecraft:emerald minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:item minecraft:name_tag minecraft:paper minecraft:random_chance minecraft:set_count minecraft:uniform
illagerinvasion:entities/alchemist | minecraft:entity | illagerinvasion:entities/alchemist minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:glass_bottle minecraft:gunpowder minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:uniform
illagerinvasion:entities/archivist | minecraft:entity | illagerinvasion:entities/archivist minecraft:book minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:paper minecraft:set_count minecraft:uniform
