cataclysm:archaeology/cursed_pyramid | minecraft:archaeology | cataclysm:archaeology/cursed_pyramid cataclysm:necklace_of_the_desert minecraft:archaeology minecraft:archer_pottery_sherd minecraft:diamond minecraft:emerald minecraft:gunpowder minecraft:item minecraft:miner_pottery_sherd minecraft:prize_pottery_sherd minecraft:skull_pottery_sherd minecraft:tnt
cataclysm:archaeology/cursed_pyramid_necklace | minecraft:archaeology | cataclysm:archaeology/cursed_pyramid_necklace cataclysm:necklace_of_the_desert minecraft:archaeology minecraft:item
cataclysm:blocks/abyssal_egg | minecraft:block | cataclysm:abyssal_egg minecraft:block minecraft:item
cataclysm:blocks/ancient_metal_block | minecraft:block | cataclysm:ancient_metal_block minecraft:block minecraft:item
cataclysm:blocks/aptrgangr_head | minecraft:block | cataclysm:aptrgangr_head minecraft:block minecraft:item
cataclysm:blocks/azure_seastone | minecraft:block | cataclysm:azure_seastone minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_brick_slab | minecraft:block | cataclysm:azure_seastone_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
cataclysm:blocks/azure_seastone_brick_stairs | minecraft:block | cataclysm:azure_seastone_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/azure_seastone_brick_wall | minecraft:block | cataclysm:azure_seastone_brick_wall minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_bricks | minecraft:block | cataclysm:azure_seastone_bricks minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_fence | minecraft:block | cataclysm:azure_seastone_fence minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/azure_seastone_mural_cindaria | minecraft:block | cataclysm:azure_seastone_mural_cindaria minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_clawdian | minecraft:block | cataclysm:azure_seastone_mural_clawdian minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_empty | minecraft:block | cataclysm:azure_seastone_mural_empty minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_harvest | minecraft:block | cataclysm:azure_seastone_mural_harvest minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_hippocamtus | minecraft:block | cataclysm:azure_seastone_mural_hippocamtus minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_sea | minecraft:block | cataclysm:azure_seastone_mural_sea minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_smithing | minecraft:block | cataclysm:azure_seastone_mural_smithing minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_thunder | minecraft:block | cataclysm:azure_seastone_mural_thunder minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_underworld | minecraft:block | cataclysm:azure_seastone_mural_underworld minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_urchinkin | minecraft:block | cataclysm:azure_seastone_mural_urchinkin minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_mural_wisdom | minecraft:block | cataclysm:azure_seastone_mural_wisdom minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_pillar | minecraft:block | cataclysm:azure_seastone_pillar minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_pillar_wall | minecraft:block | cataclysm:azure_seastone_pillar_wall minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_slab | minecraft:block | cataclysm:azure_seastone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
cataclysm:blocks/azure_seastone_stairs | minecraft:block | cataclysm:azure_seastone_stairs minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/azure_seastone_tiles | minecraft:block | cataclysm:azure_seastone_tiles minecraft:block minecraft:item
cataclysm:blocks/azure_seastone_wall | minecraft:block | cataclysm:azure_seastone_wall minecraft:block minecraft:item
cataclysm:blocks/black_steel_block | minecraft:block | cataclysm:black_steel_block minecraft:block minecraft:item
cataclysm:blocks/black_steel_fence | minecraft:block | cataclysm:black_steel_fence minecraft:block minecraft:item
cataclysm:blocks/black_steel_wall | minecraft:block | cataclysm:black_steel_wall minecraft:block minecraft:item
cataclysm:blocks/blackstone_pillar | minecraft:block | cataclysm:blackstone_pillar minecraft:block minecraft:item
cataclysm:blocks/chiseled_azure_seastone | minecraft:block | cataclysm:chiseled_azure_seastone minecraft:block minecraft:item
cataclysm:blocks/chiseled_azure_seastone_pillar | minecraft:block | cataclysm:chiseled_azure_seastone_pillar minecraft:block minecraft:item
cataclysm:blocks/chiseled_azure_seastone_pillar_wall | minecraft:block | cataclysm:chiseled_azure_seastone_pillar_wall minecraft:block minecraft:item
cataclysm:blocks/chiseled_end_stone_bricks | minecraft:block | cataclysm:chiseled_end_stone_bricks minecraft:block minecraft:item
cataclysm:blocks/chiseled_obsidian_bricks | minecraft:block | cataclysm:chiseled_obsidian_bricks minecraft:block minecraft:item
cataclysm:blocks/chiseled_purpur_block | minecraft:block | cataclysm:chiseled_purpur_block minecraft:block minecraft:item
cataclysm:blocks/chiseled_stone_brick_pillar | minecraft:block | cataclysm:chiseled_stone_brick_pillar minecraft:block minecraft:item
cataclysm:blocks/chorus_fence | minecraft:block | cataclysm:chorus_fence minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/chorus_planks | minecraft:block | cataclysm:chorus_planks minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/chorus_slab | minecraft:block | cataclysm:chorus_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
cataclysm:blocks/chorus_stairs | minecraft:block | cataclysm:chorus_stairs minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/chorus_stem | minecraft:block | cataclysm:chorus_stem minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/chorus_trapdoor | minecraft:block | cataclysm:chorus_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/cursium_block | minecraft:block | cataclysm:cursium_block minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_cindaria_1 | minecraft:block | cataclysm:curved_azure_seastone_cindaria_1 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_cindaria_2 | minecraft:block | cataclysm:curved_azure_seastone_cindaria_2 minecraft:block minecraft:item
