mushroomquest:blocks/acacia_stump | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/acacia_stump
mushroomquest:blocks/artist_conk_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:artist_conk mushroomquest:blocks/artist_conk_block
mushroomquest:blocks/birch_trunk | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/birch_trunk
mushroomquest:blocks/blue_glowshroom | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/blue_glowshroom mushroomquest:blue_glowshroom_item
mushroomquest:blocks/bouncystool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/bouncystool mushroomquest:bouncystool
mushroomquest:blocks/common_puffball | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/common_puffball mushroomquest:common_puffball_item
mushroomquest:blocks/field_trunk | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/field_trunk
mushroomquest:blocks/green_glowshroom | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/green_glowshroom mushroomquest:green_glowshroom_item
mushroomquest:blocks/jungle_trunk | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/jungle_trunk
mushroomquest:blocks/lantern_shroom_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/lantern_shroom_block mushroomquest:jack_o_lantern_mushroom
mushroomquest:blocks/magenta_glowshroom | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/magenta_glowshroom mushroomquest:pink_glowshroom_item
mushroomquest:blocks/mega_mushies | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/mega_mushies mushroomquest:mega_mushies
mushroomquest:blocks/mini_mushies | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/mini_mushies mushroomquest:mini_mushies
mushroomquest:blocks/miso_soup_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/miso_soup_block mushroomquest:miso_soup_item
mushroomquest:blocks/mossy_maze_polypore_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/mossy_maze_polypore_block mushroomquest:mossy_maze_polypore
mushroomquest:blocks/oak_stump | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/oak_stump
mushroomquest:blocks/oak_stump_loot | minecraft:block | minecraft:apple minecraft:block minecraft:golden_apple minecraft:item minecraft:oak_log minecraft:oak_sapling minecraft:set_count mushroomquest:artist_conk_block mushroomquest:autumn_skullcap mushroomquest:bay_bolete mushroomquest:beech_mushrooms mushroomquest:beefsteak_fungus mushroomquest:black_truffle mushroomquest:bleeding_fairy_helmet mushroomquest:blocks/oak_stump_loot mushroomquest:candlesnuff mushroomquest:candy_cap mushroomquest:chickenofthe_woods mushroomquest:column_stinkhorn mushroomquest:common_bonnet mushroomquest:dark_scaled_knight mushroomquest:destroying_angels mushroomquest:fly_agaric mushroomquest:golden_chanterelle mushroomquest:golden_oyster mushroomquest:henofthe_woods mushroomquest:hornof_plenty mushroomquest:indigo_milkcap mushroomquest:lions_mane mushroomquest:mica_caps mushroomquest:oak_mazegill mushroomquest:penny_bun mushroomquest:pheasant_back mushroomquest:red_cracked_bolete mushroomquest:red_tear_mushroom mushroomquest:swamp_russula mushroomquest:the_blusher mushroomquest:the_sickener mushroomquest:weeping_conk mushroomquest:wine_cap mushroomquest:witchs_butter mushroomquest:wood_blewit mushroomquest:wood_ears mushroomquest:wooly_chanterelle mushroomquest:yellow_amanita
mushroomquest:blocks/portobellos_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/portobellos_block mushroomquest:portobello
mushroomquest:blocks/resin_orb | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/resin_orb mushroomquest:resin_orb
mushroomquest:blocks/shaggy_mane_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/shaggy_mane_block mushroomquest:shaggy_mane
mushroomquest:blocks/shrump | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/shrump
mushroomquest:blocks/spruce_stump | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/spruce_stump
mushroomquest:blocks/tall_crimson_fungi | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/tall_crimson_fungi mushroomquest:tall_crimson_fungi
mushroomquest:blocks/tall_warped_fungi | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion mushroomquest:blocks/tall_warped_fungi mushroomquest:tall_warped_fungi
mushroomquest:chests/witch_cottage_chests | minecraft:chest | minecraft:blaze_powder minecraft:bone minecraft:brown_mushroom minecraft:chest minecraft:dragon_breath minecraft:emerald minecraft:enchanted_golden_apple minecraft:experience_bottle minecraft:fermented_spider_eye minecraft:ghast_tear minecraft:glass_bottle minecraft:glistering_melon_slice minecraft:glowstone_dust minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:gunpowder minecraft:item minecraft:nether_wart minecraft:red_mushroom minecraft:redstone minecraft:set_count mushroomquest:blank_mushroom_cap_redone_helmet mushroomquest:blue_glowshroom_item mushroomquest:chests/witch_cottage_chests mushroomquest:green_glowshroom_item mushroomquest:pink_glowshroom_item mushroomquest:tree_resin
mushroomquest:fungi_culinary_crates | minecraft:chest | minecraft:apple minecraft:beetroot minecraft:bowl minecraft:bread minecraft:brown_mushroom minecraft:carrot minecraft:charcoal minecraft:chest minecraft:dried_kelp minecraft:glass_bottle minecraft:golden_apple minecraft:golden_carrot minecraft:item minecraft:mushroom_stew minecraft:potato minecraft:red_mushroom minecraft:set_count mushroomquest:black_truffle mushroomquest:chickenofthe_woods mushroomquest:fungi_culinary_crates mushroomquest:golden_chanterelle mushroomquest:grilled_chicken_of_the_woods mushroomquest:grilled_portobello mushroomquest:miso_soup_item mushroomquest:penny_bun mushroomquest:portobello mushroomquest:tree_resin
