northstar:blocks/amethyst_crystal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:amethyst_crystal northstar:blocks/amethyst_crystal
northstar:blocks/argyre_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform northstar:argyre_leaves northstar:argyre_sapling northstar:blocks/argyre_leaves
northstar:blocks/argyre_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:argyre_log northstar:blocks/argyre_log
northstar:blocks/argyre_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:argyre_planks northstar:blocks/argyre_planks
northstar:blocks/argyre_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:argyre_sapling northstar:blocks/argyre_sapling
northstar:blocks/argyre_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:argyre_slab northstar:blocks/argyre_slab
northstar:blocks/argyre_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:argyre_stairs northstar:blocks/argyre_stairs
northstar:blocks/astronomy_table | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:astronomy_table northstar:blocks/astronomy_table
northstar:blocks/atmospheric_concentrator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:atmospheric_concentrator northstar:blocks/atmospheric_concentrator
northstar:blocks/auto_lander | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:auto_lander northstar:blocks/auto_lander
northstar:blocks/bloom_fungus | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/bloom_fungus northstar:bloom_fungus
northstar:blocks/bloom_fungus_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/bloom_fungus_block northstar:bloom_fungus_block
