quark:blocks/acacia_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:acacia_bookshelf quark:blocks/acacia_bookshelf
quark:blocks/acacia_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:acacia_chest quark:blocks/acacia_chest
quark:blocks/acacia_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:acacia_hedge quark:blocks/acacia_hedge
quark:blocks/acacia_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:acacia_ladder quark:blocks/acacia_ladder
quark:blocks/acacia_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:acacia_leaf_carpet quark:blocks/acacia_leaf_carpet
quark:blocks/acacia_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:acacia_post quark:blocks/acacia_post
quark:blocks/acacia_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:acacia_vertical_slab quark:blocks/acacia_vertical_slab
quark:blocks/ancient_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_bookshelf quark:blocks/ancient_bookshelf
quark:blocks/ancient_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_button quark:blocks/ancient_button
quark:blocks/ancient_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_chest quark:blocks/ancient_chest
quark:blocks/ancient_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion quark:ancient_door quark:blocks/ancient_door
quark:blocks/ancient_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_fence quark:blocks/ancient_fence
quark:blocks/ancient_fence_gate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_fence_gate quark:blocks/ancient_fence_gate
quark:blocks/ancient_hanging_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_hanging_sign quark:blocks/ancient_hanging_sign
quark:blocks/ancient_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_hedge quark:blocks/ancient_hedge
quark:blocks/ancient_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_ladder quark:blocks/ancient_ladder
quark:blocks/ancient_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_leaf_carpet quark:blocks/ancient_leaf_carpet
quark:blocks/ancient_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:ancient_fruit quark:ancient_leaves quark:ancient_sapling quark:blocks/ancient_leaves
quark:blocks/ancient_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_log quark:blocks/ancient_log
quark:blocks/ancient_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_planks quark:blocks/ancient_planks
quark:blocks/ancient_planks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:ancient_planks_slab quark:blocks/ancient_planks_slab
quark:blocks/ancient_planks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_planks_stairs quark:blocks/ancient_planks_stairs
quark:blocks/ancient_planks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:ancient_planks_vertical_slab quark:blocks/ancient_planks_vertical_slab
quark:blocks/ancient_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_post quark:blocks/ancient_post
quark:blocks/ancient_pressure_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_pressure_plate quark:blocks/ancient_pressure_plate
quark:blocks/ancient_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_sapling quark:blocks/ancient_sapling
