terralith:desert_outpost | minecraft:chest | minecraft:arrow minecraft:book minecraft:carrot minecraft:chest minecraft:chests/pillager_outpost minecraft:crossbow minecraft:dune_armor_trim_smithing_template minecraft:empty minecraft:enchant_randomly minecraft:experience_bottle minecraft:goat_horn minecraft:iron_ingot minecraft:item minecraft:orange_wool minecraft:potato minecraft:sandstone minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_instrument minecraft:string minecraft:tripwire_hook minecraft:uniform minecraft:wheat
terralith:igloo | ? | minecraft:amethyst_shard minecraft:baked_potato minecraft:cherry_log minecraft:cherry_sapling minecraft:emerald minecraft:item minecraft:lapis_lazuli minecraft:set_components minecraft:set_count minecraft:set_lore minecraft:set_name minecraft:snowball minecraft:sweet_berries minecraft:writable_book
terralith:lodge_drinkables | ? | minecraft:blindness minecraft:bowl minecraft:glass_bottle minecraft:haste minecraft:healing minecraft:honey_bottle minecraft:item minecraft:jump_boost minecraft:long_night_vision minecraft:potion minecraft:regeneration minecraft:saturation minecraft:set_count minecraft:set_potion minecraft:set_stew_effect minecraft:slowness minecraft:strong_swiftness minecraft:suspicious_stew minecraft:water
terralith:mage/barracks | ? | minecraft:amethyst_shard minecraft:arrow minecraft:binomial minecraft:bow minecraft:bread minecraft:crossbow minecraft:emerald minecraft:enchant_with_levels minecraft:item minecraft:random_chance minecraft:set_count minecraft:set_potion minecraft:tipped_arrow minecraft:weakness
terralith:mage/extras | ? | minecraft:amethyst_shard minecraft:bread minecraft:emerald minecraft:item minecraft:loot_table minecraft:set_count minecraft:uniform terralith:mage/small_common_flowers
terralith:mage/small_common_flowers | minecraft:generic | minecraft:allium minecraft:azure_bluet minecraft:blue_orchid minecraft:cornflower minecraft:dandelion minecraft:generic minecraft:item minecraft:lily_of_the_valley minecraft:orange_tulip minecraft:oxeye_daisy minecraft:pink_tulip minecraft:poppy minecraft:red_tulip minecraft:white_tulip
terralith:mage/treasure | ? | minecraft:amethyst_cluster minecraft:amethyst_shard minecraft:arrow minecraft:bone minecraft:bone_meal minecraft:coal minecraft:cobweb minecraft:crossbow minecraft:diamond minecraft:glow_ink_sac minecraft:item minecraft:leather minecraft:paper minecraft:random_chance minecraft:set_count minecraft:string minecraft:warped_planks
terralith:royal_jelly | ? | minecraft:absorption minecraft:awkward minecraft:glowing minecraft:haste minecraft:item minecraft:potion minecraft:saturation minecraft:set_components minecraft:set_name minecraft:speed
terralith:ruin/glacial/junk | minecraft:chest | minecraft:apple minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:cooked_beef minecraft:cooked_chicken minecraft:cooked_porkchop minecraft:enchant_with_levels minecraft:ice minecraft:item minecraft:leather_boots minecraft:leather_chestplate minecraft:leather_helmet minecraft:leather_leggings minecraft:porkchop minecraft:powder_snow_bucket minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:snow_block minecraft:snowball minecraft:stone_axe minecraft:stone_pickaxe minecraft:stone_shovel minecraft:wooden_axe minecraft:wooden_pickaxe minecraft:wooden_shovel minecraft:wooden_sword
terralith:ruin/glacial/main_cs | minecraft:chest | minecraft:apple minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:cooked_beef minecraft:cooked_chicken minecraft:cooked_porkchop minecraft:enchant_with_levels minecraft:ice minecraft:item minecraft:leather_boots minecraft:leather_chestplate minecraft:leather_helmet minecraft:leather_leggings minecraft:porkchop minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:snow_block minecraft:stone_axe minecraft:stone_pickaxe minecraft:stone_shovel minecraft:wooden_axe minecraft:wooden_pickaxe minecraft:wooden_shovel minecraft:wooden_sword
terralith:spire/common | minecraft:chest | minecraft:blue_ice minecraft:bone_block minecraft:book minecraft:candles minecraft:chest minecraft:copper_block minecraft:copper_ingot minecraft:diamond minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:gunpowder minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:lapis_lazuli minecraft:leather minecraft:packed_ice minecraft:paper minecraft:powder_snow_bucket minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:snowball minecraft:tag terralith:spire/common_tools
