securitycraft:blocks/alarm | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:alarm securitycraft:blocks/alarm
securitycraft:blocks/ancient_debris_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:ancient_debris_mine securitycraft:blocks/ancient_debris_mine
securitycraft:blocks/blast_furnace_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blast_furnace_mine securitycraft:blocks/blast_furnace_mine
securitycraft:blocks/block_change_detector | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:block_change_detector securitycraft:blocks/block_change_detector
securitycraft:blocks/block_pocket_manager | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:block_pocket_manager securitycraft:blocks/block_pocket_manager
securitycraft:blocks/block_pocket_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:block_pocket_wall securitycraft:blocks/block_pocket_wall
securitycraft:blocks/bouncing_betty | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/bouncing_betty securitycraft:bouncing_betty
securitycraft:blocks/cage_trap | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/cage_trap securitycraft:cage_trap
securitycraft:blocks/chiseled_crystal_quartz | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/chiseled_crystal_quartz securitycraft:chiseled_crystal_quartz
securitycraft:blocks/claymore | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/claymore securitycraft:claymore
securitycraft:blocks/coal_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/coal_mine securitycraft:coal_mine
securitycraft:blocks/cobbled_deepslate_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/cobbled_deepslate_mine securitycraft:cobbled_deepslate_mine
securitycraft:blocks/cobblestone_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/cobblestone_mine securitycraft:cobblestone_mine
