ctov:chests/village/village_badlands_house | minecraft:chest | minecraft:book minecraft:bread minecraft:cactus minecraft:chest minecraft:dead_bush minecraft:emerald minecraft:green_dye minecraft:item minecraft:red_sand minecraft:set_count minecraft:uniform minecraft:wheat
ctov:chests/village/village_bakery | ? | ctov:chests/village/village_farm minecraft:chests/village/village_butcher minecraft:loot_table
ctov:chests/village/village_beach_house | minecraft:chest | minecraft:book minecraft:bread minecraft:chest minecraft:dead_bush minecraft:emerald minecraft:item minecraft:sand minecraft:set_count minecraft:sugar_cane minecraft:uniform minecraft:wheat
ctov:chests/village/village_dark_forest_house | minecraft:chest | minecraft:apple minecraft:book minecraft:bread minecraft:chest minecraft:dandelion minecraft:dark_oak_sapling minecraft:emerald minecraft:feather minecraft:gold_nugget minecraft:item minecraft:poppy minecraft:potato minecraft:set_count minecraft:uniform
ctov:chests/village/village_farm | minecraft:chest | minecraft:beetroot minecraft:carrot minecraft:chest minecraft:emerald minecraft:gameplay/hero_of_the_village/farmer_gift minecraft:item minecraft:loot_table minecraft:potato minecraft:set_count minecraft:uniform minecraft:wheat
ctov:chests/village/village_forager | ? | byg:all/saplings byg:mushrooms_for_foragers_table minecraft:set_count minecraft:tag
ctov:chests/village/village_jungle_house | minecraft:chest | minecraft:book minecraft:chest minecraft:cocoa_beans minecraft:cookie minecraft:emerald minecraft:feather minecraft:gold_nugget minecraft:item minecraft:jungle_sapling minecraft:potato minecraft:set_count minecraft:uniform
ctov:chests/village/village_library | ? | minecraft:book minecraft:enchant_with_levels minecraft:item minecraft:paper minecraft:set_count minecraft:writable_book
ctov:chests/village/village_mountain_house | minecraft:chest | minecraft:bread minecraft:chest minecraft:emerald minecraft:iron_nugget minecraft:item minecraft:potato minecraft:pumpkin_pie minecraft:pumpkin_seeds minecraft:set_count minecraft:spruce_sapling minecraft:sweet_berries minecraft:uniform
ctov:chests/village/village_mushroom_house | minecraft:chest | minecraft:book minecraft:bread minecraft:brown_mushroom minecraft:chest minecraft:emerald minecraft:feather minecraft:gold_nugget minecraft:item minecraft:potato minecraft:red_mushroom minecraft:set_count minecraft:uniform
ctov:chests/village/village_smith | ? | minecraft:chests/village/village_armorer minecraft:chests/village/village_fletcher minecraft:chests/village/village_toolsmith minecraft:chests/village/village_weaponsmith minecraft:loot_table
ctov:chests/village/village_swamp_house | minecraft:chest | minecraft:apple minecraft:blue_orchid minecraft:book minecraft:bread minecraft:chest minecraft:emerald minecraft:feather minecraft:gold_nugget minecraft:item minecraft:lily_pad minecraft:potato minecraft:set_count minecraft:uniform
monobank:monobank/village/badlands | ? | minecraft:emerald minecraft:emerald_block minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:set_count minecraft:uniform
monobank:monobank/village/beach | ? | minecraft:emerald minecraft:emerald_block minecraft:exploration_map minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:map minecraft:ocean_ruin minecraft:set_count minecraft:set_name minecraft:uniform
monobank:monobank/village/dark_forest | ? | minecraft:emerald minecraft:emerald_block minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:set_count minecraft:uniform
monobank:monobank/village/jungle | ? | minecraft:emerald minecraft:emerald_block minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:set_count minecraft:uniform
monobank:monobank/village/mountain | ? | minecraft:emerald minecraft:emerald_block minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:set_count minecraft:uniform
monobank:monobank/village/mushroom | ? | minecraft:emerald minecraft:emerald_block minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:set_count minecraft:uniform
monobank:monobank/village/swamp | ? | minecraft:emerald minecraft:emerald_block minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:set_count minecraft:uniform
wares:agreement/village/badlands_payment_buy | minecraft:chest | minecraft:bread minecraft:cactus minecraft:chest minecraft:clay_ball minecraft:dead_bush minecraft:item minecraft:paper minecraft:rabbit_hide minecraft:set_count minecraft:uniform minecraft:wheat wares:agreement/village/badlands_payment_buy
wares:agreement/village/badlands_payment_sell | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/badlands_payment_sell
