ars_nouveau:blocks/agronomic_sourcelink | minecraft:block | ars_nouveau:agronomic_sourcelink ars_nouveau:blocks/agronomic_sourcelink minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/alchemical_sourcelink | minecraft:block | ars_nouveau:alchemical_sourcelink ars_nouveau:blocks/alchemical_sourcelink minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/alteration_table | minecraft:block | ars_nouveau:alteration_table ars_nouveau:blocks/alteration_table minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/arcane_core | minecraft:block | ars_nouveau:arcane_core ars_nouveau:blocks/arcane_core minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/arcane_pedestal | minecraft:block | ars_nouveau:arcane_pedestal ars_nouveau:blocks/arcane_pedestal minecraft:block minecraft:copy_name minecraft:item
ars_nouveau:blocks/arcane_platform | minecraft:block | ars_nouveau:arcane_platform ars_nouveau:blocks/arcane_platform minecraft:block minecraft:copy_name minecraft:item
ars_nouveau:blocks/archwood_button | minecraft:block | ars_nouveau:archwood_button ars_nouveau:blocks/archwood_button minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_chest | minecraft:block | ars_nouveau:archwood_chest ars_nouveau:blocks/archwood_chest minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_door | minecraft:block | ars_nouveau:archwood_door ars_nouveau:blocks/archwood_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_fence | minecraft:block | ars_nouveau:archwood_fence ars_nouveau:blocks/archwood_fence minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_fence_gate | minecraft:block | ars_nouveau:archwood_fence_gate ars_nouveau:blocks/archwood_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_grate | minecraft:block | ars_nouveau:archwood_grate ars_nouveau:blocks/archwood_grate minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_hanging_sign | minecraft:block | ars_nouveau:archwood_hanging_sign ars_nouveau:blocks/archwood_hanging_sign minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_hanging_wall_sign | minecraft:block | ars_nouveau:archwood_hanging_sign ars_nouveau:blocks/archwood_hanging_wall_sign minecraft:block minecraft:item minecraft:survives_explosion
