bits_n_bobs:blocks/andesite_tile_slab | minecraft:block | bits_n_bobs:andesite_tile_slab bits_n_bobs:blocks/andesite_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
bits_n_bobs:blocks/andesite_tile_stairs | minecraft:block | bits_n_bobs:andesite_tile_stairs bits_n_bobs:blocks/andesite_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/andesite_tile_wall | minecraft:block | bits_n_bobs:andesite_tile_wall bits_n_bobs:blocks/andesite_tile_wall minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/andesite_tiles | minecraft:block | bits_n_bobs:andesite_tiles bits_n_bobs:blocks/andesite_tiles minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/asurine_tile_slab | minecraft:block | bits_n_bobs:asurine_tile_slab bits_n_bobs:blocks/asurine_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
bits_n_bobs:blocks/asurine_tile_stairs | minecraft:block | bits_n_bobs:asurine_tile_stairs bits_n_bobs:blocks/asurine_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/asurine_tile_wall | minecraft:block | bits_n_bobs:asurine_tile_wall bits_n_bobs:blocks/asurine_tile_wall minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/asurine_tiles | minecraft:block | bits_n_bobs:asurine_tiles bits_n_bobs:blocks/asurine_tiles minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/black_chair | minecraft:block | bits_n_bobs:black_chair bits_n_bobs:blocks/black_chair minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/black_large_nixie_tube | minecraft:block | bits_n_bobs:blocks/black_large_nixie_tube minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/black_nixie_board | minecraft:block | bits_n_bobs:blocks/black_nixie_board minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/blue_chair | minecraft:block | bits_n_bobs:blocks/blue_chair bits_n_bobs:blue_chair minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/blue_large_nixie_tube | minecraft:block | bits_n_bobs:blocks/blue_large_nixie_tube minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/blue_nixie_board | minecraft:block | bits_n_bobs:blocks/blue_nixie_board minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/brass_lamp | minecraft:block | bits_n_bobs:blocks/brass_lamp bits_n_bobs:brass_lamp minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/brown_chair | minecraft:block | bits_n_bobs:blocks/brown_chair bits_n_bobs:brown_chair minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/brown_large_nixie_tube | minecraft:block | bits_n_bobs:blocks/brown_large_nixie_tube minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/brown_nixie_board | minecraft:block | bits_n_bobs:blocks/brown_nixie_board minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/calcite_tile_slab | minecraft:block | bits_n_bobs:blocks/calcite_tile_slab bits_n_bobs:calcite_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
bits_n_bobs:blocks/calcite_tile_stairs | minecraft:block | bits_n_bobs:blocks/calcite_tile_stairs bits_n_bobs:calcite_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/calcite_tile_wall | minecraft:block | bits_n_bobs:blocks/calcite_tile_wall bits_n_bobs:calcite_tile_wall minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/calcite_tiles | minecraft:block | bits_n_bobs:blocks/calcite_tiles bits_n_bobs:calcite_tiles minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/chain_pulley | minecraft:block | bits_n_bobs:blocks/chain_pulley bits_n_bobs:chain_pulley minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/chain_pulley_magnet | minecraft:block | bits_n_bobs:blocks/chain_pulley_magnet minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/chain_rope | minecraft:block | bits_n_bobs:blocks/chain_rope minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/crimsite_tile_slab | minecraft:block | bits_n_bobs:blocks/crimsite_tile_slab bits_n_bobs:crimsite_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
bits_n_bobs:blocks/crimsite_tile_stairs | minecraft:block | bits_n_bobs:blocks/crimsite_tile_stairs bits_n_bobs:crimsite_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/crimsite_tile_wall | minecraft:block | bits_n_bobs:blocks/crimsite_tile_wall bits_n_bobs:crimsite_tile_wall minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/crimsite_tiles | minecraft:block | bits_n_bobs:blocks/crimsite_tiles bits_n_bobs:crimsite_tiles minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/cyan_chair | minecraft:block | bits_n_bobs:blocks/cyan_chair bits_n_bobs:cyan_chair minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/cyan_large_nixie_tube | minecraft:block | bits_n_bobs:blocks/cyan_large_nixie_tube minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/cyan_nixie_board | minecraft:block | bits_n_bobs:blocks/cyan_nixie_board minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/deepslate_tile_slab | minecraft:block | bits_n_bobs:blocks/deepslate_tile_slab bits_n_bobs:deepslate_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
bits_n_bobs:blocks/deepslate_tile_stairs | minecraft:block | bits_n_bobs:blocks/deepslate_tile_stairs bits_n_bobs:deepslate_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/deepslate_tile_wall | minecraft:block | bits_n_bobs:blocks/deepslate_tile_wall bits_n_bobs:deepslate_tile_wall minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/deepslate_tiles | minecraft:block | bits_n_bobs:blocks/deepslate_tiles bits_n_bobs:deepslate_tiles minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/diorite_tile_slab | minecraft:block | bits_n_bobs:blocks/diorite_tile_slab bits_n_bobs:diorite_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
bits_n_bobs:blocks/diorite_tile_stairs | minecraft:block | bits_n_bobs:blocks/diorite_tile_stairs bits_n_bobs:diorite_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/diorite_tile_wall | minecraft:block | bits_n_bobs:blocks/diorite_tile_wall bits_n_bobs:diorite_tile_wall minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/diorite_tiles | minecraft:block | bits_n_bobs:blocks/diorite_tiles bits_n_bobs:diorite_tiles minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/dripstone_tile_slab | minecraft:block | bits_n_bobs:blocks/dripstone_tile_slab bits_n_bobs:dripstone_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
bits_n_bobs:blocks/dripstone_tile_stairs | minecraft:block | bits_n_bobs:blocks/dripstone_tile_stairs bits_n_bobs:dripstone_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
bits_n_bobs:blocks/dripstone_tile_wall | minecraft:block | bits_n_bobs:blocks/dripstone_tile_wall bits_n_bobs:dripstone_tile_wall minecraft:block minecraft:item minecraft:survives_explosion
