born_in_chaos_v1:blocks/argillite_lamp | minecraft:block | born_in_chaos_v1:argillite_lamp born_in_chaos_v1:blocks/argillite_lamp minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/black_argillite | minecraft:block | born_in_chaos_v1:black_argillite born_in_chaos_v1:blocks/black_argillite minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/black_argillite_brick | minecraft:block | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:blocks/black_argillite_brick minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/black_argillite_brick_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_brick_n minecraft:block
born_in_chaos_v1:blocks/black_argillite_brick_slab | minecraft:block | born_in_chaos_v1:black_argillite_brick_slab born_in_chaos_v1:blocks/black_argillite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
born_in_chaos_v1:blocks/black_argillite_brick_slab_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_brick_slab_n minecraft:block
born_in_chaos_v1:blocks/black_argillite_brick_stairs | minecraft:block | born_in_chaos_v1:black_argillite_brick_stairs born_in_chaos_v1:blocks/black_argillite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/black_argillite_brick_stairs_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_brick_stairs_n minecraft:block
born_in_chaos_v1:blocks/black_argillite_brick_wall | minecraft:block | born_in_chaos_v1:black_argillite_brick_wall born_in_chaos_v1:blocks/black_argillite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/black_argillite_brick_wall_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_brick_wall_n minecraft:block
born_in_chaos_v1:blocks/black_argillite_button | minecraft:block | born_in_chaos_v1:black_argillite_button born_in_chaos_v1:blocks/black_argillite_button minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/black_argillite_column | minecraft:block | born_in_chaos_v1:black_argillite_column born_in_chaos_v1:blocks/black_argillite_column minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/black_argillite_column_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_column_n minecraft:block
born_in_chaos_v1:blocks/black_argillite_column_slab | minecraft:block | born_in_chaos_v1:black_argillite_column_slab born_in_chaos_v1:blocks/black_argillite_column_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
born_in_chaos_v1:blocks/black_argillite_column_slab_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_column_slab_n minecraft:block
born_in_chaos_v1:blocks/black_argillite_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_n minecraft:block
born_in_chaos_v1:blocks/black_argillite_slab | minecraft:block | born_in_chaos_v1:black_argillite_slab born_in_chaos_v1:blocks/black_argillite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
born_in_chaos_v1:blocks/black_argillite_slab_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_slab_n minecraft:block
born_in_chaos_v1:blocks/black_argillite_stairs | minecraft:block | born_in_chaos_v1:black_argillite_stairs born_in_chaos_v1:blocks/black_argillite_stairs minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/black_argillite_stairs_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_stairs_n minecraft:block
born_in_chaos_v1:blocks/black_argillite_wall | minecraft:block | born_in_chaos_v1:black_argillite_wall born_in_chaos_v1:blocks/black_argillite_wall minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/black_argillite_wall_n | minecraft:block | born_in_chaos_v1:blocks/black_argillite_wall_n minecraft:block
born_in_chaos_v1:blocks/black_argillitepressureplate | minecraft:block | born_in_chaos_v1:black_argillitepressureplate born_in_chaos_v1:blocks/black_argillitepressureplate minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/bundle_of_bones | minecraft:block | born_in_chaos_v1:blocks/bundle_of_bones born_in_chaos_v1:bundle_of_bones minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/c_black_argillite_brick_n | minecraft:block | born_in_chaos_v1:blocks/c_black_argillite_brick_n minecraft:block
born_in_chaos_v1:blocks/carved_black_argillite | minecraft:block | born_in_chaos_v1:blocks/carved_black_argillite born_in_chaos_v1:carved_black_argillite minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/carved_black_argillite_n | minecraft:block | born_in_chaos_v1:blocks/carved_black_argillite_n minecraft:block
born_in_chaos_v1:blocks/chipped_black_argillite_brick | minecraft:block | born_in_chaos_v1:blocks/chipped_black_argillite_brick born_in_chaos_v1:chipped_black_argillite_brick minecraft:block minecraft:item minecraft:survives_explosion
