cbc_at:blocks/armor_piercing_cartridge | minecraft:block | cbc_at:armor_piercing_cartridge createbigcannons:blocks/ap_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/armor_piercing_caseless | minecraft:block | cbc_at:armor_piercing_caseless createbigcannons:blocks/ap_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/armor_piercing_shell_cartridge | minecraft:block | cbc_at:armor_piercing_shell_cartridge createbigcannons:blocks/ap_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/armor_piercing_shell_caseless | minecraft:block | cbc_at:armor_piercing_shell_caseless createbigcannons:blocks/ap_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/autocannon_muzzle_brake_mould | minecraft:block | cbc_at:autocannon_muzzle_brake_mould cbc_at:blocks/autocannon_muzzle_brake_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/autocannon_silencer_mould | minecraft:block | cbc_at:autocannon_silencer_mould cbc_at:blocks/autocannon_silencer_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/bronze_autocannon_muzzle_brake | minecraft:block | cbc_at:bronze_autocannon_muzzle_brake createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_autocannon_silencer | minecraft:block | cbc_at:bronze_autocannon_silencer createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_fume_extractor | minecraft:block | cbc_at:blocks/bronze_fume_extractor cbc_at:bronze_fume_extractor createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_heavy_autocannon_barrel | minecraft:block | cbc_at:bronze_heavy_autocannon_barrel createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_heavy_autocannon_breech | minecraft:block | cbc_at:bronze_heavy_autocannon_breech createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_heavy_autocannon_muzzle_brake | minecraft:block | cbc_at:bronze_heavy_autocannon_muzzle_brake createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_heavy_autocannon_qfbreech | minecraft:block | cbc_at:bronze_heavy_autocannon_qfbreech createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_heavy_autocannon_recoil_spring | minecraft:block | cbc_at:bronze_heavy_autocannon_recoil_spring createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_heavy_autocannon_silencer | minecraft:block | cbc_at:bronze_heavy_autocannon_silencer createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_muzzle_brake | minecraft:block | cbc_at:bronze_muzzle_brake createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_rifled_barrel | minecraft:block | cbc_at:blocks/bronze_rifled_barrel cbc_at:bronze_rifled_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_rocket_breech_rail | minecraft:block | cbc_at:bronze_rocket_breech_rail createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_rocket_pod_rail | minecraft:block | cbc_at:bronze_rocket_pod_rail createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
