charta:blocks/acacia_bar_shelf | minecraft:block | charta:acacia_bar_shelf charta:blocks/acacia_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/acacia_bar_stool | minecraft:block | charta:acacia_bar_stool charta:blocks/acacia_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/acacia_card_table | minecraft:block | charta:acacia_card_table charta:blocks/acacia_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/acacia_game_chair | minecraft:block | charta:acacia_game_chair charta:blocks/acacia_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/bamboo_bar_shelf | minecraft:block | charta:bamboo_bar_shelf charta:blocks/bamboo_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/bamboo_bar_stool | minecraft:block | charta:bamboo_bar_stool charta:blocks/bamboo_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/bamboo_card_table | minecraft:block | charta:bamboo_card_table charta:blocks/bamboo_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/bamboo_game_chair | minecraft:block | charta:bamboo_game_chair charta:blocks/bamboo_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/berry_wine_glass | minecraft:block | charta:berry_wine_glass charta:blocks/berry_wine_glass minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/birch_bar_shelf | minecraft:block | charta:birch_bar_shelf charta:blocks/birch_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/birch_bar_stool | minecraft:block | charta:birch_bar_stool charta:blocks/birch_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/birch_card_table | minecraft:block | charta:birch_card_table charta:blocks/birch_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/birch_game_chair | minecraft:block | charta:birch_game_chair charta:blocks/birch_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/cactus_wine_glass | minecraft:block | charta:blocks/cactus_wine_glass charta:cactus_wine_glass minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/cherry_bar_shelf | minecraft:block | charta:blocks/cherry_bar_shelf charta:cherry_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/cherry_bar_stool | minecraft:block | charta:blocks/cherry_bar_stool charta:cherry_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/cherry_card_table | minecraft:block | charta:blocks/cherry_card_table charta:cherry_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/cherry_game_chair | minecraft:block | charta:blocks/cherry_game_chair charta:cherry_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/crimson_bar_shelf | minecraft:block | charta:blocks/crimson_bar_shelf charta:crimson_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/crimson_bar_stool | minecraft:block | charta:blocks/crimson_bar_stool charta:crimson_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/crimson_card_table | minecraft:block | charta:blocks/crimson_card_table charta:crimson_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/crimson_game_chair | minecraft:block | charta:blocks/crimson_game_chair charta:crimson_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/dark_oak_bar_shelf | minecraft:block | charta:blocks/dark_oak_bar_shelf charta:dark_oak_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/dark_oak_bar_stool | minecraft:block | charta:blocks/dark_oak_bar_stool charta:dark_oak_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/dark_oak_card_table | minecraft:block | charta:blocks/dark_oak_card_table charta:dark_oak_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/dark_oak_game_chair | minecraft:block | charta:blocks/dark_oak_game_chair charta:dark_oak_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/dealer_table | minecraft:block | charta:blocks/dealer_table charta:dealer_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/empty_beer_glass | minecraft:block | charta:blocks/empty_beer_glass charta:empty_beer_glass minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/empty_wine_glass | minecraft:block | charta:blocks/empty_wine_glass charta:empty_wine_glass minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/jungle_bar_shelf | minecraft:block | charta:blocks/jungle_bar_shelf charta:jungle_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/jungle_bar_stool | minecraft:block | charta:blocks/jungle_bar_stool charta:jungle_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/jungle_card_table | minecraft:block | charta:blocks/jungle_card_table charta:jungle_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/jungle_game_chair | minecraft:block | charta:blocks/jungle_game_chair charta:jungle_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/mangrove_bar_shelf | minecraft:block | charta:blocks/mangrove_bar_shelf charta:mangrove_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/mangrove_bar_stool | minecraft:block | charta:blocks/mangrove_bar_stool charta:mangrove_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/mangrove_card_table | minecraft:block | charta:blocks/mangrove_card_table charta:mangrove_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/mangrove_game_chair | minecraft:block | charta:blocks/mangrove_game_chair charta:mangrove_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/oak_bar_shelf | minecraft:block | charta:blocks/oak_bar_shelf charta:oak_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/oak_bar_stool | minecraft:block | charta:blocks/oak_bar_stool charta:oak_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/oak_card_table | minecraft:block | charta:blocks/oak_card_table charta:oak_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/oak_game_chair | minecraft:block | charta:blocks/oak_game_chair charta:oak_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/sorghum_beer_glass | minecraft:block | charta:blocks/sorghum_beer_glass charta:sorghum_beer_glass minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/spruce_bar_shelf | minecraft:block | charta:blocks/spruce_bar_shelf charta:spruce_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/spruce_bar_stool | minecraft:block | charta:blocks/spruce_bar_stool charta:spruce_bar_stool minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/spruce_card_table | minecraft:block | charta:blocks/spruce_card_table charta:spruce_card_table minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/spruce_game_chair | minecraft:block | charta:blocks/spruce_game_chair charta:spruce_game_chair minecraft:block minecraft:item minecraft:survives_explosion
charta:blocks/warped_bar_shelf | minecraft:block | charta:blocks/warped_bar_shelf charta:warped_bar_shelf minecraft:block minecraft:item minecraft:survives_explosion
