comforts:blocks/hammock_black | minecraft:block | comforts:blocks/hammock_black comforts:hammock_black minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_blue | minecraft:block | comforts:blocks/hammock_blue comforts:hammock_blue minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_brown | minecraft:block | comforts:blocks/hammock_brown comforts:hammock_brown minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_cyan | minecraft:block | comforts:blocks/hammock_cyan comforts:hammock_cyan minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_gray | minecraft:block | comforts:blocks/hammock_gray comforts:hammock_gray minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_green | minecraft:block | comforts:blocks/hammock_green comforts:hammock_green minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_light_blue | minecraft:block | comforts:blocks/hammock_light_blue comforts:hammock_light_blue minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_light_gray | minecraft:block | comforts:blocks/hammock_light_gray comforts:hammock_light_gray minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_lime | minecraft:block | comforts:blocks/hammock_lime comforts:hammock_lime minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_magenta | minecraft:block | comforts:blocks/hammock_magenta comforts:hammock_magenta minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_orange | minecraft:block | comforts:blocks/hammock_orange comforts:hammock_orange minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_pink | minecraft:block | comforts:blocks/hammock_pink comforts:hammock_pink minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_purple | minecraft:block | comforts:blocks/hammock_purple comforts:hammock_purple minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_red | minecraft:block | comforts:blocks/hammock_red comforts:hammock_red minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_white | minecraft:block | comforts:blocks/hammock_white comforts:hammock_white minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/hammock_yellow | minecraft:block | comforts:blocks/hammock_yellow comforts:hammock_yellow minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/rope_and_nail | minecraft:block | comforts:blocks/rope_and_nail comforts:rope_and_nail minecraft:block minecraft:item minecraft:survives_explosion
comforts:blocks/sleeping_bag_black | minecraft:block | comforts:blocks/sleeping_bag_black comforts:sleeping_bag_black minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/sleeping_bag_blue | minecraft:block | comforts:blocks/sleeping_bag_blue comforts:sleeping_bag_blue minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/sleeping_bag_brown | minecraft:block | comforts:blocks/sleeping_bag_brown comforts:sleeping_bag_brown minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/sleeping_bag_cyan | minecraft:block | comforts:blocks/sleeping_bag_cyan comforts:sleeping_bag_cyan minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/sleeping_bag_gray | minecraft:block | comforts:blocks/sleeping_bag_gray comforts:sleeping_bag_gray minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/sleeping_bag_green | minecraft:block | comforts:blocks/sleeping_bag_green comforts:sleeping_bag_green minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/sleeping_bag_light_blue | minecraft:block | comforts:blocks/sleeping_bag_light_blue comforts:sleeping_bag_light_blue minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
comforts:blocks/sleeping_bag_light_gray | minecraft:block | comforts:blocks/sleeping_bag_light_gray comforts:sleeping_bag_light_gray minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
