copycats:blocks/copycat_base | minecraft:block | copycats:blocks/copycat_base minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_beam | minecraft:block | copycats:blocks/copycat_beam copycats:copycat_beam minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_block | minecraft:block | copycats:blocks/copycat_block copycats:copycat_block minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_board | minecraft:block | copycats:blocks/copycat_board copycats:copycat_board minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_byte | minecraft:block | copycats:blocks/copycat_byte copycats:copycat_byte minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_byte_panel | minecraft:block | copycats:blocks/copycat_byte_panel copycats:copycat_byte_panel minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_cogwheel | minecraft:block | copycats:blocks/copycat_cogwheel copycats:copycat_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_corner_slice | minecraft:block | copycats:blocks/copycat_corner_slice copycats:copycat_corner_slice minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion
copycats:blocks/copycat_door | minecraft:block | copycats:blocks/copycat_door copycats:copycat_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_fence | minecraft:block | copycats:blocks/copycat_fence copycats:copycat_fence minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_fence_gate | minecraft:block | copycats:blocks/copycat_fence_gate copycats:copycat_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_flat_pane | minecraft:block | copycats:blocks/copycat_flat_pane copycats:copycat_flat_pane minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_fluid_pipe | minecraft:block | copycats:blocks/copycat_fluid_pipe copycats:copycat_fluid_pipe minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_folding_door | minecraft:block | copycats:blocks/copycat_folding_door copycats:copycat_folding_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_ghost_block | minecraft:block | copycats:blocks/copycat_ghost_block copycats:copycat_ghost_block minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_glass_fluid_pipe | minecraft:block | copycats:blocks/copycat_glass_fluid_pipe copycats:copycat_fluid_pipe minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_half_layer | minecraft:block | copycats:blocks/copycat_half_layer copycats:copycat_half_layer minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion
copycats:blocks/copycat_half_panel | minecraft:block | copycats:blocks/copycat_half_panel copycats:copycat_half_panel minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_heavy_weighted_pressure_plate | minecraft:block | copycats:blocks/copycat_heavy_weighted_pressure_plate copycats:copycat_heavy_weighted_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_iron_door | minecraft:block | copycats:blocks/copycat_iron_door copycats:copycat_iron_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_iron_trapdoor | minecraft:block | copycats:blocks/copycat_iron_trapdoor copycats:copycat_iron_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_ladder | minecraft:block | copycats:blocks/copycat_ladder copycats:copycat_ladder minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_large_cogwheel | minecraft:block | copycats:blocks/copycat_large_cogwheel copycats:copycat_large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_layer | minecraft:block | copycats:blocks/copycat_layer copycats:copycat_layer minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion
copycats:blocks/copycat_light_weighted_pressure_plate | minecraft:block | copycats:blocks/copycat_light_weighted_pressure_plate copycats:copycat_light_weighted_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_pane | minecraft:block | copycats:blocks/copycat_pane copycats:copycat_pane minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_shaft | minecraft:block | copycats:blocks/copycat_shaft copycats:copycat_shaft minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_slab | minecraft:block | copycats:blocks/copycat_slab copycats:copycat_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
copycats:blocks/copycat_slice | minecraft:block | copycats:blocks/copycat_slice copycats:copycat_slice minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion
copycats:blocks/copycat_sliding_door | minecraft:block | copycats:blocks/copycat_sliding_door copycats:copycat_sliding_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_slope | minecraft:block | copycats:blocks/copycat_slope copycats:copycat_slope minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_slope_layer | minecraft:block | copycats:blocks/copycat_slope_layer copycats:copycat_slope_layer minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion
copycats:blocks/copycat_stacked_half_layer | minecraft:block | copycats:blocks/copycat_stacked_half_layer copycats:copycat_stacked_half_layer minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion
copycats:blocks/copycat_stairs | minecraft:block | copycats:blocks/copycat_stairs copycats:copycat_stairs minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_stone_button | minecraft:block | copycats:blocks/copycat_stone_button copycats:copycat_stone_button minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_stone_pressure_plate | minecraft:block | copycats:blocks/copycat_stone_pressure_plate copycats:copycat_stone_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_trapdoor | minecraft:block | copycats:blocks/copycat_trapdoor copycats:copycat_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
copycats:blocks/copycat_vertical_half_layer | minecraft:block | copycats:blocks/copycat_vertical_half_layer copycats:copycat_vertical_half_layer minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion
