create:blocks/acacia_window | minecraft:block | create:acacia_window create:blocks/acacia_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/acacia_window_pane | minecraft:block | create:acacia_window_pane create:blocks/acacia_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/adjustable_chain_gearshift | minecraft:block | create:adjustable_chain_gearshift create:blocks/adjustable_chain_gearshift minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/analog_lever | minecraft:block | create:analog_lever create:blocks/analog_lever minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_alloy_block | minecraft:block | create:andesite_alloy_block create:blocks/andesite_alloy_block minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_bars | minecraft:block | create:andesite_bars create:blocks/andesite_bars minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_belt_funnel | minecraft:block | create:andesite_funnel create:blocks/andesite_belt_funnel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_casing | minecraft:block | create:andesite_casing create:blocks/andesite_casing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_door | minecraft:block | create:andesite_door create:blocks/andesite_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
create:blocks/andesite_encased_cogwheel | minecraft:block | create:blocks/andesite_encased_cogwheel create:cogwheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_encased_large_cogwheel | minecraft:block | create:blocks/andesite_encased_large_cogwheel create:large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_encased_shaft | minecraft:block | create:blocks/andesite_encased_shaft create:shaft minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_funnel | minecraft:block | create:andesite_funnel create:blocks/andesite_funnel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_ladder | minecraft:block | create:andesite_ladder create:blocks/andesite_ladder minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_pillar | minecraft:block | create:andesite_pillar create:blocks/andesite_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_scaffolding | minecraft:block | create:andesite_scaffolding create:blocks/andesite_scaffolding minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_table_cloth | minecraft:block | create:andesite_table_cloth create:blocks/andesite_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/andesite_tunnel | minecraft:block | create:andesite_tunnel create:blocks/andesite_tunnel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/asurine | minecraft:block | create:asurine create:blocks/asurine minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/asurine_pillar | minecraft:block | create:asurine_pillar create:blocks/asurine_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/bamboo_window | minecraft:block | create:bamboo_window create:blocks/bamboo_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/bamboo_window_pane | minecraft:block | create:bamboo_window_pane create:blocks/bamboo_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/basin | minecraft:block | create:basin create:blocks/basin minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/belt | minecraft:block | create:belt_connector create:blocks/belt minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/birch_window | minecraft:block | create:birch_window create:blocks/birch_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/birch_window_pane | minecraft:block | create:birch_window_pane create:blocks/birch_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/black_nixie_tube | minecraft:block | create:blocks/black_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/black_postbox | minecraft:block | create:black_postbox create:blocks/black_postbox minecraft:block minecraft:item minecraft:survives_explosion
