aeronautics:blocks/adjustable_burner | minecraft:block | aeronautics:adjustable_burner aeronautics:blocks/adjustable_burner minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/andesite_propeller | minecraft:block | aeronautics:andesite_propeller aeronautics:blocks/andesite_propeller minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/black_envelope | minecraft:block | aeronautics:black_envelope aeronautics:blocks/black_envelope minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/black_envelope_encased_shaft | minecraft:block | aeronautics:black_envelope aeronautics:blocks/black_envelope_encased_shaft create:shaft minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/blue_envelope | minecraft:block | aeronautics:blocks/blue_envelope aeronautics:blue_envelope minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/blue_envelope_encased_shaft | minecraft:block | aeronautics:blocks/blue_envelope_encased_shaft aeronautics:blue_envelope create:shaft minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/brown_envelope | minecraft:block | aeronautics:blocks/brown_envelope aeronautics:brown_envelope minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/brown_envelope_encased_shaft | minecraft:block | aeronautics:blocks/brown_envelope_encased_shaft aeronautics:brown_envelope create:shaft minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/cyan_envelope | minecraft:block | aeronautics:blocks/cyan_envelope aeronautics:cyan_envelope minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/cyan_envelope_encased_shaft | minecraft:block | aeronautics:blocks/cyan_envelope_encased_shaft aeronautics:cyan_envelope create:shaft minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/gray_envelope | minecraft:block | aeronautics:blocks/gray_envelope aeronautics:gray_envelope minecraft:block minecraft:item minecraft:survives_explosion
aeronautics:blocks/gray_envelope_encased_shaft | minecraft:block | aeronautics:blocks/gray_envelope_encased_shaft aeronautics:gray_envelope create:shaft minecraft:block minecraft:item minecraft:survives_explosion
