create_confectionery:blocks/black_chocolate_bricks | minecraft:block | create_confectionery:black_chocolate_bricks create_confectionery:blocks/black_chocolate_bricks minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/black_chocolate_bricks_slab | minecraft:block | create_confectionery:black_chocolate_bricks_slab create_confectionery:blocks/black_chocolate_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create_confectionery:blocks/black_chocolate_bricks_stairs | minecraft:block | create_confectionery:black_chocolate_bricks_stairs create_confectionery:blocks/black_chocolate_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/candy_cane_block | minecraft:block | create_confectionery:blocks/candy_cane_block create_confectionery:candy_cane_block minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/caramel_bricks | minecraft:block | create_confectionery:blocks/caramel_bricks create_confectionery:caramel_bricks minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/caramel_bricks_slab | minecraft:block | create_confectionery:blocks/caramel_bricks_slab create_confectionery:caramel_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create_confectionery:blocks/caramel_bricks_stairs | minecraft:block | create_confectionery:blocks/caramel_bricks_stairs create_confectionery:caramel_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/chocolate_bricks | minecraft:block | create_confectionery:blocks/chocolate_bricks create_confectionery:chocolate_bricks minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/chocolate_bricks_slab | minecraft:block | create_confectionery:blocks/chocolate_bricks_slab create_confectionery:chocolate_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create_confectionery:blocks/chocolate_bricks_stairs | minecraft:block | create_confectionery:blocks/chocolate_bricks_stairs create_confectionery:chocolate_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/gingerbread_block | minecraft:block | create_confectionery:blocks/gingerbread_block create_confectionery:gingerbread_block minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/gingerbread_brick_slab | minecraft:block | create_confectionery:blocks/gingerbread_brick_slab create_confectionery:gingerbread_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create_confectionery:blocks/gingerbread_brick_stairs | minecraft:block | create_confectionery:blocks/gingerbread_brick_stairs create_confectionery:gingerbread_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/gingerbread_slab | minecraft:block | create_confectionery:blocks/gingerbread_slab create_confectionery:gingerbread_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create_confectionery:blocks/gingerbread_stairs | minecraft:block | create_confectionery:blocks/gingerbread_stairs create_confectionery:gingerbread_stairs minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/gingerbreak_bricks | minecraft:block | create_confectionery:blocks/gingerbreak_bricks create_confectionery:gingerbreak_bricks minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/ruby_chocolate_brick_slab | minecraft:block | create_confectionery:blocks/ruby_chocolate_brick_slab create_confectionery:ruby_chocolate_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create_confectionery:blocks/ruby_chocolate_brick_stairs | minecraft:block | create_confectionery:blocks/ruby_chocolate_brick_stairs create_confectionery:ruby_chocolate_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/ruby_chocolate_bricks | minecraft:block | create_confectionery:blocks/ruby_chocolate_bricks create_confectionery:ruby_chocolate_bricks minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/white_chocolate_bricks | minecraft:block | create_confectionery:blocks/white_chocolate_bricks create_confectionery:white_chocolate_bricks minecraft:block minecraft:item minecraft:survives_explosion
create_confectionery:blocks/white_chocolate_bricks_slab | minecraft:block | create_confectionery:blocks/white_chocolate_bricks_slab create_confectionery:white_chocolate_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create_confectionery:blocks/white_chocolate_bricks_stairs | minecraft:block | create_confectionery:blocks/white_chocolate_bricks_stairs create_confectionery:white_chocolate_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
