create_enchantment_industry:blocks/affix_augmentor | minecraft:block | create_enchantment_industry:affix_augmentor create_enchantment_industry:blocks/affix_augmentor minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/blaze_enchanter | minecraft:block | create_enchantment_industry:blaze_enchanter create_enchantment_industry:blocks/blaze_enchanter minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/blaze_forger | minecraft:block | create_enchantment_industry:blaze_forger create_enchantment_industry:blocks/blaze_forger minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/brass_bookshelf | minecraft:block | create_enchantment_industry:blocks/brass_bookshelf create_enchantment_industry:brass_bookshelf minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/classic_blaze_enchanter | minecraft:block | create_enchantment_industry:blocks/classic_blaze_enchanter create_enchantment_industry:classic_blaze_enchanter minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/creative_bookshelf | minecraft:block | create_enchantment_industry:blocks/creative_bookshelf create_enchantment_industry:creative_bookshelf minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/ender_woven_bag | minecraft:block | create_enchantment_industry:blocks/ender_woven_bag create_enchantment_industry:ender_woven_bag create_enchantment_industry:stored_entities minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/experience_hatch | minecraft:block | create_enchantment_industry:blocks/experience_hatch create_enchantment_industry:experience_hatch minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/experience_lantern | minecraft:block | create_enchantment_industry:blocks/experience_lantern create_enchantment_industry:experience_lantern minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/gem_cutter | minecraft:block | create_enchantment_industry:blocks/gem_cutter create_enchantment_industry:gem_cutter minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/grindstone_drain | minecraft:block | create:item_drain create_enchantment_industry:blocks/grindstone_drain create_enchantment_industry:mechanical_grindstone minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/infuser | minecraft:block | create_enchantment_industry:blocks/infuser create_enchantment_industry:infuser minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/mechanical_grindstone | minecraft:block | create_enchantment_industry:blocks/mechanical_grindstone create_enchantment_industry:mechanical_grindstone minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/printer | minecraft:block | create_enchantment_industry:blocks/printer create_enchantment_industry:printer minecraft:block minecraft:item minecraft:survives_explosion
create_enchantment_industry:blocks/super_experience_block | minecraft:block | create_enchantment_industry:blocks/super_experience_block create_enchantment_industry:super_experience_block minecraft:block minecraft:item minecraft:survives_explosion
