create_integrated_farming:blocks/chicken_roost | minecraft:block | create_integrated_farming:blocks/chicken_roost create_integrated_farming:chicken_roost minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/duck_roost_campbell | minecraft:block | create_integrated_farming:blocks/duck_roost_campbell create_integrated_farming:duck_roost_campbell minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/duck_roost_female | minecraft:block | create_integrated_farming:blocks/duck_roost_female create_integrated_farming:duck_roost_female minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/duck_roost_normal | minecraft:block | create_integrated_farming:blocks/duck_roost_normal create_integrated_farming:duck_roost_normal minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/duck_roost_pekin | minecraft:block | create_integrated_farming:blocks/duck_roost_pekin create_integrated_farming:duck_roost_pekin minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/fishing_net | minecraft:block | create_integrated_farming:blocks/fishing_net create_integrated_farming:fishing_net minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/goose_roost_canadian | minecraft:block | create_integrated_farming:blocks/goose_roost_canadian create_integrated_farming:goose_roost_canadian minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/goose_roost_normal | minecraft:block | create_integrated_farming:blocks/goose_roost_normal create_integrated_farming:goose_roost_normal minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/goose_roost_ping | minecraft:block | create_integrated_farming:blocks/goose_roost_ping create_integrated_farming:goose_roost_ping minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/goose_roost_sus | minecraft:block | create_integrated_farming:blocks/goose_roost_sus create_integrated_farming:goose_roost_sus minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/goose_roost_untitled | minecraft:block | create_integrated_farming:blocks/goose_roost_untitled create_integrated_farming:goose_roost_untitled minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:blocks/lava_fishing_net | minecraft:block | create_integrated_farming:blocks/lava_fishing_net create_integrated_farming:lava_fishing_net minecraft:block minecraft:item minecraft:survives_explosion neoforge:mod_loaded
create_integrated_farming:blocks/roost | minecraft:block | create_integrated_farming:blocks/roost create_integrated_farming:roost minecraft:block minecraft:item minecraft:survives_explosion
create_integrated_farming:gameplay/roost/chicken | minecraft:block | create_integrated_farming:gameplay/roost/chicken minecraft:block minecraft:egg minecraft:item
create_integrated_farming:gameplay/roost/duck | minecraft:block | create_integrated_farming:gameplay/roost/duck minecraft:block minecraft:item neoforge:mod_loaded untitledduckmod:duck_egg
create_integrated_farming:gameplay/roost/goose | minecraft:block | create_integrated_farming:gameplay/roost/goose minecraft:block minecraft:item neoforge:mod_loaded untitledduckmod:goose_egg
