create_new_age:blocks/advanced_energiser | minecraft:block | create_new_age:advanced_energiser create_new_age:blocks/advanced_energiser minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/advanced_motor | minecraft:block | create_new_age:advanced_motor create_new_age:blocks/advanced_motor minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/advanced_motor_extension | minecraft:block | create_new_age:advanced_motor_extension create_new_age:blocks/advanced_motor_extension minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/advanced_solar_heating_plate | minecraft:block | create_new_age:advanced_solar_heating_plate create_new_age:blocks/advanced_solar_heating_plate minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/basic_energiser | minecraft:block | create_new_age:basic_energiser create_new_age:blocks/basic_energiser minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/basic_motor | minecraft:block | create_new_age:basic_motor create_new_age:blocks/basic_motor minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/basic_motor_extension | minecraft:block | create_new_age:basic_motor_extension create_new_age:blocks/basic_motor_extension minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/basic_solar_heating_plate | minecraft:block | create_new_age:basic_solar_heating_plate create_new_age:blocks/basic_solar_heating_plate minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/carbon_brushes | minecraft:block | create_new_age:blocks/carbon_brushes create_new_age:carbon_brushes minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/copper_wire_block | minecraft:block | create_new_age:blocks/copper_wire_block create_new_age:copper_wire_block minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/corium | minecraft:block | create_new_age:blocks/corium create_new_age:corium minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/electrical_connector | minecraft:block | create_new_age:blocks/electrical_connector create_new_age:electrical_connector minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/fluxuated_magnetite | minecraft:block | create_new_age:blocks/fluxuated_magnetite create_new_age:fluxuated_magnetite minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/generator_coil | minecraft:block | create_new_age:blocks/generator_coil create_new_age:generator_coil minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/heat_pipe | minecraft:block | create_new_age:blocks/heat_pipe create_new_age:heat_pipe minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/heat_pump | minecraft:block | create_new_age:blocks/heat_pump create_new_age:heat_pump minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/heater | minecraft:block | create_new_age:blocks/heater create_new_age:heater minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/layered_magnet | minecraft:block | create_new_age:blocks/layered_magnet create_new_age:layered_magnet minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/magnetite_block | minecraft:block | create_new_age:blocks/magnetite_block create_new_age:magnetite_block minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/netherite_magnet | minecraft:block | create_new_age:blocks/netherite_magnet create_new_age:netherite_magnet minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/overcharged_diamond_wire_block | minecraft:block | create_new_age:blocks/overcharged_diamond_wire_block create_new_age:overcharged_diamond_wire_block minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/overcharged_golden_wire_block | minecraft:block | create_new_age:blocks/overcharged_golden_wire_block create_new_age:overcharged_golden_wire_block minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/overcharged_iron_wire_block | minecraft:block | create_new_age:blocks/overcharged_iron_wire_block create_new_age:overcharged_iron_wire_block minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/reactor_casing | minecraft:block | create_new_age:blocks/reactor_casing create_new_age:reactor_casing minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/reactor_fuel_acceptor | minecraft:block | create_new_age:blocks/reactor_fuel_acceptor create_new_age:reactor_fuel_acceptor minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/reactor_glass | minecraft:block | create_new_age:blocks/reactor_glass create_new_age:reactor_glass minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/reactor_heat_vent | minecraft:block | create_new_age:blocks/reactor_heat_vent create_new_age:reactor_heat_vent minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/reactor_rod | minecraft:block | create_new_age:blocks/reactor_rod create_new_age:reactor_rod minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/redstone_magnet | minecraft:block | create_new_age:blocks/redstone_magnet create_new_age:redstone_magnet minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/reinforced_energiser | minecraft:block | create_new_age:blocks/reinforced_energiser create_new_age:reinforced_energiser minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/reinforced_motor | minecraft:block | create_new_age:blocks/reinforced_motor create_new_age:reinforced_motor minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/solid_corium | minecraft:block | create_new_age:blocks/solid_corium create_new_age:solid_corium minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/stirling_engine | minecraft:block | create_new_age:blocks/stirling_engine create_new_age:stirling_engine minecraft:block minecraft:item minecraft:survives_explosion
create_new_age:blocks/thorium_ore | minecraft:block | create_new_age:blocks/thorium_ore create_new_age:thorium create_new_age:thorium_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
