create_compressed:blocks/belt_block | minecraft:block | create_compressed:belt_block create_compressed:blocks/belt_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/brass_sheet_block | minecraft:block | create_compressed:blocks/brass_sheet_block create_compressed:brass_sheet_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/cinder_flour_pile | minecraft:block | create_compressed:blocks/cinder_flour_pile create_compressed:cinder_flour_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/cogwheel_block | minecraft:block | create_compressed:blocks/cogwheel_block create_compressed:cogwheel_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/copper_sheet_block | minecraft:block | create_compressed:blocks/copper_sheet_block create_compressed:copper_sheet_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_aluminum_pile | minecraft:block | create_compressed:blocks/crushed_aluminum_pile create_compressed:crushed_aluminum_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_copper_pile | minecraft:block | create_compressed:blocks/crushed_copper_pile create_compressed:crushed_copper_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_gold_pile | minecraft:block | create_compressed:blocks/crushed_gold_pile create_compressed:crushed_gold_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_iron_pile | minecraft:block | create_compressed:blocks/crushed_iron_pile create_compressed:crushed_iron_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_lead_pile | minecraft:block | create_compressed:blocks/crushed_lead_pile create_compressed:crushed_lead_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_nickel_pile | minecraft:block | create_compressed:blocks/crushed_nickel_pile create_compressed:crushed_nickel_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_osmium_pile | minecraft:block | create_compressed:blocks/crushed_osmium_pile create_compressed:crushed_osmium_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_platinum_pile | minecraft:block | create_compressed:blocks/crushed_platinum_pile create_compressed:crushed_platinum_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_quicksilver_pile | minecraft:block | create_compressed:blocks/crushed_quicksilver_pile create_compressed:crushed_quicksilver_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_silver_pile | minecraft:block | create_compressed:blocks/crushed_silver_pile create_compressed:crushed_silver_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_tin_pile | minecraft:block | create_compressed:blocks/crushed_tin_pile create_compressed:crushed_tin_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_uranium_pile | minecraft:block | create_compressed:blocks/crushed_uranium_pile create_compressed:crushed_uranium_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/crushed_zinc_pile | minecraft:block | create_compressed:blocks/crushed_zinc_pile create_compressed:crushed_zinc_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/dough_block | minecraft:block | create_compressed:blocks/dough_block create_compressed:dough_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/gold_sheet_block | minecraft:block | create_compressed:blocks/gold_sheet_block create_compressed:gold_sheet_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/iron_sheet_block | minecraft:block | create_compressed:blocks/iron_sheet_block create_compressed:iron_sheet_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/large_cogwheel_block | minecraft:block | create_compressed:blocks/large_cogwheel_block create_compressed:large_cogwheel_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/mechanism_block | minecraft:block | create_compressed:blocks/mechanism_block create_compressed:mechanism_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/powdered_obsidian_pile | minecraft:block | create_compressed:blocks/powdered_obsidian_pile create_compressed:powdered_obsidian_pile minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/pulp_block | minecraft:block | create_compressed:blocks/pulp_block create_compressed:pulp_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/rose_quartz_crystal_block | minecraft:block | create_compressed:blocks/rose_quartz_crystal_block create_compressed:rose_quartz_crystal_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/rose_quartz_polished_block | minecraft:block | create_compressed:blocks/rose_quartz_polished_block create_compressed:rose_quartz_polished_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/shaft_bundle | minecraft:block | create_compressed:blocks/shaft_bundle create_compressed:shaft_bundle minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/sturdy_sheet_block | minecraft:block | create_compressed:blocks/sturdy_sheet_block create_compressed:sturdy_sheet_block minecraft:block minecraft:item minecraft:survives_explosion
create_compressed:blocks/wheat_flour_pile | minecraft:block | create_compressed:blocks/wheat_flour_pile create_compressed:wheat_flour_pile minecraft:block minecraft:item minecraft:survives_explosion
