create_connected:blocks/andesite_encased_cross_connector | minecraft:block | create_connected:blocks/andesite_encased_cross_connector create_connected:cross_connector minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/brake | minecraft:block | create_connected:blocks/brake create_connected:brake minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/brass_encased_cross_connector | minecraft:block | create_connected:blocks/brass_encased_cross_connector create_connected:cross_connector minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/brass_gearbox | minecraft:block | create_connected:blocks/brass_gearbox create_connected:brass_gearbox minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/centrifugal_clutch | minecraft:block | create_connected:blocks/centrifugal_clutch create_connected:centrifugal_clutch minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/copycat_beam | minecraft:block | create_connected:blocks/copycat_beam create_connected:copycat_beam minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/copycat_block | minecraft:block | create_connected:blocks/copycat_block create_connected:copycat_block minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/copycat_board | minecraft:block | create_connected:blocks/copycat_board create_connected:copycat_board minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
create_connected:blocks/copycat_fence | minecraft:block | create_connected:blocks/copycat_fence create_connected:copycat_fence minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/copycat_fence_gate | minecraft:block | create_connected:blocks/copycat_fence_gate create_connected:copycat_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/copycat_slab | minecraft:block | create_connected:blocks/copycat_slab create_connected:copycat_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create_connected:blocks/copycat_stairs | minecraft:block | create_connected:blocks/copycat_stairs create_connected:copycat_stairs minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/copycat_vertical_step | minecraft:block | create_connected:blocks/copycat_vertical_step create_connected:copycat_vertical_step minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/copycat_wall | minecraft:block | create_connected:blocks/copycat_wall create_connected:copycat_wall minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/crank_wheel | minecraft:block | create_connected:blocks/crank_wheel create_connected:crank_wheel minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/creative_fluid_vessel | minecraft:block | create_connected:blocks/creative_fluid_vessel create_connected:creative_fluid_vessel minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/cross_connector | minecraft:block | create_connected:blocks/cross_connector create_connected:cross_connector minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/empty_fan_catalyst | minecraft:block | create_connected:blocks/empty_fan_catalyst create_connected:empty_fan_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/encased_chain_cogwheel | minecraft:block | create_connected:blocks/encased_chain_cogwheel create_connected:encased_chain_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_blasting_catalyst | minecraft:block | create_connected:blocks/fan_blasting_catalyst create_connected:fan_blasting_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_ending_catalyst_dragon_head | minecraft:block | create_connected:blocks/fan_ending_catalyst_dragon_head create_connected:fan_ending_catalyst_dragon_head minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_ending_catalyst_dragons_breath | minecraft:block | create_connected:blocks/fan_ending_catalyst_dragons_breath create_connected:fan_ending_catalyst_dragons_breath minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_enriched_catalyst | minecraft:block | create_connected:blocks/fan_enriched_catalyst create_connected:fan_enriched_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_freezing_catalyst | minecraft:block | create_connected:blocks/fan_freezing_catalyst create_connected:fan_freezing_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_haunting_catalyst | minecraft:block | create_connected:blocks/fan_haunting_catalyst create_connected:fan_haunting_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_sanding_catalyst | minecraft:block | create_connected:blocks/fan_sanding_catalyst create_connected:fan_sanding_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_seething_catalyst | minecraft:block | create_connected:blocks/fan_seething_catalyst create_connected:fan_seething_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_smoking_catalyst | minecraft:block | create_connected:blocks/fan_smoking_catalyst create_connected:fan_smoking_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_splashing_catalyst | minecraft:block | create_connected:blocks/fan_splashing_catalyst create_connected:fan_splashing_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fan_withering_catalyst | minecraft:block | create_connected:blocks/fan_withering_catalyst create_connected:fan_withering_catalyst minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/fluid_vessel | minecraft:block | create_connected:blocks/fluid_vessel create_connected:fluid_vessel minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/freewheel_clutch | minecraft:block | create_connected:blocks/freewheel_clutch create_connected:freewheel_clutch minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/inventory_access_port | minecraft:block | create_connected:blocks/inventory_access_port create_connected:inventory_access_port minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/inventory_bridge | minecraft:block | create_connected:blocks/inventory_bridge create_connected:inventory_bridge minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/inverted_clutch | minecraft:block | create_connected:blocks/inverted_clutch create_connected:inverted_clutch minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/inverted_gearshift | minecraft:block | create_connected:blocks/inverted_gearshift create_connected:inverted_gearshift minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/item_silo | minecraft:block | create_connected:blocks/item_silo create_connected:item_silo minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/kinetic_battery | minecraft:block | create_connected:blocks/kinetic_battery create_connected:charged_kinetic_battery create_connected:kinetic_battery minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:survives_explosion
create_connected:blocks/kinetic_bridge | minecraft:block | create_connected:blocks/kinetic_bridge create_connected:kinetic_bridge minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/kinetic_bridge_destination | minecraft:block | create_connected:blocks/kinetic_bridge_destination minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/large_crank_wheel | minecraft:block | create_connected:blocks/large_crank_wheel create_connected:large_crank_wheel minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_acacia_button | minecraft:block | create_connected:blocks/linked_acacia_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_analog_lever | minecraft:block | create_connected:blocks/linked_analog_lever minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_bamboo_button | minecraft:block | create_connected:blocks/linked_bamboo_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_birch_button | minecraft:block | create_connected:blocks/linked_birch_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_cherry_button | minecraft:block | create_connected:blocks/linked_cherry_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_crimson_button | minecraft:block | create_connected:blocks/linked_crimson_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_dark_oak_button | minecraft:block | create_connected:blocks/linked_dark_oak_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_jungle_button | minecraft:block | create_connected:blocks/linked_jungle_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_lever | minecraft:block | create_connected:blocks/linked_lever minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_mangrove_button | minecraft:block | create_connected:blocks/linked_mangrove_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_oak_button | minecraft:block | create_connected:blocks/linked_oak_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_polished_blackstone_button | minecraft:block | create_connected:blocks/linked_polished_blackstone_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_spruce_button | minecraft:block | create_connected:blocks/linked_spruce_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_stone_button | minecraft:block | create_connected:blocks/linked_stone_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/linked_warped_button | minecraft:block | create_connected:blocks/linked_warped_button minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/overstress_clutch | minecraft:block | create_connected:blocks/overstress_clutch create_connected:overstress_clutch minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/parallel_gearbox | minecraft:block | create_connected:blocks/parallel_gearbox create_connected:parallel_gearbox minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/sequenced_pulse_generator | minecraft:block | create_connected:blocks/sequenced_pulse_generator create_connected:sequenced_pulse_generator minecraft:block minecraft:item minecraft:survives_explosion
create_connected:blocks/shear_pin | minecraft:block | create_connected:blocks/shear_pin create_connected:shear_pin minecraft:block minecraft:item minecraft:survives_explosion
