create_ltab:core/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:core/basic_loot minecraft:chest minecraft:coal minecraft:golden_carrot minecraft:gunpowder minecraft:item minecraft:rail minecraft:raw_gold minecraft:raw_iron minecraft:rotten_flesh minecraft:set_count minecraft:string
create_ltab:core/legend_loot | minecraft:chest | create:brass_ingot create:golden_sheet create:honeyed_apple create:iron_sheet create:rose_quartz create_ltab:core/legend_loot minecraft:bone minecraft:chest minecraft:diamond minecraft:golden_carrot minecraft:gunpowder minecraft:item minecraft:lapis_lazuli minecraft:set_count minecraft:string
create_ltab:core/rare_loot | minecraft:chest | create:andesite_alloy create:golden_sheet create:honeyed_apple create:iron_sheet create_ltab:big_structures_plains create_ltab:core/rare_loot minecraft:amethyst_shard minecraft:chest minecraft:exploration_map minecraft:gold_ingot minecraft:golden_carrot minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:map minecraft:set_count minecraft:set_name minecraft:string minecraft:village_plains
create_ltab:desert/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:desert/basic_loot minecraft:chest minecraft:clay_ball minecraft:cooked_rabbit minecraft:dune_armor_trim_smithing_template minecraft:flint minecraft:item minecraft:potion minecraft:rabbit_foot minecraft:rabbit_hide minecraft:raw_copper minecraft:raw_gold minecraft:sand minecraft:set_count minecraft:set_potion minecraft:stick minecraft:water
create_ltab:nether/basic_loot | minecraft:chest | create_ltab:normal/basic_loot minecraft:chest minecraft:fire_charge minecraft:gilded_blackstone minecraft:gold_ingot minecraft:golden_axe minecraft:iron_nugget minecraft:item minecraft:leather minecraft:obsidian minecraft:random_chance minecraft:set_enchantments minecraft:string
create_ltab:normal/basic2_loot | minecraft:chest | create:zinc_ingot create_ltab:normal/basic_loot minecraft:baked_potato minecraft:chest minecraft:item minecraft:poisonous_potato minecraft:potato minecraft:rotten_flesh minecraft:set_count minecraft:stick
create_ltab:normal/basic3_loot | minecraft:chest | create:andesite_alloy create_ltab:normal/basic_loot minecraft:bone minecraft:chest minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:set_count minecraft:wheat_seeds
create_ltab:normal/basic4_loot | minecraft:chest | create:andesite_alloy create_ltab:normal/basic_loot minecraft:bread minecraft:chest minecraft:group minecraft:item minecraft:luck minecraft:music_disc_cat minecraft:music_disc_far minecraft:potion minecraft:rotten_flesh minecraft:set_count minecraft:set_custom_data minecraft:set_lore minecraft:set_name minecraft:set_potion minecraft:wheat
create_ltab:normal/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:normal/basic_loot minecraft:brick minecraft:carrot minecraft:chest minecraft:emerald minecraft:iron_ingot minecraft:item minecraft:luck minecraft:name_tag minecraft:potato minecraft:potion minecraft:saddle minecraft:set_count minecraft:set_custom_data minecraft:set_lore minecraft:set_name minecraft:set_potion minecraft:wheat
create_ltab:normal/legend_loot | minecraft:chest | create:brass_block create:brass_ingot create:empty_blaze_burner create:polished_rose_quartz create_ltab:normal/legend_loot minecraft:book minecraft:bread minecraft:chest minecraft:clock minecraft:cooked_beef minecraft:diamond minecraft:enchant_randomly minecraft:enchanted_book minecraft:gold_ingot minecraft:host_armor_trim_smithing_template minecraft:item minecraft:lapis_lazuli minecraft:raiser_armor_trim_smithing_template minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:vex_armor_trim_smithing_template minecraft:wayfinder_armor_trim_smithing_template
create_ltab:normal/rare_loot | minecraft:chest | create:andesite_alloy create:zinc_ingot create_ltab:core create_ltab:enchantment_luck create_ltab:normal/rare_loot minecraft:banner_light_gray minecraft:bread minecraft:chest minecraft:cooked_mutton minecraft:enchant_randomly minecraft:enchanted_book minecraft:enchanted_golden_apple minecraft:exploration_map minecraft:fortune minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:looting minecraft:luck minecraft:luck_of_the_sea minecraft:map minecraft:name_tag minecraft:potion minecraft:saddle minecraft:set_count minecraft:set_custom_data minecraft:set_lore minecraft:set_name minecraft:set_potion
create_ltab:normal/trash_loot | minecraft:chest | create_ltab:normal/trash_loot minecraft:brick minecraft:chest minecraft:cobweb minecraft:item minecraft:paper minecraft:string
create_ltab:snow/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:snow/basic_loot minecraft:carved_pumpkin minecraft:chest minecraft:emerald minecraft:iron_ingot minecraft:item minecraft:leather minecraft:set_count minecraft:snow_block minecraft:snowball minecraft:string minecraft:vex_armor_trim_smithing_template
create_ltab:water/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:water/basic_loot minecraft:bowl minecraft:chest minecraft:cod minecraft:copper_ingot minecraft:enchant_randomly minecraft:enchanted_book minecraft:fishing_rod minecraft:flint minecraft:item minecraft:pufferfish minecraft:salmon minecraft:set_count minecraft:set_damage minecraft:tropical_fish
create_ltab:core/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:core/basic_loot minecraft:chest minecraft:coal minecraft:golden_carrot minecraft:gunpowder minecraft:item minecraft:rail minecraft:raw_gold minecraft:raw_iron minecraft:rotten_flesh minecraft:set_count minecraft:string
create_ltab:core/legend_loot | minecraft:chest | create:brass_ingot create:golden_sheet create:honeyed_apple create:iron_sheet create:rose_quartz create_ltab:core/rare_loot minecraft:bone minecraft:chest minecraft:diamond minecraft:golden_carrot minecraft:gunpowder minecraft:item minecraft:lapis_lazuli minecraft:set_count minecraft:string
create_ltab:core/rare_loot | minecraft:chest | create:andesite_alloy create:golden_sheet create:honeyed_apple create:iron_sheet create_ltab:big_structures_plains create_ltab:core/rare_loot minecraft:amethyst_shard minecraft:chest minecraft:exploration_map minecraft:filled_map minecraft:gold_ingot minecraft:golden_carrot minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:set_name minecraft:string
