createadditionallogistics:blocks/andesite_encased_black_flexible_shaft | minecraft:block | createadditionallogistics:black_flexible_shaft createadditionallogistics:blocks/andesite_encased_black_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_blue_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_blue_flexible_shaft createadditionallogistics:blue_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_brown_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_brown_flexible_shaft createadditionallogistics:brown_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_cyan_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_cyan_flexible_shaft createadditionallogistics:cyan_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_flexible_shaft createadditionallogistics:flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_gray_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_gray_flexible_shaft createadditionallogistics:gray_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_green_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_green_flexible_shaft createadditionallogistics:green_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_lazy_cogwheel | minecraft:block | createadditionallogistics:blocks/andesite_encased_lazy_cogwheel createadditionallogistics:lazy_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_lazy_large_cogwheel | minecraft:block | createadditionallogistics:blocks/andesite_encased_lazy_large_cogwheel createadditionallogistics:lazy_large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_lazy_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_lazy_shaft createadditionallogistics:lazy_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_light_blue_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_light_blue_flexible_shaft createadditionallogistics:light_blue_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_light_gray_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_light_gray_flexible_shaft createadditionallogistics:light_gray_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_lime_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_lime_flexible_shaft createadditionallogistics:lime_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_magenta_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_magenta_flexible_shaft createadditionallogistics:magenta_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/andesite_encased_orange_flexible_shaft | minecraft:block | createadditionallogistics:blocks/andesite_encased_orange_flexible_shaft createadditionallogistics:orange_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
