createbigcannons:blocks/ap_shell | minecraft:block | createbigcannons:ap_shell createbigcannons:blocks/ap_shell createbigcannons:fuze createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/ap_shot | minecraft:block | createbigcannons:ap_shot createbigcannons:blocks/ap_shot createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/autocannon_ammo_container | minecraft:block | createbigcannons:ammo createbigcannons:autocannon_ammo_container createbigcannons:blocks/autocannon_ammo_container createbigcannons:tracer_spacing createbigcannons:tracers minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
createbigcannons:blocks/autocannon_barrel_cast_mould | minecraft:block | createbigcannons:autocannon_barrel_cast_mould createbigcannons:blocks/autocannon_barrel_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/autocannon_breech_cast_mould | minecraft:block | createbigcannons:autocannon_breech_cast_mould createbigcannons:blocks/autocannon_breech_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/autocannon_recoil_spring_cast_mould | minecraft:block | createbigcannons:autocannon_recoil_spring_cast_mould createbigcannons:blocks/autocannon_recoil_spring_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/bag_of_grapeshot | minecraft:block | createbigcannons:bag_of_grapeshot createbigcannons:blocks/bag_of_grapeshot minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/basin_foundry_lid | minecraft:block | createbigcannons:basin_foundry_lid createbigcannons:blocks/basin_foundry_lid minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/big_cartridge | minecraft:block | createbigcannons:big_cartridge createbigcannons:blocks/big_cartridge createbigcannons:power minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:item minecraft:set_components minecraft:set_count minecraft:survives_explosion
createbigcannons:blocks/bronze_autocannon_barrel | minecraft:block | createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/bronze_autocannon_breech | minecraft:block | createbigcannons:blocks/bronze_autocannon_breech createbigcannons:bronze_autocannon_breech createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/bronze_autocannon_recoil_spring | minecraft:block | createbigcannons:blocks/bronze_autocannon_recoil_spring createbigcannons:bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/bronze_block | minecraft:block | createbigcannons:blocks/bronze_block createbigcannons:bronze_block minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/bronze_cannon_barrel | minecraft:block | createbigcannons:blocks/bronze_cannon_barrel createbigcannons:bronze_cannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/bronze_cannon_chamber | minecraft:block | createbigcannons:blocks/bronze_cannon_chamber createbigcannons:bronze_cannon_chamber createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/bronze_cannon_end | minecraft:block | createbigcannons:blocks/bronze_cannon_end createbigcannons:bronze_cannon_end createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/bronze_quickfiring_breech | minecraft:block | createbigcannons:blocks/bronze_quickfiring_breech createbigcannons:bronze_quickfiring_breech createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/bronze_sliding_breech | minecraft:block | createbigcannons:blocks/bronze_sliding_breech createbigcannons:bronze_scrap createbigcannons:bronze_sliding_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/built_up_cannon | minecraft:block | createbigcannons:blocks/built_up_cannon minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/built_up_nethersteel_cannon_barrel | minecraft:block | createbigcannons:blocks/built_up_nethersteel_cannon_barrel createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/built_up_nethersteel_cannon_chamber | minecraft:block | createbigcannons:blocks/built_up_nethersteel_cannon_chamber createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/built_up_steel_cannon_barrel | minecraft:block | createbigcannons:blocks/built_up_steel_cannon_barrel createbigcannons:built_up_steel_cannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/built_up_steel_cannon_chamber | minecraft:block | createbigcannons:blocks/built_up_steel_cannon_chamber createbigcannons:built_up_steel_cannon_chamber createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/cannon_builder | minecraft:block | createbigcannons:blocks/cannon_builder createbigcannons:cannon_builder minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cannon_builder_head | minecraft:block | create:piston_extension_pole createbigcannons:blocks/cannon_builder_head minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cannon_carriage | minecraft:block | createbigcannons:blocks/cannon_carriage createbigcannons:cannon_carriage minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:saddle
createbigcannons:blocks/cannon_cast | minecraft:block | createbigcannons:blocks/cannon_cast minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cannon_drill | minecraft:block | createbigcannons:blocks/cannon_drill createbigcannons:cannon_drill minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cannon_drill_bit | minecraft:block | create:piston_extension_pole createbigcannons:blocks/cannon_drill_bit minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cannon_end_cast_mould | minecraft:block | createbigcannons:blocks/cannon_end_cast_mould createbigcannons:cannon_end_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cannon_loader | minecraft:block | createbigcannons:blocks/cannon_loader createbigcannons:cannon_loader minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cannon_mount | minecraft:block | createbigcannons:blocks/cannon_mount createbigcannons:cannon_mount minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cannon_mount_extension | minecraft:block | createbigcannons:blocks/cannon_mount_extension createbigcannons:cannon_mount_extension minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cast_iron_autocannon_barrel | minecraft:block | createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/cast_iron_autocannon_breech | minecraft:block | createbigcannons:blocks/cast_iron_autocannon_breech createbigcannons:cast_iron_autocannon_breech createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/cast_iron_autocannon_recoil_spring | minecraft:block | createbigcannons:blocks/cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/cast_iron_block | minecraft:block | createbigcannons:blocks/cast_iron_block createbigcannons:cast_iron_block minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/cast_iron_cannon_barrel | minecraft:block | createbigcannons:blocks/cast_iron_cannon_barrel createbigcannons:cast_iron_cannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/cast_iron_cannon_chamber | minecraft:block | createbigcannons:blocks/cast_iron_cannon_chamber createbigcannons:cast_iron_cannon_chamber createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/cast_iron_cannon_end | minecraft:block | createbigcannons:blocks/cast_iron_cannon_end createbigcannons:cast_iron_cannon_end createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/cast_iron_quickfiring_breech | minecraft:block | createbigcannons:blocks/cast_iron_quickfiring_breech createbigcannons:cast_iron_nugget createbigcannons:cast_iron_quickfiring_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/cast_iron_sliding_breech | minecraft:block | createbigcannons:blocks/cast_iron_sliding_breech createbigcannons:cast_iron_nugget createbigcannons:cast_iron_sliding_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/casting_sand | minecraft:block | createbigcannons:blocks/casting_sand createbigcannons:casting_sand minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/creative_autocannon_ammo_container | minecraft:block | createbigcannons:ammo createbigcannons:blocks/creative_autocannon_ammo_container createbigcannons:creative_autocannon_ammo_container createbigcannons:current_index createbigcannons:tracer_spacing createbigcannons:tracers minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
createbigcannons:blocks/drop_mortar_shell | minecraft:block | createbigcannons:blocks/drop_mortar_shell createbigcannons:drop_mortar_shell createbigcannons:fuze createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/finished_cannon_cast | minecraft:block | createbigcannons:blocks/finished_cannon_cast minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/fixed_cannon_mount | minecraft:block | createbigcannons:blocks/fixed_cannon_mount createbigcannons:fixed_cannon_mount minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/fluid_shell | minecraft:block | createbigcannons:blocks/fluid_shell createbigcannons:fluid_shell createbigcannons:fuze createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/he_shell | minecraft:block | createbigcannons:blocks/he_shell createbigcannons:fuze createbigcannons:he_shell createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/incomplete_bronze_autocannon_breech | minecraft:block | createbigcannons:blocks/incomplete_bronze_autocannon_breech createbigcannons:bronze_scrap createbigcannons:incomplete_bronze_autocannon_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/incomplete_bronze_autocannon_recoil_spring | minecraft:block | createbigcannons:blocks/incomplete_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap createbigcannons:incomplete_bronze_autocannon_recoil_spring minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/incomplete_bronze_sliding_breech | minecraft:block | createbigcannons:blocks/incomplete_bronze_sliding_breech createbigcannons:bronze_scrap createbigcannons:incomplete_bronze_sliding_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/incomplete_cast_iron_autocannon_breech | minecraft:block | createbigcannons:blocks/incomplete_cast_iron_autocannon_breech createbigcannons:cast_iron_nugget createbigcannons:incomplete_cast_iron_autocannon_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/incomplete_cast_iron_autocannon_recoil_spring | minecraft:block | createbigcannons:blocks/incomplete_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget createbigcannons:incomplete_cast_iron_autocannon_recoil_spring minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/incomplete_cast_iron_sliding_breech | minecraft:block | createbigcannons:blocks/incomplete_cast_iron_sliding_breech createbigcannons:cast_iron_nugget createbigcannons:incomplete_cast_iron_sliding_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/incomplete_nethersteel_screw_breech | minecraft:block | createbigcannons:blocks/incomplete_nethersteel_screw_breech createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/incomplete_steel_autocannon_breech | minecraft:block | createbigcannons:blocks/incomplete_steel_autocannon_breech createbigcannons:incomplete_steel_autocannon_breech createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/incomplete_steel_autocannon_recoil_spring | minecraft:block | createbigcannons:blocks/incomplete_steel_autocannon_recoil_spring createbigcannons:incomplete_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/incomplete_steel_screw_breech | minecraft:block | createbigcannons:blocks/incomplete_steel_screw_breech createbigcannons:incomplete_steel_screw_breech createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/incomplete_steel_sliding_breech | minecraft:block | createbigcannons:blocks/incomplete_steel_sliding_breech createbigcannons:incomplete_steel_sliding_breech createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/large_cast_mould | minecraft:block | createbigcannons:blocks/large_cast_mould createbigcannons:large_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/large_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/large_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/large_steel_cannon_layer | minecraft:block | createbigcannons:blocks/large_steel_cannon_layer createbigcannons:large_steel_cannon_layer createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
