createfood:blocks/apple_cheesecake | minecraft:block | createfood:apple_cheesecake createfood:apple_cheesecake_slice createfood:blocks/apple_cheesecake minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/apple_cheesecake_plate_block | minecraft:block | createfood:apple_cheesecake_plate_block createfood:blocks/apple_cheesecake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cheesecake_slice_small_plate_block | minecraft:block | createfood:apple_cheesecake_slice_small_plate_block createfood:blocks/apple_cheesecake_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/apple_cream_cake | minecraft:block | createfood:apple_cream_cake createfood:apple_cream_cake_slice createfood:blocks/apple_cream_cake minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/apple_cream_cake_plate_block | minecraft:block | createfood:apple_cream_cake_plate_block createfood:blocks/apple_cream_cake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_cake_slice_small_plate_block | minecraft:block | createfood:apple_cream_cake_slice_small_plate_block createfood:blocks/apple_cream_cake_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/apple_cream_chocolate_cupcake_plate_block | minecraft:block | createfood:apple_cream_chocolate_cupcake createfood:apple_cream_chocolate_cupcake_plate_block createfood:blocks/apple_cream_chocolate_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_chocolate_donut_plate_block | minecraft:block | createfood:apple_cream_chocolate_donut createfood:apple_cream_chocolate_donut_plate_block createfood:blocks/apple_cream_chocolate_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_chocolate_pastry_plate_block | minecraft:block | createfood:apple_cream_chocolate_pastry createfood:apple_cream_chocolate_pastry_plate_block createfood:blocks/apple_cream_chocolate_pastry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_chocolate_plate_block | minecraft:block | createfood:apple_cream_chocolate createfood:apple_cream_chocolate_plate_block createfood:blocks/apple_cream_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_chocolate_sweet_roll_plate_block | minecraft:block | createfood:apple_cream_chocolate_sweet_roll createfood:apple_cream_chocolate_sweet_roll_plate_block createfood:blocks/apple_cream_chocolate_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_cupcake_plate_block | minecraft:block | createfood:apple_cream_cupcake createfood:apple_cream_cupcake_plate_block createfood:blocks/apple_cream_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_dark_chocolate_plate_block | minecraft:block | createfood:apple_cream_dark_chocolate createfood:apple_cream_dark_chocolate_plate_block createfood:blocks/apple_cream_dark_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_donut_plate_block | minecraft:block | createfood:apple_cream_donut createfood:apple_cream_donut_plate_block createfood:blocks/apple_cream_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_frosting_bottle_block | minecraft:block | createfood:apple_cream_frosting_bottle_block createfood:blocks/apple_cream_frosting_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/apple_cream_mini_waffle_plate_block | minecraft:block | createfood:apple_cream_mini_waffle_plate_block createfood:blocks/apple_cream_mini_waffle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_pastry_plate_block | minecraft:block | createfood:apple_cream_pastry createfood:apple_cream_pastry_plate_block createfood:blocks/apple_cream_pastry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_sweet_roll_plate_block | minecraft:block | createfood:apple_cream_sweet_roll createfood:apple_cream_sweet_roll_plate_block createfood:blocks/apple_cream_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_cream_white_chocolate_plate_block | minecraft:block | createfood:apple_cream_white_chocolate createfood:apple_cream_white_chocolate_plate_block createfood:blocks/apple_cream_white_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_custard_bottle_block | minecraft:block | createfood:apple_custard_bottle_block createfood:blocks/apple_custard_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/apple_ice_cream_bowl_block | minecraft:block | createfood:apple_ice_cream_bowl_block createfood:blocks/apple_ice_cream_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/apple_ice_cream_cone_plate_block | minecraft:block | createfood:apple_ice_cream_cone createfood:apple_ice_cream_cone_plate_block createfood:blocks/apple_ice_cream_cone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
