createnuclear:blocks/autunite | minecraft:block | createnuclear:autunite createnuclear:blocks/autunite minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/autunite_pillar | minecraft:block | createnuclear:autunite_pillar createnuclear:blocks/autunite_pillar minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/cut_autunite | minecraft:block | createnuclear:blocks/cut_autunite createnuclear:cut_autunite minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/cut_autunite_brick_slab | minecraft:block | createnuclear:blocks/cut_autunite_brick_slab createnuclear:cut_autunite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
createnuclear:blocks/cut_autunite_brick_stairs | minecraft:block | createnuclear:blocks/cut_autunite_brick_stairs createnuclear:cut_autunite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/cut_autunite_brick_wall | minecraft:block | createnuclear:blocks/cut_autunite_brick_wall createnuclear:cut_autunite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/cut_autunite_bricks | minecraft:block | createnuclear:blocks/cut_autunite_bricks createnuclear:cut_autunite_bricks minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/cut_autunite_slab | minecraft:block | createnuclear:blocks/cut_autunite_slab createnuclear:cut_autunite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
createnuclear:blocks/cut_autunite_stairs | minecraft:block | createnuclear:blocks/cut_autunite_stairs createnuclear:cut_autunite_stairs minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/cut_autunite_wall | minecraft:block | createnuclear:blocks/cut_autunite_wall createnuclear:cut_autunite_wall minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/deepslate_lead_ore | minecraft:block | createnuclear:blocks/deepslate_lead_ore createnuclear:deepslate_lead_ore createnuclear:raw_lead minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
createnuclear:blocks/deepslate_uranium_ore | minecraft:block | createnuclear:blocks/deepslate_uranium_ore createnuclear:deepslate_uranium_ore createnuclear:raw_uranium minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
createnuclear:blocks/enriched_soul_soil | minecraft:block | createnuclear:blocks/enriched_soul_soil createnuclear:enriched_soul_soil minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/enriching_campfire | minecraft:block | createnuclear:blocks/enriching_campfire createnuclear:enriched_soul_soil createnuclear:enriching_campfire minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:silk_touch
createnuclear:blocks/enriching_fire | minecraft:block | createnuclear:blocks/enriching_fire minecraft:block
createnuclear:blocks/layered_autunite | minecraft:block | createnuclear:blocks/layered_autunite createnuclear:layered_autunite minecraft:block minecraft:item minecraft:survives_explosion
