ctl:blocks/grid_ilb | minecraft:block | ctl:grid_ilb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/halfpanel_htlb | minecraft:block | ctl:halfpanel_htlb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/halfpanel_ilb | minecraft:block | ctl:halfpanel_ilb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/htlb_block | minecraft:block | ctl:htlb_block minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/ilb_block | minecraft:block | ctl:ilb_block minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/panel_htlb | minecraft:block | ctl:panel_htlb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/panel_ilb | minecraft:block | ctl:panel_ilb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/quarter_htlb | minecraft:block | ctl:quarter_htlb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/quarter_ilb | minecraft:block | ctl:quarter_ilb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/slab_ilb | minecraft:block | ctl:slab_ilb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/sloped_ilb | minecraft:block | ctl:sloped_ilb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/step_htlb | minecraft:block | ctl:step_htlb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/step_ilb | minecraft:block | ctl:step_ilb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/vertical_halfpanel_htlb | minecraft:block | ctl:vertical_halfpanel_htlb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/vertical_halfpanel_ilb | minecraft:block | ctl:vertical_halfpanel_ilb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/vertical_slab_htlb | minecraft:block | ctl:vertical_slab_htlb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/vertical_step_htlb | minecraft:block | ctl:vertical_step_htlb minecraft:block minecraft:item minecraft:survives_explosion
ctl:blocks/vertical_step_ilb | minecraft:block | ctl:vertical_step_ilb minecraft:block minecraft:item minecraft:survives_explosion
