deeperdarker:blocks/ancient_vase | minecraft:block | deeperdarker:ancient_vase deeperdarker:blocks/ancient_vase deeperdarker:warden_carapace minecraft:block minecraft:book minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:inverted minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:redstone minecraft:rotten_flesh minecraft:sand minecraft:set_count minecraft:silk_touch minecraft:stick minecraft:string minecraft:uniform
deeperdarker:blocks/bloom_button | minecraft:block | deeperdarker:blocks/bloom_button deeperdarker:bloom_button minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bloom_door | minecraft:block | deeperdarker:blocks/bloom_door deeperdarker:bloom_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bloom_fence | minecraft:block | deeperdarker:blocks/bloom_fence deeperdarker:bloom_fence minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bloom_fence_gate | minecraft:block | deeperdarker:blocks/bloom_fence_gate deeperdarker:bloom_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bloom_hanging_sign | minecraft:block | deeperdarker:blocks/bloom_hanging_sign deeperdarker:bloom_hanging_sign minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bloom_planks | minecraft:block | deeperdarker:blocks/bloom_planks deeperdarker:bloom_planks minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bloom_pressure_plate | minecraft:block | deeperdarker:blocks/bloom_pressure_plate deeperdarker:bloom_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bloom_sign | minecraft:block | deeperdarker:blocks/bloom_sign deeperdarker:bloom_sign minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bloom_slab | minecraft:block | deeperdarker:blocks/bloom_slab deeperdarker:bloom_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/bloom_stairs | minecraft:block | deeperdarker:blocks/bloom_stairs deeperdarker:bloom_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bloom_trapdoor | minecraft:block | deeperdarker:blocks/bloom_trapdoor deeperdarker:bloom_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/blooming_moss_block | minecraft:block | deeperdarker:blocks/blooming_moss_block deeperdarker:blooming_moss_block minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/blooming_sculk_stone | minecraft:block | deeperdarker:blocks/blooming_sculk_stone deeperdarker:blooming_sculk_stone deeperdarker:cobbled_sculk_stone minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion
deeperdarker:blocks/blooming_stem | minecraft:block | deeperdarker:blocks/blooming_stem deeperdarker:blooming_stem minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/bordered_lite_block | minecraft:block | deeperdarker:blocks/bordered_lite_block deeperdarker:bordered_lite_block minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/chiseled_gloomslate | minecraft:block | deeperdarker:blocks/chiseled_gloomslate deeperdarker:chiseled_gloomslate minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/chiseled_sculk_stone | minecraft:block | deeperdarker:blocks/chiseled_sculk_stone deeperdarker:chiseled_sculk_stone minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cobbled_gloomslate | minecraft:block | deeperdarker:blocks/cobbled_gloomslate deeperdarker:cobbled_gloomslate minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cobbled_gloomslate_slab | minecraft:block | deeperdarker:blocks/cobbled_gloomslate_slab deeperdarker:cobbled_gloomslate_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/cobbled_gloomslate_stairs | minecraft:block | deeperdarker:blocks/cobbled_gloomslate_stairs deeperdarker:cobbled_gloomslate_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cobbled_gloomslate_wall | minecraft:block | deeperdarker:blocks/cobbled_gloomslate_wall deeperdarker:cobbled_gloomslate_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cobbled_sculk_stone | minecraft:block | deeperdarker:blocks/cobbled_sculk_stone deeperdarker:cobbled_sculk_stone minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cobbled_sculk_stone_slab | minecraft:block | deeperdarker:blocks/cobbled_sculk_stone_slab deeperdarker:cobbled_sculk_stone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/cobbled_sculk_stone_stairs | minecraft:block | deeperdarker:blocks/cobbled_sculk_stone_stairs deeperdarker:cobbled_sculk_stone_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cobbled_sculk_stone_wall | minecraft:block | deeperdarker:blocks/cobbled_sculk_stone_wall deeperdarker:cobbled_sculk_stone_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/crystallized_amber | minecraft:block | deeperdarker:blocks/crystallized_amber deeperdarker:crystallized_amber minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
deeperdarker:blocks/cut_gloomslate | minecraft:block | deeperdarker:blocks/cut_gloomslate deeperdarker:cut_gloomslate minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cut_gloomslate_slab | minecraft:block | deeperdarker:blocks/cut_gloomslate_slab deeperdarker:cut_gloomslate_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/cut_gloomslate_stairs | minecraft:block | deeperdarker:blocks/cut_gloomslate_stairs deeperdarker:cut_gloomslate_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cut_gloomslate_wall | minecraft:block | deeperdarker:blocks/cut_gloomslate_wall deeperdarker:cut_gloomslate_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cut_sculk_stone | minecraft:block | deeperdarker:blocks/cut_sculk_stone deeperdarker:cut_sculk_stone minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cut_sculk_stone_slab | minecraft:block | deeperdarker:blocks/cut_sculk_stone_slab deeperdarker:cut_sculk_stone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/cut_sculk_stone_stairs | minecraft:block | deeperdarker:blocks/cut_sculk_stone_stairs deeperdarker:cut_sculk_stone_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/cut_sculk_stone_wall | minecraft:block | deeperdarker:blocks/cut_sculk_stone_wall deeperdarker:cut_sculk_stone_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_button | minecraft:block | deeperdarker:blocks/echo_button deeperdarker:echo_button minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_door | minecraft:block | deeperdarker:blocks/echo_door deeperdarker:echo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
