dtarsnouveau:blocks/bastion | minecraft:block | ars_nouveau:bastion_pod dtarsnouveau:bastion dtarsnouveau:blocks/bastion minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item
dtarsnouveau:blocks/blue_archwood_leaves | minecraft:block | ars_nouveau:blue_archwood_leaves dtarsnouveau:blocks/blue_archwood_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:blocks/bombegranate | minecraft:block | ars_nouveau:bombegranate_pod dtarsnouveau:blocks/bombegranate dtarsnouveau:bombegranate minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item
dtarsnouveau:blocks/flashpine | minecraft:block | ars_elemental:flashpine_pod dtarsnouveau:blocks/flashpine dtarsnouveau:flashpine minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item
dtarsnouveau:blocks/frostaya | minecraft:block | ars_nouveau:frostaya_pod dtarsnouveau:blocks/frostaya dtarsnouveau:frostaya minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item
dtarsnouveau:blocks/green_archwood_leaves | minecraft:block | ars_nouveau:green_archwood_leaves dtarsnouveau:blocks/green_archwood_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:blocks/mendosteen | minecraft:block | ars_nouveau:mendosteen_pod dtarsnouveau:blocks/mendosteen dtarsnouveau:mendosteen minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item
dtarsnouveau:blocks/purple_archwood_leaves | minecraft:block | ars_nouveau:purple_archwood_leaves dtarsnouveau:blocks/purple_archwood_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:blocks/red_archwood_leaves | minecraft:block | ars_nouveau:red_archwood_leaves dtarsnouveau:blocks/red_archwood_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:blocks/yellow_archwood_leaves | minecraft:block | ars_elemental:yellow_archwood_leaves dtarsnouveau:blocks/yellow_archwood_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:trees/branches/blue_archwood | minecraft:block | ars_nouveau:blue_archwood_log dtarsnouveau:trees/branches/blue_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dtarsnouveau:trees/branches/green_archwood | minecraft:block | ars_nouveau:green_archwood_log dtarsnouveau:trees/branches/green_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dtarsnouveau:trees/branches/purple_archwood | minecraft:block | ars_nouveau:purple_archwood_log dtarsnouveau:trees/branches/purple_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dtarsnouveau:trees/branches/red_archwood | minecraft:block | ars_nouveau:red_archwood_log dtarsnouveau:trees/branches/red_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
