dtquark:blocks/ancient_fruit | minecraft:block | dtquark:ancient_fruit dtquark:blocks/ancient_fruit minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item quark:ancient_fruit
dtquark:blocks/ancient_leaves | minecraft:block | dtquark:blocks/ancient_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:ancient_leaves
dtquark:blocks/azalea_leaves | minecraft:block | dtquark:blocks/azalea_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:azalea_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtquark:blocks/fiery_blossom_leaves | minecraft:block | dtquark:blocks/fiery_blossom_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:red_blossom_leaves
dtquark:blocks/flowering_azalea_leaves | minecraft:block | dtquark:blocks/flowering_azalea_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:flowering_azalea_leaves minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtquark:blocks/frosty_blossom_leaves | minecraft:block | dtquark:blocks/frosty_blossom_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:blue_blossom_leaves
dtquark:blocks/glow_shroom_cap | minecraft:block | dtquark:blocks/glow_shroom_cap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform quark:glow_shroom quark:glow_shroom_block
dtquark:blocks/serene_blossom_leaves | minecraft:block | dtquark:blocks/serene_blossom_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:lavender_blossom_leaves
dtquark:blocks/sunny_blossom_leaves | minecraft:block | dtquark:blocks/sunny_blossom_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:yellow_blossom_leaves
dtquark:blocks/warm_blossom_leaves | minecraft:block | dtquark:blocks/warm_blossom_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:orange_blossom_leaves
dtquark:trees/branches/ancient | minecraft:block | dtquark:trees/branches/ancient dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick quark:ancient_log
dtquark:trees/branches/azalea | minecraft:block | dtquark:trees/branches/azalea dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick quark:azalea_log
dtquark:trees/branches/blossom | minecraft:block | dtquark:trees/branches/blossom dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick quark:blossom_log
dtquark:trees/branches/glow_shroom | minecraft:block | dtquark:trees/branches/glow_shroom dynamictrees:multiply_logs_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:silk_touch quark:glow_shroom_stem
dtquark:trees/branches/stripped_ancient | minecraft:block | dtquark:trees/branches/stripped_ancient dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick quark:stripped_ancient_log
dtquark:trees/branches/stripped_azalea | minecraft:block | dtquark:trees/branches/stripped_azalea dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick quark:stripped_azalea_log
dtquark:trees/branches/stripped_blossom | minecraft:block | dtquark:trees/branches/stripped_blossom dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick quark:stripped_blossom_log
dtquark:trees/leaves/ancient | minecraft:block | dtquark:trees/leaves/ancient dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtquark:trees/leaves/azalea | minecraft:block | dtquark:trees/leaves/azalea dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtquark:trees/leaves/fiery_blossom | minecraft:block | dtquark:trees/leaves/fiery_blossom dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtquark:trees/leaves/flowering_azalea | minecraft:block | dtquark:trees/leaves/flowering_azalea dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
