minecraft:archaelogy/jungle_ruins | minecraft:archaeology | minecraft:archaeology minecraft:arms_up_pottery_sherd minecraft:beetroot minecraft:black_wool minecraft:bone minecraft:book minecraft:brewer_pottery_sherd minecraft:brick minecraft:brown_dye minecraft:brown_stained_glass_pane minecraft:candle minecraft:carrot minecraft:cocoa_beans minecraft:danger_pottery_sherd minecraft:diamond minecraft:emerald minecraft:friend_pottery_sherd minecraft:glass_bottle minecraft:glass_pane minecraft:glow_berries minecraft:gold_ingot minecraft:heart_pottery_sherd minecraft:honey_bottle minecraft:honeycomb minecraft:iron_ingot minecraft:item minecraft:jungle_hanging_sign minecraft:jungle_planks minecraft:lapis_lazuli minecraft:lead minecraft:light_blue_stained_glass_pane minecraft:light_gray_stained_glass_pane minecraft:melon_seeds minecraft:melon_slice minecraft:name_tag minecraft:oak_hanging_sign minecraft:oak_planks minecraft:potato minecraft:prize_pottery_sherd minecraft:reference minecraft:saddle minecraft:shelter_pottery_sherd minecraft:skeleton_skull minecraft:sniffer_egg minecraft:snort_pottery_sherd minecraft:stick minecraft:stone_axe minecraft:stone_pickaxe minecraft:stone_shovel minecraft:wheat minecraft:white_wool minecraft:wild_armor_trim_smithing_template minecraft:yellow_candle nova_structures:loot_modifier
minecraft:archaelogy/ruins | minecraft:archaeology | minecraft:archaeology minecraft:archer_pottery_sherd minecraft:beetroot minecraft:beetroot_seeds minecraft:bell minecraft:birch_hanging_sign minecraft:birch_planks minecraft:blade_pottery_sherd minecraft:blue_dye minecraft:blue_wool minecraft:bone minecraft:book minecraft:bow minecraft:bowl minecraft:brick minecraft:carrot minecraft:copper_ingot minecraft:diamond minecraft:emerald minecraft:friend_pottery_sherd minecraft:glass_bottle minecraft:gold_ingot minecraft:green_dye minecraft:heart_pottery_sherd minecraft:howl_pottery_sherd minecraft:iron_ingot minecraft:item minecraft:lead minecraft:light_blue_dye minecraft:light_blue_stained_glass minecraft:miner_pottery_sherd minecraft:name_tag minecraft:oak_hanging_sign minecraft:oak_planks minecraft:potato minecraft:prize_pottery_sherd minecraft:red_dye minecraft:red_wool minecraft:reference minecraft:sheaf_pottery_sherd minecraft:skeleton_skull minecraft:spruce_hanging_sign minecraft:spruce_planks minecraft:stone_pickaxe minecraft:stone_sword minecraft:wheat minecraft:wheat_seeds minecraft:white_dye minecraft:white_stained_glass minecraft:white_wool minecraft:wild_armor_trim_smithing_template minecraft:yellow_dye minecraft:yellow_stained_glass minecraft:yellow_wool nova_structures:loot_modifier
minecraft:chests/illager_mansion/ancient_city_raid_chest | minecraft:chest | minecraft:amethyst_shard minecraft:book minecraft:chest minecraft:diamond minecraft:echo_shard minecraft:empty minecraft:enchant_with_levels minecraft:experience_bottle minecraft:gold_ingot minecraft:gold_nugget minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:reference minecraft:sculk_sensor minecraft:sculk_shrieker minecraft:set_count minecraft:uniform minecraft:ward_armor_trim_smithing_template nova_structures:loot_modifier
minecraft:chests/illager_mansion/evoker_chest | minecraft:chest | minecraft:book minecraft:chest minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_ingot minecraft:item minecraft:mojang_banner_pattern minecraft:music_disc_mellohi minecraft:reference minecraft:set_count minecraft:totem_of_undying minecraft:uniform minecraft:vex_armor_trim_smithing_template nova_structures:loot_modifier
minecraft:chests/illager_mansion/generic | minecraft:chest | minecraft:amethyst_shard minecraft:beetroot minecraft:blindness minecraft:chest minecraft:dark_oak_sapling minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:jump_boost minecraft:name_tag minecraft:night_vision minecraft:poison minecraft:red_candle minecraft:reference minecraft:saturation minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_stew_effect minecraft:suspicious_stew minecraft:uniform minecraft:weakness nova_structures:loot_modifier
minecraft:chests/illager_mansion/kitchen | minecraft:chest | minecraft:baked_potato minecraft:beetroot minecraft:beetroot_soup minecraft:blindness minecraft:cake minecraft:carrot minecraft:chest minecraft:cooked_beef minecraft:cooked_cod minecraft:cooked_salmon minecraft:cookie minecraft:honey_bottle minecraft:item minecraft:jump_boost minecraft:melon_slice minecraft:milk_bucket minecraft:night_vision minecraft:poison minecraft:poisonous_potato minecraft:potato minecraft:pumpkin_pie minecraft:reference minecraft:saturation minecraft:set_count minecraft:set_stew_effect minecraft:suspicious_stew minecraft:sweet_berries minecraft:uniform minecraft:weakness nova_structures:loot_modifier
minecraft:chests/illager_mansion/library_chest | minecraft:chest | minecraft:amethyst_shard minecraft:book minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:feather minecraft:ink_sac minecraft:item minecraft:lapis_lazuli minecraft:leather minecraft:paper minecraft:reference minecraft:set_count minecraft:uniform minecraft:vex_armor_trim_smithing_template minecraft:writable_book nova_structures:loot_modifier
minecraft:chests/illager_mansion/map_chest | minecraft:chest | minecraft:ancient_city minecraft:blue_banner minecraft:book minecraft:chest minecraft:exploration_map minecraft:gray_banner minecraft:item minecraft:map minecraft:orange_banner minecraft:paper minecraft:pillager_outpost minecraft:purple_banner minecraft:red_banner minecraft:reference minecraft:set_components minecraft:set_count minecraft:yellow_banner nova_structures:badlands_miner_outpost nova_structures:illager_hideout nova_structures:loot_modifier nova_structures:witch_villa
minecraft:chests/illager_mansion/pillager_chest | minecraft:chest | minecraft:arrow minecraft:chest minecraft:cooked_chicken minecraft:crossbow minecraft:dark_oak_log minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:goat_horn minecraft:item minecraft:poppy minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_instrument minecraft:set_potion minecraft:strong_harming minecraft:tipped_arrow minecraft:uniform nova_structures:loot_modifier
minecraft:chests/illager_mansion/ravager_chest | minecraft:chest | minecraft:beef minecraft:carrot_on_a_stick minecraft:chest minecraft:emerald minecraft:empty minecraft:iron_ingot minecraft:item minecraft:pumpkin minecraft:reference minecraft:saddle minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
minecraft:chests/illager_mansion/secret_room | minecraft:chest | minecraft:amethyst_shard minecraft:book minecraft:chest minecraft:diamond minecraft:emerald minecraft:emerald_block minecraft:empty minecraft:enchant_randomly minecraft:item minecraft:lapis_lazuli minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform minecraft:vex_armor_trim_smithing_template nova_structures:loot_modifier
minecraft:chests/illager_mansion/smithing_room | minecraft:chest | minecraft:bucket minecraft:chest minecraft:coal minecraft:empty minecraft:enchant_with_levels minecraft:iron_axe minecraft:iron_pickaxe minecraft:item minecraft:lava_bucket minecraft:raw_gold minecraft:raw_iron minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_damage minecraft:shears minecraft:uniform nova_structures:loot_modifier
minecraft:chests/illager_mansion/vindicator_chest | minecraft:chest | minecraft:chest minecraft:dark_oak_sapling minecraft:diamond_axe minecraft:emerald minecraft:enchant_with_levels minecraft:iron_axe minecraft:iron_ingot minecraft:item minecraft:jack_o_lantern minecraft:lapis_lazuli minecraft:pumpkin minecraft:red_candle minecraft:reference minecraft:set_count minecraft:set_damage minecraft:uniform nova_structures:loot_modifier
