dynamictrees:blocks/acacia_leaves | minecraft:block | dynamictrees:blocks/acacia_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:acacia_leaves minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/apple | minecraft:block | dynamictrees:apple dynamictrees:blocks/apple minecraft:apple minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item
dynamictrees:blocks/azalea_leaves | minecraft:block | dynamictrees:blocks/azalea_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:azalea_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/birch_leaves | minecraft:block | dynamictrees:blocks/birch_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:birch_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/cherry_leaves | minecraft:block | dynamictrees:blocks/cherry_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:cherry_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/cocoa | minecraft:block | dynamictrees:blocks/cocoa dynamictrees:cocoa dynamictrees:cocoa_seed minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item
dynamictrees:blocks/crimson_wart | minecraft:block | dynamictrees:blocks/crimson_wart minecraft:block minecraft:item minecraft:nether_wart_block minecraft:survives_explosion
dynamictrees:blocks/dark_oak_leaves | minecraft:block | dynamictrees:blocks/dark_oak_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/flowering_azalea_leaves | minecraft:block | dynamictrees:blocks/flowering_azalea_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:flowering_azalea_leaves minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/jungle_leaves | minecraft:block | dynamictrees:blocks/jungle_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:jungle_leaves minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/jungle_undergrowth_leaves | minecraft:block | dynamictrees:blocks/jungle_undergrowth_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:jungle_leaves minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
