ecologics:blocks/azalea_button | minecraft:block | ecologics:azalea_button minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_door | minecraft:block | ecologics:azalea_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_fence | minecraft:block | ecologics:azalea_fence minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_fence_gate | minecraft:block | ecologics:azalea_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_flower | minecraft:block | ecologics:azalea_flower minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_hanging_sign | minecraft:block | ecologics:azalea_hanging_sign minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_log | minecraft:block | ecologics:azalea_log minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_planks | minecraft:block | ecologics:azalea_planks minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_pressure_plate | minecraft:block | ecologics:azalea_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_sign | minecraft:block | ecologics:azalea_sign minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_slab | minecraft:block | ecologics:azalea_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ecologics:blocks/azalea_stairs | minecraft:block | ecologics:azalea_stairs minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_trapdoor | minecraft:block | ecologics:azalea_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/azalea_wood | minecraft:block | ecologics:azalea_wood minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut | minecraft:block | ecologics:coconut minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_button | minecraft:block | ecologics:coconut_button minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_door | minecraft:block | ecologics:coconut_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_fence | minecraft:block | ecologics:coconut_fence minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_fence_gate | minecraft:block | ecologics:coconut_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_hanging_sign | minecraft:block | ecologics:coconut_hanging_sign minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_leaves | minecraft:block | ecologics:blocks/coconut_leaves ecologics:coconut_leaves ecologics:coconut_seedling minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
ecologics:blocks/coconut_log | minecraft:block | ecologics:coconut_log minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_planks | minecraft:block | ecologics:coconut_planks minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_pressure_plate | minecraft:block | ecologics:coconut_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_seedling | minecraft:block | ecologics:coconut_seedling minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_sign | minecraft:block | ecologics:coconut_sign minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_slab | minecraft:block | ecologics:coconut_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ecologics:blocks/coconut_stairs | minecraft:block | ecologics:coconut_stairs minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_trapdoor | minecraft:block | ecologics:coconut_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/coconut_wood | minecraft:block | ecologics:coconut_wood minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/flowering_azalea_door | minecraft:block | ecologics:flowering_azalea_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
ecologics:blocks/flowering_azalea_fence | minecraft:block | ecologics:flowering_azalea_fence minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/flowering_azalea_fence_gate | minecraft:block | ecologics:flowering_azalea_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/flowering_azalea_hanging_sign | minecraft:block | ecologics:flowering_azalea_hanging_sign minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/flowering_azalea_log | minecraft:block | ecologics:flowering_azalea_log minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/flowering_azalea_planks | minecraft:block | ecologics:flowering_azalea_planks minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/flowering_azalea_sign | minecraft:block | ecologics:flowering_azalea_sign minecraft:block minecraft:item minecraft:survives_explosion
ecologics:blocks/flowering_azalea_slab | minecraft:block | ecologics:flowering_azalea_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
