expandeddelight:blocks/asparagus_crate | minecraft:block | expandeddelight:asparagus_crate expandeddelight:blocks/asparagus_crate minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/asparagus_crop | minecraft:block | expandeddelight:asparagus expandeddelight:asparagus_crop expandeddelight:asparagus_seeds minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
expandeddelight:blocks/cask | minecraft:block | expandeddelight:blocks/cask expandeddelight:cask minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cheese_cask | minecraft:block | expandeddelight:blocks/cheese_cask expandeddelight:cask minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cheese_wheel | minecraft:block | expandeddelight:blocks/cheese_wheel expandeddelight:cheese_wheel minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/chili_pepper_crate | minecraft:block | expandeddelight:blocks/chili_pepper_crate expandeddelight:chili_pepper_crate minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/chili_pepper_crop | minecraft:block | expandeddelight:chili_pepper expandeddelight:chili_pepper_crop expandeddelight:chili_pepper_seeds minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
expandeddelight:blocks/cinnamon_button | minecraft:block | expandeddelight:blocks/cinnamon_button expandeddelight:cinnamon_button minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_cabinet | minecraft:block | expandeddelight:blocks/cinnamon_cabinet expandeddelight:cinnamon_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_ceiling_hanging_sign | minecraft:block | expandeddelight:blocks/cinnamon_ceiling_hanging_sign expandeddelight:cinnamon_hanging_sign minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_door | minecraft:block | expandeddelight:blocks/cinnamon_door expandeddelight:cinnamon_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_fence | minecraft:block | expandeddelight:blocks/cinnamon_fence expandeddelight:cinnamon_fence minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_fence_gate | minecraft:block | expandeddelight:blocks/cinnamon_fence_gate expandeddelight:cinnamon_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_leaves | minecraft:block | expandeddelight:blocks/cinnamon_leaves expandeddelight:cinnamon_leaves expandeddelight:cinnamon_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
expandeddelight:blocks/cinnamon_log | minecraft:block | expandeddelight:blocks/cinnamon_log expandeddelight:cinnamon_log minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_planks | minecraft:block | expandeddelight:blocks/cinnamon_planks expandeddelight:cinnamon_planks minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_pressure_plate | minecraft:block | expandeddelight:blocks/cinnamon_pressure_plate expandeddelight:cinnamon_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_sapling | minecraft:block | expandeddelight:blocks/cinnamon_sapling expandeddelight:cinnamon_sapling minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_sign | minecraft:block | expandeddelight:blocks/cinnamon_sign expandeddelight:cinnamon_sign minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_slab | minecraft:block | expandeddelight:blocks/cinnamon_slab expandeddelight:cinnamon_slab minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_stairs | minecraft:block | expandeddelight:blocks/cinnamon_stairs expandeddelight:cinnamon_stairs minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_trapdoor | minecraft:block | expandeddelight:blocks/cinnamon_trapdoor expandeddelight:cinnamon_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_wall_hanging_sign | minecraft:block | expandeddelight:blocks/cinnamon_wall_hanging_sign expandeddelight:cinnamon_hanging_sign minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_wall_sign | minecraft:block | expandeddelight:blocks/cinnamon_wall_sign expandeddelight:cinnamon_sign minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cinnamon_wood | minecraft:block | expandeddelight:blocks/cinnamon_wood expandeddelight:cinnamon_wood minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cranberry_bag | minecraft:block | expandeddelight:blocks/cranberry_bag expandeddelight:cranberry_bag minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/cranberry_plant | minecraft:block | expandeddelight:blocks/cranberry_plant expandeddelight:cranberries expandeddelight:cranberry_plant minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:uniform minecraft:uniform_bonus_count
expandeddelight:blocks/deepslate_salt_ore | minecraft:block | expandeddelight:blocks/deepslate_salt_ore expandeddelight:deepslate_salt_ore expandeddelight:salt_rock minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
expandeddelight:blocks/goat_cheese_cask | minecraft:block | expandeddelight:blocks/goat_cheese_cask expandeddelight:cask minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/goat_cheese_wheel | minecraft:block | expandeddelight:blocks/goat_cheese_wheel expandeddelight:goat_cheese_wheel minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/goat_milk_cask | minecraft:block | expandeddelight:blocks/goat_milk_cask expandeddelight:cask minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/juicer | minecraft:block | expandeddelight:blocks/juicer expandeddelight:drink expandeddelight:juicer farmersdelight:container minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
expandeddelight:blocks/milk_cask | minecraft:block | expandeddelight:blocks/milk_cask expandeddelight:cask minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/peanut_crop | minecraft:block | expandeddelight:peanut expandeddelight:peanut_crop minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
