extradelight:blocks/acacia_counter_cabinet | minecraft:block | extradelight:acacia_counter_cabinet extradelight:blocks/acacia_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_dried_corn_fence | minecraft:block | extradelight:acacia_dried_corn_fence extradelight:blocks/acacia_dried_corn_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_food_display | minecraft:block | extradelight:acacia_food_display extradelight:blocks/acacia_food_display minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_half_cabinet | minecraft:block | extradelight:acacia_half_cabinet extradelight:blocks/acacia_half_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_knife_block | minecraft:block | extradelight:acacia_knife_block extradelight:blocks/acacia_knife_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_black_wallpaper | minecraft:block | extradelight:acacia_molded_black_wallpaper extradelight:blocks/acacia_molded_black_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_blue_wallpaper | minecraft:block | extradelight:acacia_molded_blue_wallpaper extradelight:blocks/acacia_molded_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_brown_wallpaper | minecraft:block | extradelight:acacia_molded_brown_wallpaper extradelight:blocks/acacia_molded_brown_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_cyan_wallpaper | minecraft:block | extradelight:acacia_molded_cyan_wallpaper extradelight:blocks/acacia_molded_cyan_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_gray_wallpaper | minecraft:block | extradelight:acacia_molded_gray_wallpaper extradelight:blocks/acacia_molded_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_green_wallpaper | minecraft:block | extradelight:acacia_molded_green_wallpaper extradelight:blocks/acacia_molded_green_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_light_blue_wallpaper | minecraft:block | extradelight:acacia_molded_light_blue_wallpaper extradelight:blocks/acacia_molded_light_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_light_gray_wallpaper | minecraft:block | extradelight:acacia_molded_light_gray_wallpaper extradelight:blocks/acacia_molded_light_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_lime_wallpaper | minecraft:block | extradelight:acacia_molded_lime_wallpaper extradelight:blocks/acacia_molded_lime_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_magenta_wallpaper | minecraft:block | extradelight:acacia_molded_magenta_wallpaper extradelight:blocks/acacia_molded_magenta_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_orange_wallpaper | minecraft:block | extradelight:acacia_molded_orange_wallpaper extradelight:blocks/acacia_molded_orange_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_pink_wallpaper | minecraft:block | extradelight:acacia_molded_pink_wallpaper extradelight:blocks/acacia_molded_pink_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_purple_wallpaper | minecraft:block | extradelight:acacia_molded_purple_wallpaper extradelight:blocks/acacia_molded_purple_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_red_wallpaper | minecraft:block | extradelight:acacia_molded_red_wallpaper extradelight:blocks/acacia_molded_red_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_white_wallpaper | minecraft:block | extradelight:acacia_molded_white_wallpaper extradelight:blocks/acacia_molded_white_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_molded_yellow_wallpaper | minecraft:block | extradelight:acacia_molded_yellow_wallpaper extradelight:blocks/acacia_molded_yellow_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_sink | minecraft:block | extradelight:acacia_sink extradelight:blocks/acacia_sink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_spice_rack | minecraft:block | extradelight:acacia_spice_rack extradelight:blocks/acacia_spice_rack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_spice_rack_full | minecraft:block | extradelight:acacia_spice_rack_full extradelight:blocks/acacia_spice_rack_full minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_step_stool | minecraft:block | extradelight:acacia_step_stool extradelight:blocks/acacia_step_stool minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/acacia_wreath | minecraft:block | extradelight:acacia_wreath extradelight:blocks/acacia_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/apple_cheesecake | minecraft:block | extradelight:blocks/apple_cheesecake minecraft:block
extradelight:blocks/apple_cookie_block | minecraft:block | extradelight:apple_cookie_block_item extradelight:blocks/apple_cookie_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/apple_crate | minecraft:block | extradelight:apple_crate extradelight:blocks/apple_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/apple_crisp | minecraft:block | extradelight:apple_crisp extradelight:blocks/apple_crisp extradelight:square_pan minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/apple_leaves | minecraft:block | extradelight:apple_leaves extradelight:apple_sapling extradelight:blocks/apple_leaves minecraft:alternatives minecraft:any_of minecraft:apple minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
extradelight:blocks/apple_petal_litter | minecraft:block | extradelight:apple_petal_litter_item extradelight:blocks/apple_petal_litter minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/apple_sapling | minecraft:block | extradelight:apple_sapling extradelight:blocks/apple_sapling minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/apple_wreath | minecraft:block | extradelight:apple_wreath extradelight:blocks/apple_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/azalea_wreath | minecraft:block | extradelight:azalea_wreath extradelight:blocks/azalea_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/bacon_egg_pie | minecraft:block | extradelight:blocks/bacon_egg_pie minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/baked_alaska | minecraft:block | extradelight:baked_alaska extradelight:blocks/baked_alaska extradelight:tray minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
