formationsnether:basalt_hut | minecraft:chest | minecraft:blaze_powder minecraft:chest minecraft:ghast_tear minecraft:item minecraft:magma_cream minecraft:mushroom_stew minecraft:nether_wart minecraft:saddle minecraft:set_count minecraft:suspicious_stew minecraft:uniform minecraft:warped_fungus_on_a_stick
formationsnether:blackstone_castle | minecraft:chest | minecraft:ancient_debris minecraft:blackstone minecraft:blaze_powder minecraft:blaze_rod minecraft:book minecraft:bow minecraft:chest minecraft:crimson_fungus minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:ghast_tear minecraft:golden_apple minecraft:golden_axe minecraft:golden_boots minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_leggings minecraft:golden_pickaxe minecraft:golden_shovel minecraft:golden_sword minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:magma_cream minecraft:nether_wart minecraft:netherite_ingot minecraft:netherite_scrap minecraft:quartz minecraft:quartz_block minecraft:saddle minecraft:set_count minecraft:uniform minecraft:warped_fungus minecraft:warped_fungus_on_a_stick minecraft:wither_rose
formationsnether:blackstone_remnant | minecraft:chest | minecraft:blackstone minecraft:bow minecraft:chest minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:set_count minecraft:uniform
formationsnether:campsite | minecraft:chest | minecraft:blaze_powder minecraft:chest minecraft:crimson_fungus minecraft:ghast_tear minecraft:golden_apple minecraft:item minecraft:nether_wart minecraft:saddle minecraft:set_count minecraft:uniform minecraft:warped_fungus minecraft:warped_fungus_on_a_stick
formationsnether:large_house/barrel | minecraft:chest | minecraft:chest minecraft:gold_ingot minecraft:gold_nugget minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:netherite_scrap minecraft:set_count minecraft:uniform
formationsnether:large_house/chest | minecraft:chest | minecraft:blaze_powder minecraft:chest minecraft:crimson_fungus minecraft:enchant_with_levels minecraft:ghast_tear minecraft:golden_apple minecraft:golden_sword minecraft:item minecraft:magma_cream minecraft:nether_wart minecraft:saddle minecraft:set_count minecraft:uniform minecraft:warped_fungus minecraft:warped_fungus_on_a_stick minecraft:wither_rose
formationsnether:large_tree | minecraft:chest | minecraft:chest minecraft:crimson_fungus minecraft:glow_berries minecraft:glowstone_dust minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:set_count minecraft:uniform minecraft:warped_fungus
formationsnether:parkour_challenge | ? | minecraft:blaze_powder minecraft:bone minecraft:bow minecraft:enchant_with_levels minecraft:ender_pearl minecraft:golden_axe minecraft:golden_boots minecraft:golden_carrot minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_leggings minecraft:golden_pickaxe minecraft:golden_shovel minecraft:golden_sword minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:magma_cream minecraft:set_count minecraft:uniform
formationsnether:rib_cage | minecraft:chest | minecraft:blaze_powder minecraft:bone minecraft:chest minecraft:ender_pearl minecraft:glass minecraft:item minecraft:magma_cream minecraft:mushroom_stew minecraft:netherrack minecraft:set_count minecraft:uniform
formationsnether:small_fire_arena | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:coal minecraft:enchant_with_levels minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:set_count minecraft:uniform minecraft:wither_rose minecraft:wither_skeleton_skull
formationsnether:small_lava_arena | minecraft:chest | minecraft:blaze_rod minecraft:chest minecraft:enchanted_golden_apple minecraft:ghast_tear minecraft:gold_block minecraft:gold_ingot minecraft:item minecraft:netherite_scrap minecraft:set_count minecraft:uniform
formationsnether:small_lava_shrine | minecraft:chest | minecraft:blaze_powder minecraft:chest minecraft:gold_ingot minecraft:item minecraft:magma_block minecraft:magma_cream minecraft:netherite_scrap minecraft:set_count minecraft:uniform
formationsnether:sphere_cage/piglin | minecraft:chest | minecraft:blaze_powder minecraft:chest minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:magma_cream minecraft:nether_wart minecraft:netherite_scrap minecraft:set_count minecraft:uniform
formationsnether:sphere_cage/wither | minecraft:chest | minecraft:blaze_powder minecraft:chest minecraft:coal minecraft:coal_block minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:uniform minecraft:wither_rose minecraft:wither_skeleton_skull
