friendsandfoes:barrels/citadel | minecraft:chest | minecraft:chain minecraft:chest minecraft:coal minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:diamond_sword minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_boots minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_leggings minecraft:golden_pickaxe minecraft:golden_sword minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_nugget minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:saddle minecraft:set_count minecraft:set_damage minecraft:uniform
friendsandfoes:barrels/iceologer_cabin | minecraft:chest | minecraft:charcoal minecraft:chest minecraft:cobweb minecraft:emerald minecraft:flower_pot minecraft:item minecraft:set_count minecraft:string minecraft:uniform
friendsandfoes:barrels/illusioner_shack_attic | minecraft:chest | minecraft:book minecraft:chest minecraft:cobweb minecraft:emerald minecraft:flower_pot minecraft:item minecraft:leather minecraft:painting minecraft:set_count minecraft:string minecraft:uniform
friendsandfoes:barrels/illusioner_shack_basement | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:iron_nugget minecraft:item minecraft:name_tag minecraft:set_count minecraft:string minecraft:uniform
friendsandfoes:blocks/acacia_beehive | minecraft:block | friendsandfoes:acacia_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/bamboo_beehive | minecraft:block | friendsandfoes:bamboo_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/birch_beehive | minecraft:block | friendsandfoes:birch_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/buttercup | minecraft:block | friendsandfoes:buttercup minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/cherry_beehive | minecraft:block | friendsandfoes:cherry_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/copper_button | minecraft:block | friendsandfoes:copper_button minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/crab_egg | minecraft:block | friendsandfoes:crab_egg minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
