fxntstorage:blocks/acacia_simple_storage_box | minecraft:block | fxntstorage:acacia_simple_storage_box fxntstorage:block_entity_save_components fxntstorage:blocks/acacia_simple_storage_box fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/acacia_storage_trim | minecraft:block | fxntstorage:acacia_storage_trim fxntstorage:blocks/acacia_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/andesite_backpack | minecraft:block | fxntstorage:andesite_backpack fxntstorage:block_entity_save_components fxntstorage:blocks/andesite_backpack fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/andesite_storage_box | minecraft:block | fxntstorage:andesite_storage_box fxntstorage:block_entity_save_components fxntstorage:blocks/andesite_storage_box fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/backpack | minecraft:block | fxntstorage:backpack fxntstorage:block_entity_save_components fxntstorage:blocks/backpack fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/bamboo_simple_storage_box | minecraft:block | fxntstorage:bamboo_simple_storage_box fxntstorage:block_entity_save_components fxntstorage:blocks/bamboo_simple_storage_box fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/bamboo_storage_trim | minecraft:block | fxntstorage:bamboo_storage_trim fxntstorage:blocks/bamboo_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/birch_simple_storage_box | minecraft:block | fxntstorage:birch_simple_storage_box fxntstorage:block_entity_save_components fxntstorage:blocks/birch_simple_storage_box fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/birch_storage_trim | minecraft:block | fxntstorage:birch_storage_trim fxntstorage:blocks/birch_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/brass_backpack | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/brass_backpack fxntstorage:brass_backpack fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/brass_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/brass_storage_box fxntstorage:brass_storage_box fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/cardboard_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/cardboard_storage_box fxntstorage:cardboard_storage_box fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
