handcrafted:blocks/acacia_bench | minecraft:block | handcrafted:acacia_bench handcrafted:blocks/acacia_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_chair | minecraft:block | handcrafted:acacia_chair handcrafted:blocks/acacia_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_corner_trim | minecraft:block | handcrafted:acacia_corner_trim handcrafted:blocks/acacia_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_couch | minecraft:block | handcrafted:acacia_couch handcrafted:blocks/acacia_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_counter | minecraft:block | handcrafted:acacia_counter handcrafted:blocks/acacia_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_cupboard | minecraft:block | handcrafted:acacia_cupboard handcrafted:blocks/acacia_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_desk | minecraft:block | handcrafted:acacia_desk handcrafted:blocks/acacia_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_dining_bench | minecraft:block | handcrafted:acacia_dining_bench handcrafted:blocks/acacia_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_drawer | minecraft:block | handcrafted:acacia_drawer handcrafted:blocks/acacia_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_fancy_bed | minecraft:block | handcrafted:acacia_fancy_bed handcrafted:blocks/acacia_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_nightstand | minecraft:block | handcrafted:acacia_nightstand handcrafted:blocks/acacia_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_pillar_trim | minecraft:block | handcrafted:acacia_pillar_trim handcrafted:blocks/acacia_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_shelf | minecraft:block | handcrafted:acacia_shelf handcrafted:blocks/acacia_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_side_table | minecraft:block | handcrafted:acacia_side_table handcrafted:blocks/acacia_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/acacia_table | minecraft:block | handcrafted:acacia_table handcrafted:blocks/acacia_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/andesite_corner_trim | minecraft:block | handcrafted:andesite_corner_trim handcrafted:blocks/andesite_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/andesite_pillar_trim | minecraft:block | handcrafted:andesite_pillar_trim handcrafted:blocks/andesite_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_bench | minecraft:block | handcrafted:bamboo_bench handcrafted:blocks/bamboo_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_chair | minecraft:block | handcrafted:bamboo_chair handcrafted:blocks/bamboo_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_corner_trim | minecraft:block | handcrafted:bamboo_corner_trim handcrafted:blocks/bamboo_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_couch | minecraft:block | handcrafted:bamboo_couch handcrafted:blocks/bamboo_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_counter | minecraft:block | handcrafted:bamboo_counter handcrafted:blocks/bamboo_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_cupboard | minecraft:block | handcrafted:bamboo_cupboard handcrafted:blocks/bamboo_cupboard minecraft:block minecraft:item minecraft:survives_explosion
