irons_spellbooks:blocks/alchemist_cauldron | minecraft:block | irons_spellbooks:alchemist_cauldron minecraft:block minecraft:item
irons_spellbooks:blocks/arcane_anvil | minecraft:block | irons_spellbooks:arcane_anvil minecraft:block minecraft:item
irons_spellbooks:blocks/armor_pile | minecraft:block | minecraft:block minecraft:gold_nugget minecraft:iron_nugget minecraft:item minecraft:set_count
irons_spellbooks:blocks/blood_cauldron | minecraft:block | minecraft:block minecraft:cauldron minecraft:item
irons_spellbooks:blocks/book_stack | minecraft:block | irons_spellbooks:book_stack minecraft:alternatives minecraft:block minecraft:blocks/bookshelf minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
irons_spellbooks:blocks/brazier | minecraft:block | irons_spellbooks:blocks/brazier irons_spellbooks:brazier minecraft:block minecraft:item minecraft:survives_explosion
irons_spellbooks:blocks/brazier_soul | minecraft:block | irons_spellbooks:blocks/brazier_soul irons_spellbooks:brazier_soul minecraft:block minecraft:item minecraft:survives_explosion
irons_spellbooks:blocks/deepslate_mithril_ore | minecraft:block | irons_spellbooks:blocks/deepslate_mithril_ore irons_spellbooks:deepslate_mithril_ore irons_spellbooks:raw_mithril minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
irons_spellbooks:blocks/firefly_jar | minecraft:block | irons_spellbooks:firefly_jar minecraft:block minecraft:item
irons_spellbooks:blocks/ice_spider_egg | minecraft:block | irons_spellbooks:ice_spider_egg minecraft:block minecraft:block_state_property minecraft:item minecraft:match_tool minecraft:silk_touch
irons_spellbooks:blocks/inscription_table | minecraft:block | irons_spellbooks:inscription_table minecraft:block minecraft:item
irons_spellbooks:blocks/mithril_ore | minecraft:block | irons_spellbooks:blocks/mithril_ore irons_spellbooks:mithril_ore irons_spellbooks:raw_mithril minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
irons_spellbooks:blocks/nether_brick_pillar | minecraft:block | irons_spellbooks:blocks/nether_brick_pillar irons_spellbooks:nether_brick_pillar minecraft:block minecraft:item minecraft:survives_explosion
irons_spellbooks:blocks/pedestal | minecraft:block | irons_spellbooks:pedestal minecraft:block minecraft:item
irons_spellbooks:blocks/portal_frame | minecraft:block | irons_spellbooks:blocks/portal_frame irons_spellbooks:portal_frame minecraft:block minecraft:item minecraft:survives_explosion
irons_spellbooks:blocks/scroll_forge | minecraft:block | irons_spellbooks:scroll_forge minecraft:block minecraft:item
irons_spellbooks:blocks/wisewood_bookshelf | minecraft:block | irons_spellbooks:blocks/wisewood_bookshelf irons_spellbooks:wisewood_bookshelf minecraft:block minecraft:item minecraft:survives_explosion
