farm_and_charm:advancements/completionist | minecraft:block | farm_and_charm:scarecrow minecraft:block minecraft:item minecraft:set_count
farm_and_charm:blocks/barley_ball | minecraft:block | farm_and_charm:barley_ball minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/barley_crop | minecraft:block | farm_and_charm:barley farm_and_charm:barley_crop farm_and_charm:barley_seeds minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
farm_and_charm:blocks/beetroot_bag | minecraft:block | farm_and_charm:beetroot_bag minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/carrot_bag | minecraft:block | farm_and_charm:carrot_bag minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/cat_food_bag | minecraft:block | farm_and_charm:cat_food_bag minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count minecraft:survives_explosion
farm_and_charm:blocks/cattlegrid | minecraft:block | farm_and_charm:cattlegrid minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/chicken_fence | minecraft:block | farm_and_charm:chicken_fence minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/chicken_nest | minecraft:block | farm_and_charm:chicken_nest minecraft:block minecraft:feather minecraft:inverted minecraft:item minecraft:match_tool minecraft:random_chance minecraft:set_count minecraft:silk_touch minecraft:survives_explosion minecraft:uniform minecraft:wheat
farm_and_charm:blocks/cooking_pot | minecraft:block | farm_and_charm:cooking_pot minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/corn_bag | minecraft:block | farm_and_charm:corn_bag minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/corn_crop | minecraft:block | farm_and_charm:corn farm_and_charm:corn_crop farm_and_charm:kernels minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
farm_and_charm:blocks/crafting_bowl | minecraft:block | farm_and_charm:crafting_bowl minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/dog_food_bag | minecraft:block | farm_and_charm:dog_food_bag minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count minecraft:survives_explosion
farm_and_charm:blocks/feather_pile | minecraft:block | farm_and_charm:feather_pile minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:feather minecraft:item minecraft:set_count
farm_and_charm:blocks/feeding_trough | minecraft:block | farm_and_charm:feeding_trough minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/fertilized_farmland | minecraft:block | farm_and_charm:fertilized_soil minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/fertilized_soil | minecraft:block | farm_and_charm:fertilized_soil minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/flour_bag | minecraft:block | farm_and_charm:flour_bag minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/iron_divider | minecraft:block | farm_and_charm:iron_divider minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/lettuce_bag | minecraft:block | farm_and_charm:lettuce_bag minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/lettuce_crop | minecraft:block | farm_and_charm:lettuce farm_and_charm:lettuce_crop minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:uniform
farm_and_charm:blocks/mincer | minecraft:block | farm_and_charm:mincer minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/nettle_tea | minecraft:block | minecraft:block minecraft:glass_bottle minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/oat_ball | minecraft:block | farm_and_charm:oat_ball minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/oat_crop | minecraft:block | farm_and_charm:oat farm_and_charm:oat_crop farm_and_charm:oat_seeds minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
farm_and_charm:blocks/onion_bag | minecraft:block | farm_and_charm:onion_bag minecraft:block minecraft:item minecraft:survives_explosion
farm_and_charm:blocks/onion_crop | minecraft:block | farm_and_charm:onion farm_and_charm:onion_crop minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:uniform
