meadow:advancements/completionist | minecraft:block | meadow:meadow_banner minecraft:block minecraft:item minecraft:set_count
meadow:blocks/alpine_birch_leaves | minecraft:block | meadow:alpine_birch_leaves meadow:alpine_birch_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
meadow:blocks/alpine_birch_log | minecraft:block | meadow:alpine_birch_log minecraft:block minecraft:item minecraft:survives_explosion
meadow:blocks/alpine_birch_sapling | minecraft:block | meadow:alpine_birch_sapling minecraft:block minecraft:item minecraft:survives_explosion
meadow:blocks/alpine_coal_ore | minecraft:block | meadow:alpine_coal_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:coal minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
meadow:blocks/alpine_copper_ore | minecraft:block | meadow:alpine_copper_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:silk_touch
meadow:blocks/alpine_diamond_ore | minecraft:block | meadow:alpine_diamond_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
meadow:blocks/alpine_emerald_ore | minecraft:block | meadow:alpine_emerald_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:emerald minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
meadow:blocks/alpine_gold_ore | minecraft:block | meadow:alpine_gold_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch
meadow:blocks/alpine_iron_ore | minecraft:block | meadow:alpine_iron_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_iron minecraft:silk_touch
meadow:blocks/alpine_lapis_ore | minecraft:block | meadow:alpine_lapis_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
meadow:blocks/alpine_oak_log | minecraft:block | minecraft:block minecraft:item minecraft:oak_log minecraft:survives_explosion
meadow:blocks/alpine_poppy | minecraft:block | meadow:alpine_poppy minecraft:block minecraft:item minecraft:survives_explosion
meadow:blocks/alpine_redstone_ore | minecraft:block | meadow:alpine_coal_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:redstone minecraft:silk_touch
meadow:blocks/alpine_salt_ore | minecraft:block | meadow:alpine_salt meadow:alpine_salt_ore meadow:blocks/alpine_salt_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
meadow:blocks/artisan_glass_window | minecraft:block | meadow:artisan_glass_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
meadow:blocks/artisan_glass_window_pane | minecraft:block | meadow:artisan_glass_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
