vinery:advancements/completionist | minecraft:block | minecraft:block minecraft:item minecraft:set_count vinery:vinery_standard
vinery:blocks/acacia_lattice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:acacia_lattice
vinery:blocks/acacia_wine_rack_big | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:acacia_wine_rack_big
vinery:blocks/acacia_wine_rack_mid | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:acacia_wine_rack_mid
vinery:blocks/acacia_wine_rack_small | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:acacia_wine_rack_small
vinery:blocks/apple_bag | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:apple_bag
vinery:blocks/apple_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:apple minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform vinery:apple_leaves vinery:apple_tree_sapling vinery:blocks/apple_leaves
vinery:blocks/apple_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:apple_log
vinery:blocks/apple_press | ? | 
vinery:blocks/apple_tree_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:apple_tree_sapling
vinery:blocks/apple_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:apple_wood
vinery:blocks/bamboo_lattice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:bamboo_lattice
vinery:blocks/bamboo_wine_rack_big | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:bamboo_wine_rack_big
vinery:blocks/bamboo_wine_rack_mid | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:bamboo_wine_rack_mid
vinery:blocks/bamboo_wine_rack_small | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:bamboo_wine_rack_small
vinery:blocks/birch_lattice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:birch_lattice
vinery:blocks/birch_wine_rack_big | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:birch_wine_rack_big
vinery:blocks/birch_wine_rack_mid | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion vinery:birch_wine_rack_mid
