mcwdoors:blocks/acacia_bamboo_door | minecraft:block | mcwdoors:acacia_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_bark_glass_door | minecraft:block | mcwdoors:acacia_bark_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_barn_door | minecraft:block | mcwdoors:acacia_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_barn_glass_door | minecraft:block | mcwdoors:acacia_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_beach_door | minecraft:block | mcwdoors:acacia_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_classic_door | minecraft:block | mcwdoors:acacia_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_cottage_door | minecraft:block | mcwdoors:acacia_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_four_panel_door | minecraft:block | mcwdoors:acacia_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_glass_door | minecraft:block | mcwdoors:acacia_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_japanese2_door | minecraft:block | mcwdoors:acacia_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_japanese_door | minecraft:block | mcwdoors:acacia_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_modern_door | minecraft:block | mcwdoors:acacia_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_mystic_door | minecraft:block | mcwdoors:acacia_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_nether_door | minecraft:block | mcwdoors:acacia_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_paper_door | minecraft:block | mcwdoors:acacia_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_stable_door | minecraft:block | mcwdoors:acacia_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_stable_head_door | minecraft:block | mcwdoors:acacia_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_swamp_door | minecraft:block | mcwdoors:acacia_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_waffle_door | minecraft:block | mcwdoors:acacia_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_western_door | minecraft:block | mcwdoors:acacia_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/acacia_whispering_door | minecraft:block | mcwdoors:acacia_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_bark_glass_door | minecraft:block | mcwdoors:bamboo_bark_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_barn_door | minecraft:block | mcwdoors:bamboo_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_barn_glass_door | minecraft:block | mcwdoors:bamboo_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_beach_door | minecraft:block | mcwdoors:bamboo_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_classic_door | minecraft:block | mcwdoors:bamboo_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_cottage_door | minecraft:block | mcwdoors:bamboo_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_four_panel_door | minecraft:block | mcwdoors:bamboo_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_glass_door | minecraft:block | mcwdoors:bamboo_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_japanese2_door | minecraft:block | mcwdoors:bamboo_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_japanese_door | minecraft:block | mcwdoors:bamboo_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
