mcwfences:blocks/acacia_curved_gate | minecraft:block | mcwfences:acacia_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/acacia_hedge | minecraft:block | mcwfences:acacia_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/acacia_highley_gate | minecraft:block | mcwfences:acacia_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/acacia_horse_fence | minecraft:block | mcwfences:acacia_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/acacia_picket_fence | minecraft:block | mcwfences:acacia_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/acacia_pyramid_gate | minecraft:block | mcwfences:acacia_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/acacia_stockade_fence | minecraft:block | mcwfences:acacia_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/acacia_wired_fence | minecraft:block | mcwfences:acacia_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/acorn_metal_fence | minecraft:block | mcwfences:acorn_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/andesite_grass_topped_wall | minecraft:block | mcwfences:andesite_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/andesite_pillar_wall | minecraft:block | mcwfences:andesite_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/andesite_railing_gate | minecraft:block | mcwfences:andesite_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/azalea_hedge | minecraft:block | mcwfences:azalea_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bamboo_curved_gate | minecraft:block | mcwfences:bamboo_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bamboo_fence | minecraft:block | mcwfences:bamboo_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bamboo_highley_gate | minecraft:block | mcwfences:bamboo_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bamboo_horse_fence | minecraft:block | mcwfences:bamboo_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bamboo_picket_fence | minecraft:block | mcwfences:bamboo_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bamboo_pyramid_gate | minecraft:block | mcwfences:bamboo_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bamboo_stockade_fence | minecraft:block | mcwfences:bamboo_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bamboo_wired_fence | minecraft:block | mcwfences:bamboo_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bastion_metal_fence | minecraft:block | mcwfences:bastion_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/bastion_metal_fence_gate | minecraft:block | mcwfences:bastion_metal_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/birch_curved_gate | minecraft:block | mcwfences:birch_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/birch_hedge | minecraft:block | mcwfences:birch_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/birch_highley_gate | minecraft:block | mcwfences:birch_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/birch_horse_fence | minecraft:block | mcwfences:birch_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/birch_picket_fence | minecraft:block | mcwfences:birch_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/birch_pyramid_gate | minecraft:block | mcwfences:birch_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/birch_stockade_fence | minecraft:block | mcwfences:birch_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/birch_wired_fence | minecraft:block | mcwfences:birch_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/blackstone_brick_railing_gate | minecraft:block | mcwfences:blackstone_brick_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/blackstone_grass_topped_wall | minecraft:block | mcwfences:blackstone_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/blackstone_pillar_wall | minecraft:block | mcwfences:blackstone_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/blackstone_railing_gate | minecraft:block | mcwfences:blackstone_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/cathedral_metal_fence | minecraft:block | mcwfences:cathedral_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/cherry_curved_gate | minecraft:block | mcwfences:cherry_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/cherry_hedge | minecraft:block | mcwfences:cherry_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/cherry_highley_gate | minecraft:block | mcwfences:cherry_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/cherry_horse_fence | minecraft:block | mcwfences:cherry_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/cherry_picket_fence | minecraft:block | mcwfences:cherry_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/cherry_pyramid_gate | minecraft:block | mcwfences:cherry_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/cherry_stockade_fence | minecraft:block | mcwfences:cherry_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/cherry_wired_fence | minecraft:block | mcwfences:cherry_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/crimson_curved_gate | minecraft:block | mcwfences:crimson_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/crimson_highley_gate | minecraft:block | mcwfences:crimson_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/crimson_horse_fence | minecraft:block | mcwfences:crimson_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
