mcwstairs:blocks/acacia_bulk_stairs | minecraft:block | mcwstairs:acacia_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/acacia_compact_stairs | minecraft:block | mcwstairs:acacia_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/acacia_loft_stairs | minecraft:block | mcwstairs:acacia_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/acacia_platform | minecraft:block | mcwstairs:acacia_platform minecraft:block minecraft:item
mcwstairs:blocks/acacia_railing | minecraft:block | mcwstairs:acacia_railing minecraft:block minecraft:item
mcwstairs:blocks/acacia_skyline_stairs | minecraft:block | mcwstairs:acacia_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/acacia_terrace_stairs | minecraft:block | mcwstairs:acacia_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/andesite_bulk_stairs | minecraft:block | mcwstairs:andesite_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/andesite_compact_stairs | minecraft:block | mcwstairs:andesite_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/andesite_loft_stairs | minecraft:block | mcwstairs:andesite_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/andesite_platform | minecraft:block | mcwstairs:andesite_platform minecraft:block minecraft:item
mcwstairs:blocks/andesite_railing | minecraft:block | mcwstairs:andesite_railing minecraft:block minecraft:item
mcwstairs:blocks/andesite_skyline_stairs | minecraft:block | mcwstairs:andesite_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/andesite_terrace_stairs | minecraft:block | mcwstairs:andesite_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/birch_bulk_stairs | minecraft:block | mcwstairs:birch_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/birch_compact_stairs | minecraft:block | mcwstairs:birch_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/birch_loft_stairs | minecraft:block | mcwstairs:birch_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/birch_platform | minecraft:block | mcwstairs:birch_platform minecraft:block minecraft:item
mcwstairs:blocks/birch_railing | minecraft:block | mcwstairs:birch_railing minecraft:block minecraft:item
mcwstairs:blocks/birch_skyline_stairs | minecraft:block | mcwstairs:birch_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/birch_terrace_stairs | minecraft:block | mcwstairs:birch_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/blackstone_bulk_stairs | minecraft:block | mcwstairs:blackstone_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/blackstone_compact_stairs | minecraft:block | mcwstairs:blackstone_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/blackstone_loft_stairs | minecraft:block | mcwstairs:blackstone_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/blackstone_platform | minecraft:block | mcwstairs:blackstone_platform minecraft:block minecraft:item
mcwstairs:blocks/blackstone_railing | minecraft:block | mcwstairs:blackstone_railing minecraft:block minecraft:item
mcwstairs:blocks/blackstone_skyline_stairs | minecraft:block | mcwstairs:blackstone_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/blackstone_terrace_stairs | minecraft:block | mcwstairs:blackstone_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/brick_bulk_stairs | minecraft:block | mcwstairs:brick_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/brick_compact_stairs | minecraft:block | mcwstairs:brick_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/brick_loft_stairs | minecraft:block | mcwstairs:brick_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/brick_platform | minecraft:block | mcwstairs:brick_platform minecraft:block minecraft:item
mcwstairs:blocks/brick_railing | minecraft:block | mcwstairs:brick_railing minecraft:block minecraft:item
mcwstairs:blocks/brick_skyline_stairs | minecraft:block | mcwstairs:brick_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/brick_terrace_stairs | minecraft:block | mcwstairs:brick_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/cherry_bulk_stairs | minecraft:block | mcwstairs:cherry_bulk_stairs minecraft:block minecraft:item
