mcwwindows:blocks/acacia_blinds | minecraft:block | mcwwindows:acacia_blinds minecraft:block minecraft:item
mcwwindows:blocks/acacia_curtain_rod | minecraft:block | mcwwindows:acacia_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/acacia_four_window | minecraft:block | mcwwindows:acacia_four_window minecraft:block minecraft:item
mcwwindows:blocks/acacia_log_parapet | minecraft:block | mcwwindows:acacia_log_parapet minecraft:block minecraft:item
mcwwindows:blocks/acacia_louvered_shutter | minecraft:block | mcwwindows:acacia_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/acacia_pane_window | minecraft:block | mcwwindows:acacia_pane_window minecraft:block minecraft:item
mcwwindows:blocks/acacia_plank_four_window | minecraft:block | mcwwindows:acacia_plank_four_window minecraft:block minecraft:item
mcwwindows:blocks/acacia_plank_pane_window | minecraft:block | mcwwindows:acacia_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/acacia_plank_parapet | minecraft:block | mcwwindows:acacia_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/acacia_plank_window | minecraft:block | mcwwindows:acacia_plank_window minecraft:block minecraft:item
mcwwindows:blocks/acacia_plank_window2 | minecraft:block | mcwwindows:acacia_plank_window2 minecraft:block minecraft:item
mcwwindows:blocks/acacia_shutter | minecraft:block | mcwwindows:acacia_shutter minecraft:block minecraft:item
mcwwindows:blocks/acacia_window | minecraft:block | mcwwindows:acacia_window minecraft:block minecraft:item
mcwwindows:blocks/acacia_window2 | minecraft:block | mcwwindows:acacia_window2 minecraft:block minecraft:item
mcwwindows:blocks/andesite_four_window | minecraft:block | mcwwindows:andesite_four_window minecraft:block minecraft:item
mcwwindows:blocks/andesite_louvered_shutter | minecraft:block | mcwwindows:andesite_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/andesite_pane_window | minecraft:block | mcwwindows:andesite_pane_window minecraft:block minecraft:item
mcwwindows:blocks/andesite_parapet | minecraft:block | mcwwindows:andesite_parapet minecraft:block minecraft:item
mcwwindows:blocks/andesite_window | minecraft:block | mcwwindows:andesite_window minecraft:block minecraft:item
mcwwindows:blocks/andesite_window2 | minecraft:block | mcwwindows:andesite_window2 minecraft:block minecraft:item
mcwwindows:blocks/bamboo_shutter | minecraft:block | mcwwindows:bamboo_shutter minecraft:block minecraft:item
mcwwindows:blocks/birch_blinds | minecraft:block | mcwwindows:birch_blinds minecraft:block minecraft:item
mcwwindows:blocks/birch_curtain_rod | minecraft:block | mcwwindows:birch_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/birch_four_window | minecraft:block | mcwwindows:birch_four_window minecraft:block minecraft:item
mcwwindows:blocks/birch_log_parapet | minecraft:block | mcwwindows:birch_log_parapet minecraft:block minecraft:item
mcwwindows:blocks/birch_louvered_shutter | minecraft:block | mcwwindows:birch_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/birch_pane_window | minecraft:block | mcwwindows:birch_pane_window minecraft:block minecraft:item
mcwwindows:blocks/birch_plank_four_window | minecraft:block | mcwwindows:birch_plank_four_window minecraft:block minecraft:item
mcwwindows:blocks/birch_plank_pane_window | minecraft:block | mcwwindows:birch_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/birch_plank_parapet | minecraft:block | mcwwindows:birch_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/birch_plank_window | minecraft:block | mcwwindows:birch_plank_window minecraft:block minecraft:item
mcwwindows:blocks/birch_plank_window2 | minecraft:block | mcwwindows:birch_plank_window2 minecraft:block minecraft:item
mcwwindows:blocks/birch_shutter | minecraft:block | mcwwindows:birch_shutter minecraft:block minecraft:item
mcwwindows:blocks/birch_window | minecraft:block | mcwwindows:birch_window minecraft:block minecraft:item
mcwwindows:blocks/birch_window2 | minecraft:block | mcwwindows:birch_window2 minecraft:block minecraft:item
mcwwindows:blocks/black_curtain | minecraft:block | mcwwindows:black_curtain minecraft:block minecraft:item
mcwwindows:blocks/black_mosaic_glass | minecraft:block | mcwwindows:black_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/black_mosaic_glass_pane | minecraft:block | mcwwindows:black_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/blackstone_brick_arrow_slit | minecraft:block | mcwwindows:blackstone_brick_arrow_slit minecraft:block minecraft:item
mcwwindows:blocks/blackstone_brick_gothic | minecraft:block | mcwwindows:blackstone_brick_gothic minecraft:block minecraft:item
mcwwindows:blocks/blackstone_four_window | minecraft:block | mcwwindows:blackstone_four_window minecraft:block minecraft:item
mcwwindows:blocks/blackstone_pane_window | minecraft:block | mcwwindows:blackstone_pane_window minecraft:block minecraft:item
mcwwindows:blocks/blackstone_parapet | minecraft:block | mcwwindows:blackstone_parapet minecraft:block minecraft:item
mcwwindows:blocks/blackstone_window | minecraft:block | mcwwindows:blackstone_window minecraft:block minecraft:item
mcwwindows:blocks/blackstone_window2 | minecraft:block | mcwwindows:blackstone_window2 minecraft:block minecraft:item
mcwwindows:blocks/blue_curtain | minecraft:block | mcwwindows:blue_curtain minecraft:block minecraft:item
mcwwindows:blocks/blue_mosaic_glass | minecraft:block | mcwwindows:blue_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/blue_mosaic_glass_pane | minecraft:block | mcwwindows:blue_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/bricks_four_window | minecraft:block | mcwwindows:bricks_four_window minecraft:block minecraft:item
mcwwindows:blocks/bricks_pane_window | minecraft:block | mcwwindows:bricks_pane_window minecraft:block minecraft:item
mcwwindows:blocks/bricks_window | minecraft:block | mcwwindows:bricks_window minecraft:block minecraft:item
mcwwindows:blocks/bricks_window2 | minecraft:block | mcwwindows:bricks_window2 minecraft:block minecraft:item
mcwwindows:blocks/brown_curtain | minecraft:block | mcwwindows:brown_curtain minecraft:block minecraft:item
mcwwindows:blocks/brown_mosaic_glass | minecraft:block | mcwwindows:brown_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/brown_mosaic_glass_pane | minecraft:block | mcwwindows:brown_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/cherry_blinds | minecraft:block | mcwwindows:cherry_blinds minecraft:block minecraft:item
mcwwindows:blocks/cherry_curtain_rod | minecraft:block | mcwwindows:cherry_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/cherry_four_window | minecraft:block | mcwwindows:cherry_four_window minecraft:block minecraft:item
