mcwroofs:blocks/acacia_attic_roof | minecraft:block | mcwroofs:acacia_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_lower_roof | minecraft:block | mcwroofs:acacia_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_planks_attic_roof | minecraft:block | mcwroofs:acacia_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_planks_lower_roof | minecraft:block | mcwroofs:acacia_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_planks_roof | minecraft:block | mcwroofs:acacia_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_planks_steep_roof | minecraft:block | mcwroofs:acacia_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_planks_top_roof | minecraft:block | mcwroofs:acacia_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_planks_upper_lower_roof | minecraft:block | mcwroofs:acacia_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_planks_upper_steep_roof | minecraft:block | mcwroofs:acacia_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_roof | minecraft:block | mcwroofs:acacia_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_steep_roof | minecraft:block | mcwroofs:acacia_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_top_roof | minecraft:block | mcwroofs:acacia_top_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_upper_lower_roof | minecraft:block | mcwroofs:acacia_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/acacia_upper_steep_roof | minecraft:block | mcwroofs:acacia_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/andesite_attic_roof | minecraft:block | mcwroofs:andesite_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/andesite_lower_roof | minecraft:block | mcwroofs:andesite_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/andesite_roof | minecraft:block | mcwroofs:andesite_roof minecraft:block minecraft:item
mcwroofs:blocks/andesite_steep_roof | minecraft:block | mcwroofs:andesite_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/andesite_top_roof | minecraft:block | mcwroofs:andesite_top_roof minecraft:block minecraft:item
mcwroofs:blocks/andesite_upper_lower_roof | minecraft:block | mcwroofs:andesite_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/andesite_upper_steep_roof | minecraft:block | mcwroofs:andesite_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_attic_roof | minecraft:block | mcwroofs:bamboo_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_lower_roof | minecraft:block | mcwroofs:bamboo_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_mosaic_attic_roof | minecraft:block | mcwroofs:bamboo_mosaic_attic_roof minecraft:block minecraft:item
