minecolonies:blocks/barrel_block | minecraft:block | minecolonies:barrel_block minecolonies:blocks/barrel_block minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/bell_pepper | minecraft:block | minecolonies:bell_pepper minecolonies:blocks/bell_pepper minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/blockhutalchemist | minecraft:block | minecolonies:blockhutalchemist minecolonies:blocks/blockhutalchemist minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutarchery | minecraft:block | minecolonies:blockhutarchery minecolonies:blocks/blockhutarchery minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutbaker | minecraft:block | minecolonies:blockhutbaker minecolonies:blocks/blockhutbaker minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutbarracks | minecraft:block | minecolonies:blockhutbarracks minecolonies:blocks/blockhutbarracks minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutbarrackstower | minecraft:block | minecolonies:blockhutbarrackstower minecolonies:blocks/blockhutbarrackstower minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutbeekeeper | minecraft:block | minecolonies:blockhutbeekeeper minecolonies:blocks/blockhutbeekeeper minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutblacksmith | minecraft:block | minecolonies:blockhutblacksmith minecolonies:blocks/blockhutblacksmith minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutbuilder | minecraft:block | minecolonies:blockhutbuilder minecolonies:blocks/blockhutbuilder minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutchickenherder | minecraft:block | minecolonies:blockhutchickenherder minecolonies:blocks/blockhutchickenherder minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutcitizen | minecraft:block | minecolonies:blockhutcitizen minecolonies:blocks/blockhutcitizen minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutcombatacademy | minecraft:block | minecolonies:blockhutcombatacademy minecolonies:blocks/blockhutcombatacademy minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutcomposter | minecraft:block | minecolonies:blockhutcomposter minecolonies:blocks/blockhutcomposter minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutconcretemixer | minecraft:block | minecolonies:blockhutconcretemixer minecolonies:blocks/blockhutconcretemixer minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutcook | minecraft:block | minecolonies:blockhutcook minecolonies:blocks/blockhutcook minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutcowboy | minecraft:block | minecolonies:blockhutcowboy minecolonies:blocks/blockhutcowboy minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutcrusher | minecraft:block | minecolonies:blockhutcrusher minecolonies:blocks/blockhutcrusher minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutdeliveryman | minecraft:block | minecolonies:blockhutdeliveryman minecolonies:blocks/blockhutdeliveryman minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutdyer | minecraft:block | minecolonies:blockhutdyer minecolonies:blocks/blockhutdyer minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
