more_slabs_stairs_and_walls:blocks/acacia_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:blocks/acacia_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:acacia_leaves_stairs
more_slabs_stairs_and_walls:blocks/acacia_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:acacia_leaves_wall
more_slabs_stairs_and_walls:blocks/acacia_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:acacia_log_slab
more_slabs_stairs_and_walls:blocks/acacia_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:acacia_log_stairs
more_slabs_stairs_and_walls:blocks/acacia_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:acacia_log_wall
more_slabs_stairs_and_walls:blocks/acacia_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:acacia_planks_wall
more_slabs_stairs_and_walls:blocks/acacia_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:acacia_wood_slab
more_slabs_stairs_and_walls:blocks/acacia_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:acacia_wood_stairs
more_slabs_stairs_and_walls:blocks/acacia_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:acacia_wood_wall
more_slabs_stairs_and_walls:blocks/amethyst_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:amethyst_block_slab
more_slabs_stairs_and_walls:blocks/amethyst_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:amethyst_block_stairs
more_slabs_stairs_and_walls:blocks/amethyst_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:amethyst_block_wall
more_slabs_stairs_and_walls:blocks/azalea_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:azalea_leaves_slab
more_slabs_stairs_and_walls:blocks/azalea_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:azalea_leaves_stairs
more_slabs_stairs_and_walls:blocks/azalea_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:azalea_leaves_wall
