naturalist:blocks/alligator_egg | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch naturalist:alligator_egg naturalist:blocks/alligator_egg
naturalist:blocks/azure_froglass | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch naturalist:azure_froglass naturalist:blocks/azure_froglass
naturalist:blocks/chrysalis | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch naturalist:blocks/chrysalis naturalist:chrysalis
naturalist:blocks/crimson_froglass | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch naturalist:blocks/crimson_froglass naturalist:crimson_froglass
naturalist:blocks/cut_shellstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/cut_shellstone naturalist:cut_shellstone
naturalist:blocks/cut_shellstone_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/cut_shellstone_slab naturalist:cut_shellstone_slab
naturalist:blocks/cut_shellstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/cut_shellstone_stairs naturalist:cut_shellstone_stairs
naturalist:blocks/cut_shellstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/cut_shellstone_wall naturalist:cut_shellstone_wall
naturalist:blocks/glow_goop | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/glow_goop naturalist:glow_goop
naturalist:blocks/plush_bear | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/plush_bear naturalist:plush_bear
naturalist:blocks/shellstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/shellstone naturalist:shellstone
naturalist:blocks/shellstone_brick_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/shellstone_brick_slab naturalist:shellstone_brick_slab
naturalist:blocks/shellstone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/shellstone_brick_stairs naturalist:shellstone_brick_stairs
naturalist:blocks/shellstone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/shellstone_brick_wall naturalist:shellstone_brick_wall
naturalist:blocks/shellstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/shellstone_bricks naturalist:shellstone_bricks
naturalist:blocks/shellstone_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/shellstone_slab naturalist:shellstone_slab
naturalist:blocks/shellstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/shellstone_stairs naturalist:shellstone_stairs
naturalist:blocks/shellstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/shellstone_wall naturalist:shellstone_wall
naturalist:blocks/smooth_shellstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/smooth_shellstone naturalist:smooth_shellstone
naturalist:blocks/smooth_shellstone_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/smooth_shellstone_slab naturalist:smooth_shellstone_slab
naturalist:blocks/smooth_shellstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/smooth_shellstone_stairs naturalist:smooth_shellstone_stairs
naturalist:blocks/smooth_shellstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion naturalist:blocks/smooth_shellstone_wall naturalist:smooth_shellstone_wall
naturalist:blocks/tortoise_egg | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch naturalist:blocks/tortoise_egg naturalist:tortoise_egg
naturalist:blocks/verdant_froglass | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch naturalist:blocks/verdant_froglass naturalist:verdant_froglass
naturalist:entities/bass | minecraft:entity | minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item naturalist:bass naturalist:entities/bass
naturalist:entities/bear | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/bear naturalist:fur
naturalist:entities/bluejay | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:feather minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/bluejay
naturalist:entities/boar | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:leather minecraft:looting minecraft:porkchop minecraft:set_count minecraft:uniform naturalist:entities/boar
naturalist:entities/butterfly | minecraft:entity | minecraft:bone_meal minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/butterfly
naturalist:entities/canary | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:feather minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/canary
naturalist:entities/cardinal | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:feather minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/cardinal
naturalist:entities/caterpillar | minecraft:entity | minecraft:bone_meal minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/caterpillar
naturalist:entities/catfish | minecraft:entity | minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item naturalist:catfish naturalist:entities/catfish
naturalist:entities/deer | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:leather minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/deer naturalist:venison
naturalist:entities/dragonfly | minecraft:entity | minecraft:damage_source_properties minecraft:entity minecraft:entity_properties minecraft:frog minecraft:item naturalist:azure_froglass naturalist:crimson_froglass naturalist:entities/dragonfly naturalist:verdant_froglass
naturalist:entities/duck | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:feather minecraft:furnace_smelt minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:duck naturalist:entities/duck
naturalist:entities/elephant | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:leather minecraft:looting minecraft:set_count minecraft:uniform naturalist:bushmeat naturalist:entities/elephant
naturalist:entities/finch | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:feather minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/finch
naturalist:entities/firefly | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/firefly naturalist:glow_goop
naturalist:entities/giraffe | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:hay_block minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:bushmeat naturalist:entities/giraffe
naturalist:entities/hippo | minecraft:entity | minecraft:entity minecraft:item minecraft:melon_slice minecraft:set_count minecraft:uniform naturalist:entities/hippo
naturalist:entities/lion | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:leather minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/lion naturalist:fur
naturalist:entities/lizard_tail | minecraft:entity | minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item naturalist:entities/lizard_tail naturalist:lizard_tail
naturalist:entities/rhino | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:leather minecraft:looting minecraft:set_count minecraft:uniform naturalist:bushmeat naturalist:entities/rhino
naturalist:entities/robin | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:feather minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/robin
naturalist:entities/snail | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:random_chance minecraft:set_count minecraft:slime_ball minecraft:uniform naturalist:entities/snail naturalist:snail_shell
naturalist:entities/sparrow | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:feather minecraft:item minecraft:looting minecraft:set_count minecraft:uniform naturalist:entities/sparrow
naturalist:entities/tortoise | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:turtle_scute minecraft:uniform naturalist:entities/tortoise
naturalist:entities/vulture | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:feather minecraft:item minecraft:looting minecraft:rotten_flesh minecraft:set_count minecraft:uniform naturalist:entities/vulture
naturalist:gameplay/fishing/fish | minecraft:fishing | minecraft:fishing minecraft:item naturalist:bass naturalist:gameplay/fishing/fish
