occultism:blocks/celestial_chalice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/celestial_chalice occultism:celestial_chalice
occultism:blocks/chiseled_otherrock_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/chiseled_otherrock_bricks occultism:chiseled_otherrock_bricks
occultism:blocks/chiseled_otherstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/chiseled_otherstone_bricks occultism:chiseled_otherstone_bricks
occultism:blocks/copper_sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/copper_sacrificial_bowl occultism:copper_sacrificial_bowl
occultism:blocks/cracked_otherrock_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/cracked_otherrock_bricks occultism:cracked_otherrock_bricks
occultism:blocks/cracked_otherstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/cracked_otherstone_bricks occultism:cracked_otherstone_bricks
occultism:blocks/dark_copper_sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/dark_copper_sacrificial_bowl occultism:dark_copper_sacrificial_bowl
occultism:blocks/dark_golden_sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/dark_golden_sacrificial_bowl occultism:dark_golden_sacrificial_bowl
occultism:blocks/dark_iesnium_sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/dark_iesnium_sacrificial_bowl occultism:dark_iesnium_sacrificial_bowl
occultism:blocks/dark_sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/dark_sacrificial_bowl occultism:dark_sacrificial_bowl
occultism:blocks/dark_silver_sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/dark_silver_sacrificial_bowl occultism:dark_silver_sacrificial_bowl
occultism:blocks/datura | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item occultism:blocks/datura occultism:datura occultism:datura_seeds
occultism:blocks/dimensional_battlefield | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/dimensional_battlefield occultism:dimensional_battlefield
occultism:blocks/dimensional_extractor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/dimensional_extractor occultism:dimensional_extractor
occultism:blocks/dimensional_mineshaft | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/dimensional_mineshaft occultism:dimensional_mineshaft
occultism:blocks/eldritch_chalice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/eldritch_chalice occultism:eldritch_chalice
occultism:blocks/entity_wormhole | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/entity_wormhole occultism:entity_wormhole
occultism:blocks/entity_wormhole_dark | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/entity_wormhole_dark occultism:entity_wormhole_dark
occultism:blocks/golden_sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/golden_sacrificial_bowl occultism:golden_sacrificial_bowl
occultism:blocks/iesnium_anvil | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/iesnium_anvil occultism:iesnium_anvil
occultism:blocks/iesnium_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/iesnium_block occultism:iesnium_block
occultism:blocks/iesnium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch occultism:blocks/iesnium_ore occultism:iesnium_ore occultism:raw_iesnium
occultism:blocks/iesnium_ore_natural | minecraft:block | minecraft:all_of minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:netherrack minecraft:ore_drops minecraft:silk_touch occultism:blocks/iesnium_ore_natural occultism:iesnium_ore occultism:iesnium_ore_natural occultism:raw_iesnium
occultism:blocks/iesnium_sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/iesnium_sacrificial_bowl occultism:iesnium_sacrificial_bowl
occultism:blocks/large_candle | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle occultism:large_candle
occultism:blocks/large_candle_black | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_black occultism:large_candle_black
occultism:blocks/large_candle_blue | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_blue occultism:large_candle_blue
occultism:blocks/large_candle_brown | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_brown occultism:large_candle_brown
occultism:blocks/large_candle_cyan | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_cyan occultism:large_candle_cyan
occultism:blocks/large_candle_gray | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_gray occultism:large_candle_gray
occultism:blocks/large_candle_green | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_green occultism:large_candle_green
occultism:blocks/large_candle_light_blue | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_light_blue occultism:large_candle_light_blue
occultism:blocks/large_candle_light_gray | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_light_gray occultism:large_candle_light_gray
occultism:blocks/large_candle_lime | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_lime occultism:large_candle_lime
occultism:blocks/large_candle_magenta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_magenta occultism:large_candle_magenta
occultism:blocks/large_candle_orange | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_orange occultism:large_candle_orange
occultism:blocks/large_candle_pink | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_pink occultism:large_candle_pink
occultism:blocks/large_candle_purple | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_purple occultism:large_candle_purple
occultism:blocks/large_candle_red | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_red occultism:large_candle_red
occultism:blocks/large_candle_white | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_white occultism:large_candle_white
occultism:blocks/large_candle_yellow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/large_candle_yellow occultism:large_candle_yellow
occultism:blocks/othercobblerock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/othercobblerock occultism:othercobblerock
occultism:blocks/othercobblerock_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/othercobblerock_stairs occultism:othercobblerock_stairs
occultism:blocks/othercobblerock_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/othercobblerock_wall occultism:othercobblerock_wall
occultism:blocks/othercobblestone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/othercobblestone occultism:othercobblestone
occultism:blocks/othercobblestone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count occultism:blocks/othercobblestone_slab occultism:othercobblestone_slab
occultism:blocks/othercobblestone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/othercobblestone_stairs occultism:othercobblestone_stairs
occultism:blocks/othercobblestone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/othercobblestone_wall occultism:othercobblestone_wall
occultism:blocks/otherflower | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherflower occultism:otherflower
